0textId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect 
FRA00101 1860 3889 456 83 18 7 3 29 7 8 2 52 47 28 22 11 9 27 57 1 6 2 2 5 17 9 1 3 
FRA00102 1883 5499 665 77 17 54 4 67 8 3 17 55 30 38 16 19 21 38 30 4 8 4 4 1 112 5 23 10 
FRA00201 1910 7577 862 128 96 34 24 91 16 12 14 63 93 41 75 30 20 27 33 8 0 6 0 2 26 12 5 6 
FRA00301 1858 16808 1348 143 46 30 46 170 14 29 8 153 122 69 62 79 52 102 51 27 10 9 19 7 35 20 20 25 
FRA00302 1894 25832 2436 269 79 69 53 234 24 43 40 262 212 134 105 160 120 160 106 44 36 30 34 22 101 37 24 38 
FRA00401 1902 5818 529 76 7 8 13 45 10 12 4 69 47 43 28 13 44 40 25 0 4 2 3 9 15 8 0 4 
FRA00501 1853 7013 858 121 35 22 20 119 4 17 3 107 67 37 31 26 27 62 25 9 9 7 7 4 72 12 11 4 
FRA00502 1851 18918 2116 336 95 49 33 257 9 37 22 194 199 100 87 45 115 167 108 14 50 20 26 12 94 22 15 10 
FRA00503 1854 15418 1545 257 84 27 49 156 18 26 16 146 155 58 68 49 47 187 40 15 13 17 6 4 49 29 16 13 
FRA00601 1881 19582 2144 304 61 16 46 232 30 36 18 303 109 140 80 87 145 135 128 46 23 24 19 6 72 51 8 25 
FRA00602 1886 21013 2279 242 57 35 53 215 28 65 36 245 181 152 113 124 117 144 109 61 49 30 22 45 55 50 19 32 
FRA00701 1852 10877 1386 238 31 21 8 278 13 25 4 120 114 55 54 16 19 30 154 5 22 16 6 4 79 35 26 13 
FRA00801 1843 8715 1115 134 46 15 37 125 24 7 15 92 75 68 48 46 29 60 72 18 2 29 8 17 88 13 17 30 
FRA00901 1868 14870 1812 303 130 68 43 215 28 16 24 170 112 104 131 57 51 62 115 8 13 9 11 11 90 21 15 5 
FRA01002 1919 6261 632 96 57 47 15 55 10 4 16 88 32 22 26 20 19 32 41 3 3 0 2 0 36 2 6 0 
FRA01101 1890 9315 1112 145 49 44 20 120 14 9 8 141 67 78 44 26 33 63 59 9 5 10 9 1 105 14 29 10 
FRA01102 1889 4568 450 59 24 15 10 43 8 7 3 40 40 24 15 14 13 30 35 3 1 1 1 0 37 6 18 3 
FRA01201 1868 25167 2198 330 151 33 21 246 10 29 39 261 129 111 127 86 96 120 160 19 30 11 12 22 105 29 8 13 
FRA01202 1857 18700 1663 254 53 38 24 202 11 28 32 210 104 79 152 55 58 101 105 10 30 9 9 19 41 19 12 8 
FRA01203 1845 14089 1324 158 49 42 53 145 8 19 13 154 89 96 70 53 42 82 96 19 12 17 9 12 39 11 17 19 
FRA01301 1869 25514 2373 305 106 92 120 266 21 23 11 188 197 143 103 97 108 158 110 16 36 33 24 22 99 53 23 19 
FRA01302 1857 20331 1959 250 136 101 100 172 20 23 26 162 154 95 130 62 64 86 146 12 22 16 11 17 89 35 21 9 
FRA01303 1862 17198 1315 149 87 69 140 137 16 10 8 75 111 75 83 53 31 58 73 12 9 17 14 18 16 27 15 12 
FRA01401 1877 6653 621 96 43 18 11 111 9 4 5 64 44 17 28 39 10 15 39 3 4 5 5 0 18 20 7 6 
FRA01402 1874 7638 702 148 38 17 20 68 5 4 12 57 52 32 47 18 22 23 35 21 5 5 2 6 52 5 3 5 
FRA01403 1881 12145 1405 205 59 18 20 164 13 20 10 173 76 65 73 67 79 54 87 16 10 12 23 15 87 22 18 19 
FRA01501 1912 11901 1160 171 38 59 20 96 8 9 8 96 95 80 63 38 58 53 82 13 13 14 10 11 75 6 14 30 
FRA01601 1887 21095 1882 277 136 37 59 230 31 14 19 145 59 144 125 77 43 104 105 9 15 26 13 21 130 23 21 19 
FRA01602 1893 9400 788 128 46 12 22 100 17 5 6 79 28 47 51 30 19 63 29 9 11 9 5 4 44 3 12 9 
FRA01603 1900 5251 409 75 11 3 10 62 9 2 6 44 17 25 28 10 13 27 20 3 2 6 2 3 20 4 4 3 
FRA01701 1847 6897 639 103 30 22 9 59 4 4 12 51 52 33 20 18 20 59 43 6 2 5 1 7 40 21 11 7 
FRA01801 1844 34881 4032 529 41 81 65 340 62 38 9 449 241 332 155 164 143 404 283 90 49 54 53 70 192 43 73 72 
FRA01902 1869 51157 4984 588 86 131 149 506 100 83 73 596 328 288 276 230 164 501 314 95 47 73 41 33 106 54 59 63 
FRA02001 1912 4024 381 54 13 6 13 49 5 7 6 16 28 14 25 11 12 39 28 4 2 5 4 3 27 6 3 1 
FRA02101 1854 13800 1873 205 96 51 26 222 41 14 12 169 100 104 58 53 59 90 118 17 22 16 17 17 296 10 38 22 
FRA02201 1888 8713 992 176 18 20 11 89 10 9 9 111 84 50 34 24 35 71 70 21 10 13 10 7 58 21 11 20 
FRA02202 1867 8069 910 191 32 30 21 97 9 12 8 63 69 47 51 24 29 61 53 12 5 8 14 15 29 17 3 10 
FRA02203 1876 8320 894 149 13 17 7 84 10 9 12 70 63 50 38 37 42 57 58 15 15 12 19 7 52 25 24 9 
FRA02301 1888 11680 1417 164 78 73 27 146 13 17 11 159 86 76 29 41 46 97 59 15 11 20 12 3 178 20 20 16 
FRA02302 1878 10692 1270 134 92 84 25 125 16 8 9 116 96 65 42 30 34 90 64 10 7 25 20 7 134 8 16 13 
FRA02303 1878 9997 1139 143 61 52 22 133 20 7 12 108 93 57 48 52 32 64 67 11 15 15 9 2 62 24 17 13 
FRA02401 1904 4162 321 34 23 10 11 41 0 6 3 27 34 14 5 13 13 26 22 1 7 5 4 2 11 3 5 1 
FRA02501 1883 12168 1195 234 101 77 15 80 16 14 35 105 86 35 78 75 33 48 76 6 4 5 5 2 39 14 8 4 
FRA02601 1869 13695 1516 221 78 75 39 211 25 19 10 129 118 81 109 38 33 81 123 12 11 12 13 9 27 20 12 10 
FRA02602 1878 24246 2802 344 164 80 64 353 35 23 13 282 275 134 184 93 74 230 229 29 22 8 15 19 58 39 12 23 
FRA02603 1888 21307 2423 332 92 53 22 313 20 34 14 199 246 163 82 86 83 227 163 31 28 29 44 15 62 32 17 36 
FRA02701 1885 21029 2382 300 189 135 92 294 32 28 19 201 189 76 102 104 89 111 146 25 21 28 28 11 116 18 16 12 
FRA02702 1883 14083 1385 155 111 120 67 172 23 9 14 112 83 64 57 69 51 48 73 7 14 22 3 4 64 7 18 18 
FRA02802 1883 9767 951 148 25 30 26 104 18 15 5 144 42 51 49 40 36 42 62 2 6 4 3 1 68 20 1 9 
FRA02901 1903 9864 1133 176 98 110 13 110 8 5 19 99 59 49 40 29 44 50 31 4 3 4 3 0 135 2 35 7 
FRA03001 1885 21898 2144 342 96 62 43 239 41 26 30 194 159 94 116 74 59 149 150 33 21 15 11 29 63 19 35 44 
FRA03002 1890 10041 952 124 63 40 19 103 7 16 18 90 56 57 32 31 31 46 49 10 11 3 13 6 83 8 22 14 
FRA03003 1894 9476 913 140 32 23 7 102 6 21 15 97 72 46 31 29 45 52 75 11 15 10 15 9 20 15 6 19 
FRA03101 1852 12349 1221 167 63 51 34 173 17 8 21 78 92 92 54 42 26 35 47 12 5 15 10 11 133 12 10 13 
FRA03201 1887 14384 1327 128 32 31 32 170 23 29 5 143 130 55 83 49 43 123 76 20 29 22 19 10 26 21 10 18 
FRA03302 1865 9819 978 118 38 26 19 135 13 9 9 78 66 62 35 26 51 71 57 8 9 13 11 6 73 21 15 9 
FRA03401 1855 7176 657 87 51 10 25 48 13 7 13 66 57 33 42 41 20 44 36 7 2 5 3 5 16 13 6 7 
FRA03601 1913 32131 3774 630 98 189 99 324 41 34 34 383 338 264 187 81 294 242 104 29 26 27 12 12 226 31 47 22 
FRA03701 1872 20879 2882 393 82 69 21 375 25 60 20 376 178 180 114 63 110 170 194 32 23 31 28 33 160 31 50 64 
FRA03702 1867 17901 2560 274 57 105 24 333 29 30 28 298 112 203 59 63 68 166 201 13 19 12 46 12 287 27 50 44 
FRA03704 1840 24589 2893 398 78 112 22 331 38 29 39 328 200 222 100 72 87 148 170 35 12 26 52 22 204 44 60 64 
FRA03802 1846 12355 1363 214 46 84 41 121 40 7 23 136 110 97 64 43 39 61 57 15 6 18 16 11 54 15 25 20 
FRA03903 1878 9169 1084 161 46 44 15 121 19 7 8 106 99 43 58 24 27 59 99 7 7 5 19 3 61 20 14 12 
FRA04001 1878 21756 2026 196 65 44 47 170 11 57 25 172 161 97 98 59 65 297 176 34 37 12 18 21 18 73 13 60 
FRA04002 1898 9891 972 119 20 16 44 79 6 21 18 106 50 61 76 53 46 98 53 8 26 11 8 8 16 14 3 12 
FRA04102 1863 10439 1254 295 183 20 12 109 12 7 5 90 36 53 100 28 30 66 102 6 11 11 5 1 36 11 15 10 
FRA04202 1912 107801 12608 1389 759 694 235 1400 197 108 192 1272 812 684 642 362 555 426 654 46 110 119 96 29 1181 208 343 95 
FRA04301 1847 32868 3170 521 181 93 59 352 22 66 12 286 165 156 203 178 96 162 182 27 31 19 19 26 196 29 51 38 
