 	SPACE	 
VÉNUS	NOUN	vénus
EN	ADP	en
RUT	NOUN	rut
OU	CCONJ	ou
VIE	NOUN	vie
D'	ADP	de
UNE	DET	un
CÉLÈBRE	NOUN	célèbre
LIBERTINE	NOUN	libertin
Tu	PRON	tu
veux	VERB	vouloir
,	PUNCT	,
ma	DET	mon
chère	ADJ	cher
Folleville	PROPN	Folleville
,	PUNCT	,
que	SCONJ	que
,	PUNCT	,
pour	ADP	pour
exciter	VERB	exciter
ton	DET	ton
tempérament	NOUN	tempérament
,	PUNCT	,
je	PRON	je
t'	PRON	te
offre	VERB	offrir
un	DET	un
crayon	NOUN	crayon
de	ADP	de
mes	DET	mon
aventures	NOUN	aventure
,	PUNCT	,
que	SCONJ	que
je	PRON	je
t'	PRON	te
apprenne	VERB	apprendre
par	ADP	par
quelle	DET	quel
gradation	NOUN	gradation
j'	PRON	je
ai	AUX	avoir
mérité	VERB	mériter
une	DET	un
supériorité	NOUN	supériorité
sur	ADP	sur
mes	DET	mon
égales	NOUN	égal
,	PUNCT	,
et	CCONJ	et
comment	ADV	comment
de	ADP	de
l'	DET	le
obscurité	NOUN	obscurité
où	PRON	où
le	DET	le
sort	NOUN	sort
m'	PRON	me
avait	AUX	avoir
placée	VERB	placer
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
su	VERB	savoir
parvenir	VERB	parvenir
à	ADP	à
donner	VERB	donner
des	DET	un
plaisirs	NOUN	plaisir
aux	ADP	à
grands	ADJ	grand
et	CCONJ	et
à	ADP	à
en	PRON	en
recevoir	VERB	recevoir
des	DET	un
mortels	NOUN	mortel
les	DET	le
plus	ADV	plus
aimables	ADJ	aimable
.	PUNCT	.
Tes	DET	ton
désirs	NOUN	désir
seront	AUX	être
satisfaits	ADJ	satisfait
:	PUNCT	:
plus	ADV	plus
accoutumée	ADJ	accoutumé
à	ADP	à
jouir	VERB	jouir
qu'	SCONJ	que
à	ADP	à
combiner	VERB	combiner
des	DET	un
phrases	NOUN	phrase
,	PUNCT	,
tu	PRON	tu
ne	ADV	ne
trouveras	VERB	trouver
pas	ADV	pas
mon	DET	mon
style	NOUN	style
assez	ADV	assez
chaud	ADJ	chaud
,	PUNCT	,
eh	INTJ	eh
bien	ADV	bien
je	PRON	je
te	PRON	te
permets	VERB	permettre
d'	ADP	de
enchérir	VERB	enchérir
sur	ADP	sur
mes	DET	mon
idées	NOUN	idée
;	PUNCT	;
avec	ADP	avec
le	DET	le
feu	NOUN	feu
de	ADP	de
ton	DET	ton
imagination	NOUN	imagination
et	CCONJ	et
celui	PRON	celui
de	ADP	de
tes	DET	ton
sens	NOUN	sens
,	PUNCT	,
tu	PRON	tu
seras	VERB	être
une	DET	un
Laïs	PROPN	Laïs
très	ADV	très
à	ADP	à
la	DET	le
mode	NOUN	mode
,	PUNCT	,
et	CCONJ	et
