 	SPACE	 
L'	DET	le
AUTEUR	NOUN	auteur
À	ADP	à
DEUX	NUM	DEUX
LIBRAIRES	NOUN	libraire
B	NOUN	b
onjour	NOUN	onjour
,	PUNCT	,
monsieur	NOUN	Monsieur
.	PUNCT	.
Avez	AUX	avoir
-vous	PRON	vous
lu	VERB	lire
mon	DET	mon
manuscrit	NOUN	manuscrit
?	PUNCT	?
excellent	ADJ	excellent
!	PUNCT	!
délicieux	ADJ	délicieux
!	PUNCT	!
n'	ADV	n'
est	VERB	être
-ce	PRON	-ce
pas	ADV	pas
?	PUNCT	?
---Le	PUNCT	---le
manuscrit	NOUN	manuscrit
de	ADP	de
qui	PRON	qui
?	PUNCT	?
de	ADP	de
quoi	PRON	quoi
?	PUNCT	?
monsieur	NOUN	Monsieur
,	PUNCT	,
je	PRON	je
ne	ADV	ne
vous	PRON	vous
comprens	VERB	comprens
pas.---Parbleu	PROPN	pas.---Parbleu
,	PUNCT	,
le	DET	le
trait	NOUN	trait
est	AUX	être
neuf	ADJ	neuf
!	PUNCT	!
Vous	PRON	vous
me	PRON	me
demandez	VERB	demander
,	PUNCT	,
avant	ADP	avant
hier	ADV	hier
,	PUNCT	,
trois	NUM	trois
jours	NOUN	jour
pour	ADP	pour
lire	VERB	lire
ma	DET	mon
Zoloé	PROPN	Zoloé
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
...	PUNCT	...
---Parbleu	PROPN	---Parbleu
,	PUNCT	,
monsieur	NOUN	Monsieur
,	PUNCT	,
j'	PRON	je
ai	VERB	avoir
bien	ADV	bien
le	DET	le
temps	NOUN	temps
de	ADP	de
lire	VERB	lire
vos	DET	votre
productions	NOUN	production
!	PUNCT	!
Tenez	VERB	tenir
,	PUNCT	,
le	PRON	le
voilà	VERB	voilà
ce	DET	ce
répertoire	NOUN	répertoire
de	ADP	de
sornettes	NOUN	sornette
;	PUNCT	;
le	DET	le
ciel	NOUN	ciel
vous	PRON	vous
conduise	VERB	conduire
.	PUNCT	.

	SPACE	

Monsieur	NOUN	Monsieur
,	PUNCT	,
votre	DET	votre
physionomie	NOUN	physionomie
m'	PRON	me
inspire	VERB	inspire
de	ADP	de
la	DET	le
confiance	NOUN	confiance
;	PUNCT	;
je	PRON	je
ne	ADV	ne
doute	VERB	doute
pas	ADV	pas
que	SCONJ	que
je	PRON	je
ne	ADV	ne
trouve	VERB	trouve
chez	ADP	chez
vous	PRON	vous
de	ADP	de
quoi	PRON	quoi
oublier	VERB	oublier
le	DET	le
procédé	NOUN	procédé
indécent	ADJ	indécent
d'	ADP	de
un	PRON	un
de	ADP	de
vos	DET	votre
confrères.---Peut	PROPN	confrères.---Peut
-	ADV	-
être	ADV	être
,	PUNCT	,
De	ADP	de
quoi	PRON	quoi
s'	PRON	se
agit	VERB	agir
-il	PRON	il
en	ADP	en
deux	NUM	deux
mots	NOUN	mot
?	PUNCT	?
je	PRON	je
n'	ADV	n'
ai	VERB	avoir
qu'	ADV	qu'
une	DET	un
minute.---Voici	PUNCT	minute.---voici
,	PUNCT	,
monsieur	NOUN	Monsieur
,	PUNCT	,
un	DET	un
manuscrit	NOUN	manuscrit
intéressant	ADJ	intéressant
.	PUNCT	.
Veuillez	VERB	vouloir
,	PUNCT	,
