 	SPACE	 
Rome	PROPN	Rome
paraît	VERB	paraître
,	PUNCT	,
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
,	PUNCT	,
avoir	AUX	avoir
conservé	VERB	conserver
ses	DET	son
droits	NOUN	droit
sur	ADP	sur
l'	DET	le
admiration	NOUN	admiration
et	CCONJ	et
sur	ADP	sur
les	DET	le
hommages	NOUN	hommage
des	ADP	de
autres	ADJ	autre
peuples	NOUN	peuple
;	PUNCT	;
si	SCONJ	si
elle	PRON	lui
a	AUX	avoir
perdu	VERB	perdre
l'	DET	le
empire	NOUN	empire
du	ADP	de
monde	NOUN	monde
,	PUNCT	,
elle	PRON	lui
règne	VERB	régner
encore	ADV	encore
par	ADP	par
les	DET	le
arts	NOUN	art
.	PUNCT	.
Adelson	PROPN	Adelson
était	AUX	être
du	ADP	de
nombre	NOUN	nombre
des	ADP	de
étrangers	NOUN	étranger
qui	PRON	qui
viennent	VERB	venir
grossir	VERB	grossir
la	DET	le
foule	NOUN	foule
de	ADP	de
ses	DET	son
citoyens	NOUN	citoyen
;	PUNCT	;
la	DET	le
peinture	NOUN	peinture
le	PRON	le
ramenait	VERB	ramener
sans	ADP	sans
cesse	NOUN	cesse
aux	ADP	à
chefs	NOUN	chef
-	NOUN	-
d'	ADP	de
œuvres	NOUN	œuvre
des	ADP	de
Raphaël	PROPN	Raphaël
et	CCONJ	et
des	ADP	de
Corrège	PROPN	Corrège
;	PUNCT	;
il	PRON	il
prodiguait	VERB	prodiguer
aux	ADP	à
artistes	NOUN	artiste
ces	DET	ce
bienfaits	NOUN	bienfait
si	ADV	si
rares	ADJ	rare
que	PRON	que
n'	ADV	n'
accompagnent	VERB	accompagner
point	ADV	point
l'	DET	le
avilissement	NOUN	avilissement
et	CCONJ	et
la	DET	le
stupide	ADJ	stupide
vanité	NOUN	vanité
.	PUNCT	.
Parmi	ADP	parmi
les	DET	le
élèves	NOUN	élève
de	ADP	de
l'	DET	le
école	NOUN	école
