 	SPACE	 
AVERTISSEMENT	NOUN	avertissement
.	PUNCT	.

	SPACE	

LE	DET	le
fond	NOUN	fond
de	ADP	de
ce	DET	ce
petit	ADJ	petit
Roman	NOUN	roman
,	PUNCT	,
(	PUNCT	(
car	CCONJ	car
on	PRON	on
verra	VERB	voir
bien	ADV	bien
que	SCONJ	que
c'	PRON	ce
en	PRON	en
est	AUX	être
un	PRON	un
)	PUNCT	)
est	AUX	être
historique	ADJ	historique
.	PUNCT	.
La	DET	le
principale	ADJ	principal
aventure	NOUN	aventure
est	AUX	être
vraie	ADJ	vrai
en	ADP	en
partie	NOUN	partie
,	PUNCT	,
et	CCONJ	et
peut-être	ADV	peut-être
plus	ADV	plus
d'	ADP	de
un	DET	un
Lecteur	NOUN	lecteur
se	PRON	se
retrouverat'	VERB	retrouverat'
il	PRON	il
dans	ADP	dans
l'	DET	le
Amant	NOUN	amant
de	ADP	de
la	DET	le
Florella	PROPN	Florella
.	PUNCT	.
Le	DET	le
vrai	ADJ	vrai
ainsi	ADV	ainsi
déguisé	VERB	déguiser
tauche	VERB	tauche
peu	ADV	peu
sans	ADP	sans
doute	NOUN	doute
:	PUNCT	:
on	PRON	on
n'	ADV	n'
en	PRON	en
tient	VERB	tenir
pas	ADV	pas
grand	ADJ	grand
compte	NOUN	compte
à	ADP	à
l'	DET	le
Auteur	NOUN	auteur
.	PUNCT	.
C'	PRON	ce
est	AUX	être
l'	DET	le
Art	NOUN	art
qu'	PRON	qu'
on	PRON	on
cherche	VERB	cherche
dans	ADP	dans
un	DET	un
Roman	NOUN	roman
,	PUNCT	,
et	CCONJ	et
quel	DET	quel
Art	NOUN	art
?	PUNCT	?
Pour	ADP	pour
réussire	VERB	réussire
il	PRON	il
faut	VERB	falloir
qu'	SCONJ	que
il	PRON	il
se	PRON	se
cache	VERB	cache
:	PUNCT	:
on	PRON	on
n'	ADV	n'
y	PRON	y
veut	VERB	vouloir
presque	ADV	presque
point	NOUN	point
d'	ADP	de
esprit	NOUN	esprit
,	PUNCT	,
son	DET	son
langage	NOUN	langage
est	AUX	être
trop	ADV	trop
éloigné	ADJ	éloigné
de	ADP	de
celui	PRON	celui
du	ADP	de
cœur	NOUN	cœur
.	PUNCT	.
On	PRON	on
s'	PRON	se
attache	VERB	attache
au	ADP	au
sentiment	NOUN	sentiment
,	PUNCT	,
c'	PRON	ce
est	AUX	être
lui	PRON	lui
