 	SPACE	 
La	DET	le
puissance	NOUN	puissance
des	ADP	de
maires	NOUN	maire
était	AUX	être
devenue	VERB	devenir
presque	ADV	presque
égale	ADJ	égal
à	ADP	à
celle	PRON	celui
des	ADP	de
rois	NOUN	roi
.	PUNCT	.
Archambaud	PROPN	Archambaud
,	PUNCT	,
maire	NOUN	maire
du	ADP	de
palais	NOUN	palais
de	ADP	de
Neustrie	PROPN	Neustrie
,	PUNCT	,
avait	AUX	avoir
succédé	VERB	succéder
dans	ADP	dans
cette	DET	ce
place	NOUN	place
auprès	ADV	auprès
de	ADP	de
Clovis	PROPN	Clovis
II	NUM	II
à	ADP	à
Aega	PROPN	Aega
,	PUNCT	,
dont	PRON	dont
la	DET	le
mémoire	NOUN	mémoire
était	AUX	être
chère	ADJ	cher
aux	ADP	à
français	NOUN	français
.	PUNCT	.
Il	PRON	il
marchait	VERB	marcher
sur	ADP	sur
les	DET	le
traces	NOUN	trace
de	ADP	de
son	DET	son
prédécesseur	NOUN	prédécesseur
:	PUNCT	:
même	ADJ	même
amour	NOUN	amour
pour	ADP	pour
son	DET	son
maître	NOUN	maître
et	CCONJ	et
pour	ADP	pour
l'	DET	le
état	NOUN	état
,	PUNCT	,
même	ADV	même
désintéressement	NOUN	désintéressement
;	PUNCT	;
il	PRON	il
réunissat	VERB	réunissat
les	DET	le
agréments	NOUN	agrément
extérieurs	ADJ	extérieur
à	ADP	à
tous	ADJ	tout
les	DET	le
talents	NOUN	talent
qu'	PRON	qu'
exigeait	VERB	exiger
son	DET	son
emploi	NOUN	emploi
;	PUNCT	;
on	PRON	on
lui	PRON	lui
reprochait	VERB	reprocher
seulement	ADV	seulement
un	DET	un
faste	NOUN	faste
et	CCONJ	et
une	DET	un
pompe	NOUN	pompe
qui	PRON	qui
ne	ADV	ne
doivent	VERB	devoir
entourer	VERB	entourer
que	ADV	que
le	DET	le
trône	NOUN	trône
:	PUNCT	:
cette	DET	ce
faiblesse	NOUN	faiblesse
,	PUNCT	,
le	DET	le
partage	NOUN	partage
ordinaire	ADJ	ordinaire
de	ADP	de
la	DET	le
vanité	NOUN	vanité
,	PUNCT	,
échappe	VERB	échappe
quelquefois	ADV	quelquefois
à	ADP	à
une	DET	un
âme	NOUN	âme
jalouse	ADJ	jaloux
d'	ADP	de
imprimer	VERB	imprimer
sa	DET	son
grandeur	NOUN	grandeur
sur	ADP	sur
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
l'	PRON	l'
environne	VERB	environne
;	PUNCT	;
Archambaud	PROPN	Archambaud
semblait	VERB	sembler
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
être	AUX	être
le	DET	le
monarque	NOUN	monarque
:	PUNCT	:
Clovis	PROPN	Clovis
n'	ADV	n'
en	PRON	en
avait	VERB	avoir
que	ADV	que
le	DET	le
nom	NOUN	nom
.	PUNCT	.
C'	PRON	ce
est	AUX	être
sous	ADP	sous
ce	DET	ce
règne	NOUN	règne
qu'	PRON	qu'
a	AUX	avoir
commencé	VERB	commencer
cette	DET	ce
décadence	NOUN	décadence
funeste	ADJ	funeste
qui	PRON	qui
fut	AUX	être
bientôt	ADV	bientôt
suivie	VERB	suivre
de	ADP	de
l'	DET	le
extinction	NOUN	extinction
totale	ADJ	total
de	ADP	de
la	DET	le
race	NOUN	race
des	ADP	de
merovingiens	NOUN	merovingien
.	PUNCT	.
Une	DET	un
légère	ADJ	léger
observation	NOUN	observation
suffira	VERB	suffire
pour	ADP	pour
caractériser	VERB	caractériser
la	DET	le
mollesse	NOUN	mollesse
et	CCONJ	et
l'	DET	le
indolence	NOUN	indolence
de	ADP	de
ce	DET	ce
prince	NOUN	prince
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
peut	VERB	pouvoir
mettre	VERB	mettre
à	ADP	à
la	DET	le
tête	NOUN	tête
des	ADP	de
rois	NOUN	roi
fainéant	ADJ	fainéant
:	PUNCT	:
il	PRON	il
est	AUX	être
le	DET	le
premier	ADJ	premier
de	ADP	de
nos	DET	notre
souverains	NOUN	souverain
qui	PRON	qui
se	PRON	se
soit	AUX	être
fait	AUX	faire
traîner	VERB	traîner
dans	ADP	dans
un	DET	un
char	NOUN	char
attelé	VERB	atteler
par	ADP	par
des	DET	un
boeufs	NOUN	boeuf
;	PUNCT	;
cette	DET	ce
voiture	NOUN	voiture
n'	ADV	n'
avait	AUX	avoir
jusqu'	ADP	jusque
alors	ADV	alors
servi	VERB	servir
qu'	ADV	qu'
à	ADP	à
nos	DET	notre
reines	NOUN	reine
.	PUNCT	.
Archambaud	PROPN	Archambaud
avait	VERB	avoir
un	DET	un
domestique	NOUN	domestique
nombreux	ADJ	nombreux
.	PUNCT	.
Parmi	ADP	parmi
ses	DET	son
esclaves	NOUN	esclave
,	PUNCT	,
il	PRON	il
était	AUX	être
aisé	ADJ	aisé
de	ADP	de
distinguer	VERB	distinguer
une	DET	un
jeune	ADJ	jeune
personne	NOUN	personne
que	PRON	que
,	PUNCT	,
dans	ADP	dans
les	DET	le
temps	NOUN	temps
du	ADP	de
paganisme	NOUN	paganisme
,	PUNCT	,
on	PRON	on
eût	AUX	avoir
adorée	VERB	adorer
comme	ADP	comme
une	PRON	un
des	ADP	de
grâces	NOUN	grâce
;	PUNCT	;
sa	DET	son
modestie	NOUN	modestie
prêtait	VERB	prêter
un	DET	un
nouvel	ADJ	nouveau
éclat	NOUN	éclat
à	ADP	à
sa	DET	son
beauté	NOUN	beauté
;	PUNCT	;
elle	PRON	lui
inspirait	VERB	inspirer
à	ADP	à
la	DET	le
fois	NOUN	fois
l'	DET	le
amour	NOUN	amour
et	CCONJ	et
le	DET	le
respect	NOUN	respect
;	PUNCT	;
on	PRON	on
aurait	AUX	avoir
dit	VERB	dire
que	SCONJ	que
la	DET	le
nature	NOUN	nature
avait	AUX	avoir
formé	VERB	former
exprès	ADV	exprès
son	DET	son
front	NOUN	front
,	PUNCT	,
pour	ADP	pour
être	AUX	être
orné	VERB	orner
du	ADP	de
bandeau	NOUN	bandeau
royal	ADJ	royal
;	PUNCT	;
un	DET	un
mélange	NOUN	mélange
de	ADP	de
vivacité	NOUN	vivacité
et	CCONJ	et
de	ADP	de
langueur	NOUN	langueur
animait	VERB	animer
ses	DET	son
regards	NOUN	regard
intéressants	ADJ	intéressant
;	PUNCT	;
l'	DET	le
attrait	NOUN	attrait
même	ADV	même
de	ADP	de
la	DET	le
séduction	NOUN	séduction
respirait	VERB	respirer
sur	ADP	sur
sa	DET	son
bouche	NOUN	bouche
;	PUNCT	;
la	DET	le
noblesse	NOUN	noblesse
,	PUNCT	,
la	DET	le
douceur	NOUN	douceur
,	PUNCT	,
la	DET	le
sensibilité	NOUN	sensibilité
,	PUNCT	,
la	DET	le
vertu	NOUN	vertu
brillaient	VERB	briller
sur	ADP	sur
son	DET	son
visage	NOUN	visage
;	PUNCT	;
des	DET	un
cheveux	NOUN	cheveu
d'	ADP	de
une	DET	un
couleur	NOUN	couleur
agréable	ADJ	agréable
relevaient	VERB	relever
la	DET	le
blancheur	NOUN	blancheur
de	ADP	de
sa	DET	son
peau	NOUN	peau
,	PUNCT	,
et	CCONJ	et
en	ADP	en
tombant	VERB	tomber
négligemment	ADV	négligemment
sur	ADP	sur
ses	DET	son
épaules	NOUN	épaule
,	PUNCT	,
faisaient	AUX	faire
admirer	VERB	admirer
davantage	ADV	davantage
