 	SPACE	 
Après	ADP	après
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
objet	NOUN	objet
immuable	ADJ	immuable
de	ADP	de
nos	DET	notre
hommages	NOUN	hommage
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
doit	VERB	devoir
produire	VERB	produire
le	DET	le
plus	ADV	plus
cette	DET	ce
considération	NOUN	considération
personnelle	ADJ	personnel
,	PUNCT	,
le	DET	le
premier	ADJ	premier
et	CCONJ	et
le	DET	le
moins	ADV	moins
frivole	ADJ	frivole
des	ADP	de
honneurs	NOUN	honneur
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
mérite	VERB	mérite
davantage	ADV	davantage
nos	DET	notre
respects	NOUN	respect
,	PUNCT	,
l'	DET	le
estime	NOUN	estime
publique	ADJ	public
,	PUNCT	,
l'	DET	le
estime	NOUN	estime
de	ADP	de
soi	PRON	soi
-	PRON	-
même	PRON	même
,	PUNCT	,
c'	PRON	ce
est	AUX	être
le	DET	le
retour	NOUN	retour
à	ADP	à
cette	DET	ce
même	ADJ	même
vertu	NOUN	vertu
dont	PRON	dont
si	ADV	si
peu	ADV	peu
d'	ADP	de
hommes	NOUN	homme
sur	ADP	sur
la	DET	le
terre	NOUN	terre
ne	ADV	ne
s'	PRON	se
écartent	VERB	écarter
point	ADV	point
.	PUNCT	.
Le	DET	le
repentir	NOUN	repentir
véritable	ADJ	véritable
,	PUNCT	,
en	ADP	en
exerçant	VERB	exercer
notre	DET	notre
sensibilité	NOUN	sensibilité
,	PUNCT	,
rend	VERB	rendre
,	PUNCT	,
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
,	PUNCT	,
notre	DET	notre
morale	NOUN	morale
plus	ADV	plus
pure	ADJ	pur
,	PUNCT	,
et	CCONJ	et
plus	ADV	plus
dégagée	ADJ	dégagé
de	ADP	de
ces	DET	ce
mouvement	NOUN	mouvement
d'	ADP	de
orgueil	NOUN	orgueil
,	PUNCT	,
le	DET	le
partage	NOUN	partage
ordinaire	ADJ	ordinaire
des	ADP	de
cœurs	NOUN	cœur
qui	PRON	qui
ont	AUX	avoir
pu	VERB	pouvoir
demeurer	VERB	demeurer
constamment	ADV	constamment
attachés	VERB	attacher
à	ADP	à
leurs	DET	leur
devoirs	NOUN	devoir
.	PUNCT	.
Osons	VERB	oser
le	PRON	le
dire	VERB	dire
:	PUNCT	:
l'	DET	le
amour	NOUN	amour
-	NOUN	-
propre	ADJ	propre
est	AUX	être
bien	ADV	bien
près	ADV	près
de	ADP	de
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
et	CCONJ	et
il	PRON	il
est	AUX	être
son	DET	son
plus	ADV	plus
dangereux	ADJ	dangereux
séducteur	NOUN	séducteur
.	PUNCT	.
Une	DET	un
âme	NOUN	âme
qui	PRON	qui
aura	AUX	avoir
été	AUX	être
avertie	VERB	avertir
de	ADP	de
la	DET	le
faiblesse	NOUN	faiblesse
inséparable	ADJ	inséparable
de	ADP	de
la	DET	le
nature	NOUN	nature
humaine	ADJ	humain
,	PUNCT	,
montrera	VERB	montrer
du	DET	de
courage	NOUN	courage
sans	ADP	sans
vanité	NOUN	vanité
,	PUNCT	,
et	CCONJ	et
sera	AUX	être
modeste	ADJ	modeste
dans	ADP	dans
ses	DET	son
avantages	NOUN	avantage
;	PUNCT	;
le	DET	le
désirs	NOUN	désir
de	ADP	de
réparer	VERB	réparer
sa	DET	son
faute	NOUN	faute
lui	PRON	lui
donnera	VERB	donner
un	DET	un
essor	NOUN	essor
plus	ADV	plus
hardi	ADJ	hardi
,	PUNCT	,
et	CCONJ	et
l'	DET	le
idée	NOUN	idée
de	ADP	de
sa	DET	son
chute	NOUN	chute
l'	PRON	l'
empêchera	VERB	empêcher
de	ADP	de
se	PRON	se
trop	ADV	trop
applaudir	VERB	applaudir
de	ADP	de
son	DET	son
élévation	NOUN	élévation
.	PUNCT	.
D'	ADP	de
ailleurs	ADV	ailleurs
la	DET	le
religion	NOUN	religion
et	CCONJ	et
la	DET	le
vraie	ADJ	vrai
sagesse	NOUN	sagesse
ne	ADV	ne
s'	PRON	se
accordent	VERB	accorder
-	PRON	-
elles	PRON	lui
point	ADV	point
pour	ADP	pour
nous	PRON	nous
présenter	VERB	présenter
le	DET	le
remords	NOUN	remords
sincère	ADJ	sincère
comme	ADP	comme
un	DET	un
titre	NOUN	titre
d'	ADP	de
expiation	NOUN	expiation
aux	ADP	à
yeux	NOUN	oeil
de	ADP	de
l'	DET	le
être	NOUN	être
suprême	ADJ	suprême
?	PUNCT	?
Et	CCONJ	et
pourquoi	ADV	pourquoi
serions	AUX	être
-nous	PRON	nous
plus	ADV	plus
sévères	ADJ	sévère
que	SCONJ	que
la	DET	le
divinité	NOUN	divinité
?	PUNCT	?
N'	ADV	n'
oublions	VERB	oublier
pas	ADV	pas
que	SCONJ	que
l'	DET	le
indulgence	NOUN	indulgence
et	CCONJ	et
la	DET	le
compassion	NOUN	compassion
sont	AUX	être
les	DET	le
