 	SPACE	 
Le	DET	le
système	NOUN	système
avait	AUX	avoir
entraîné	VERB	entraîner
la	DET	le
ruine	NOUN	ruine
de	ADP	de
beaucoup	ADV	beaucoup
de	ADP	de
familles	NOUN	famille
,	PUNCT	,
qui	PRON	qui
semblaient	VERB	sembler
,	PUNCT	,
par	ADP	par
leur	DET	leur
condition	NOUN	condition
ou	CCONJ	ou
par	ADP	par
leur	DET	leur
opulence	NOUN	opulence
,	PUNCT	,
ne	ADV	ne
devoir	VERB	devoir
point	ADV	point
appréhender	VERB	appréhender
les	DET	le
suites	NOUN	suite
de	ADP	de
cette	DET	ce
révolution	NOUN	révolution
singulière	ADJ	singulier
.	PUNCT	.
Monsieur	NOUN	Monsieur
De	ADP	de
Gourville	PROPN	Gourville
et	CCONJ	et
sa	DET	son
femme	NOUN	femme
furent	AUX	être
du	ADP	de
nombre	NOUN	nombre
des	ADP	de
citoyens	NOUN	citoyen
malheureux	ADJ	malheureux
qui	PRON	qui
,	PUNCT	,
parmi	ADP	parmi
nous	PRON	nous
,	PUNCT	,
ont	AUX	avoir
signalé	VERB	signaler
cette	DET	ce
époque	NOUN	époque
si	ADV	si
fatale	ADJ	fatal
aux	ADP	à
intérêts	NOUN	intérêt
et	CCONJ	et
aux	ADP	à
vertus	NOUN	vertu
de	ADP	de
la	DET	le
nation	NOUN	nation
.	PUNCT	.
Ils	PRON	il
ne	ADV	ne
s'	PRON	se
aperçurent	VERB	apercevoir
que	ADV	que
trop	ADV	trop
du	ADP	de
changement	NOUN	changement
rapide	ADJ	rapide
qui	PRON	qui
avait	AUX	avoir
influé	VERB	influer
jusques	ADP	jusques
sur	ADP	sur
les	DET	le
esprits	NOUN	esprit
,	PUNCT	,
de	ADP	de
la	DET	le
nouvelle	ADJ	nouveau
face	NOUN	face
qu'	PRON	qu'
avait	AUX	avoir
prise	VERB	prendre
la	DET	le
capitale	NOUN	capitale
,	PUNCT	,
de	ADP	de
la	DET	le
dégradation	NOUN	dégradation
universelle	ADJ	universel
des	ADP	de
mœurs	NOUN	mœur
née	VERB	naître
du	ADP	de
bouleversement	NOUN	bouleversement
monstrueux	ADJ	monstrueux
des	ADP	de
biens	NOUN	bien
et	CCONJ	et
des	ADP	de
rangs	NOUN	rang
;	PUNCT	;
ils	PRON	il
virent	VERB	voir
que	SCONJ	que
jamais	ADV	jamais
la	DET	le
richesse	NOUN	richesse
n'	ADV	n'
avait	AUX	avoir
été	AUX	être
plus	ADV	plus
insolente	ADJ	insolent
,	PUNCT	,
et	CCONJ	et
l'	DET	le
indigence	NOUN	indigence
plus	ADV	plus
humiliée	VERB	humilier
et	CCONJ	et
plus	ADV	plus
écrasée	VERB	écraser
.	PUNCT	.
L'	DET	le
avarice	NOUN	avarice
en	ADP	en
effet	NOUN	effet
s'	PRON	se
était	AUX	être
montrée	VERB	montrer
à	ADP	à
découvert	VERB	découvrir
et	CCONJ	et
dans	ADP	dans
tous	ADJ	tout
les	DET	le
transports	NOUN	transport
convulsifs	ADJ	convulsif
de	ADP	de
sa	DET	son
hideuse	ADJ	hideux
cupidité	NOUN	cupidité
;	PUNCT	;
plus	ADV	plus
de	ADP	de
frein	NOUN	frein
,	PUNCT	,
plus	ADV	plus
de	ADP	de
pudeur	NOUN	pudeur
;	PUNCT	;
la	DET	le
passion	NOUN	passion
de	ADP	de
l'	DET	le
or	NOUN	or
s'	PRON	se
était	AUX	être
répandue	VERB	répandre
de	ADP	de
Paris	PROPN	Paris
dans	ADP	dans
le	DET	le
royaume	NOUN	royaume
entier	ADJ	entier
,	PUNCT	,
comme	ADP	comme
une	DET	un
contagion	NOUN	contagion
dévorante	ADJ	dévorant
,	PUNCT	,
et	CCONJ	et
avait	AUX	avoir
infecté	VERB	infecter
tous	ADJ	tout
les	DET	le
états	NOUN	état
;	PUNCT	;
tout	PRON	tout
tendait	VERB	tendre
à	ADP	à
l'	DET	le
ardeur	NOUN	ardeur
de	ADP	de
s'	PRON	se
enrichir	VERB	enrichir
;	PUNCT	;
c'	PRON	ce
était	AUX	être
l'	DET	le
unique	ADJ	unique
travail	NOUN	travail
,	PUNCT	,
l'	DET	le
unique	ADJ	unique
émulation	NOUN	émulation
,	PUNCT	,
l'	DET	le
unique	ADJ	unique
objet	NOUN	objet
;	PUNCT	;
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
la	DET	le
décence	NOUN	décence
,	PUNCT	,
le	DET	le
sang	NOUN	sang
,	PUNCT	,
la	DET	le
nature	NOUN	nature
n'	ADV	n'
avaient	VERB	avoir
plus	ADV	plus
de	DET	de
droits	NOUN	droit
.	PUNCT	.
On	PRON	on
eût	AUX	avoir
dit	VERB	dire
que	SCONJ	que
