 	SPACE	 
La	DET	le
mort	NOUN	mort
de	ADP	de
Louis	PROPN	Louis
XII	NUM	XII
avait	AUX	avoir
,	PUNCT	,
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
,	PUNCT	,
changé	VERB	changer
l'	DET	le
esprit	NOUN	esprit
de	ADP	de
la	DET	le
nation	NOUN	nation
.	PUNCT	.
Un	DET	un
nouveau	ADJ	nouveau
règne	NOUN	règne
apporte	VERB	apporte
presque	ADV	presque
toujours	ADV	toujours
avec	ADP	avec
soi	PRON	soi
de	DET	de
nouvelles	ADJ	nouveau
mœurs	NOUN	mœur
.	PUNCT	.
Les	DET	le
cabales	NOUN	cabale
,	PUNCT	,
les	DET	le
intrigues	NOUN	intrigue
signalerent	VERB	signalerer
l'	DET	le
avènement	NOUN	avènement
de	ADP	de
François	PROPN	François
Ier	ADJ	ier
au	ADP	au
trône	NOUN	trône
.	PUNCT	.
L'	DET	le
état	NOUN	état
a	AUX	avoir
long	ADV	long
-	ADV	-
temps	ADV	temps
gémi	VERB	gémir
des	ADP	de
suites	NOUN	suite
funestes	ADJ	funeste
de	ADP	de
la	DET	le
haine	NOUN	haine
irréconciliable	ADJ	irréconciliable
qui	PRON	qui
divisa	VERB	diviser
la	DET	le
duchesse	NOUN	duchesse
d'	ADP	de
Angoulême	PROPN	Angoulême
,	PUNCT	,
et	CCONJ	et
le	DET	le
connétable	NOUN	connétable
deBourbon	PROPN	deBourbon
;	PUNCT	;
les	DET	le
guises	NOUN	guise
ne	ADV	ne
furent	AUX	être
pas	ADV	pas
moins	ADV	moins
animés	VERB	animer
contre	ADP	contre
les	DET	le
Montmorencis	NOUN	montmorenci
.	PUNCT	.
Ces	DET	ce
différents	ADJ	différent
démêlés	NOUN	démêlé
produisirent	VERB	produire
des	DET	un
mécontent	NOUN	mécontent
.	PUNCT	.
Il	PRON	il
arriva	VERB	arriver
ce	PRON	ce
qu'	PRON	qu'
on	PRON	on
doit	VERB	devoir
nécessairement	ADV	nécessairement
attendre	VERB	attendre
des	DET	un
factions	NOUN	faction
et	CCONJ	et
des	DET	un
animosités	NOUN	animosité
personnelles	ADJ	personnel
