 	SPACE	 
Des	DET	un
maladies	NOUN	maladie
cruelles	ADJ	cruel
qui	PRON	qui
affligent	VERB	affliger
l'	DET	le
esprit	NOUN	esprit
humain	ADJ	humain
,	PUNCT	,
l'	DET	le
imprudence	NOUN	imprudence
et	CCONJ	et
la	DET	le
jalousie	NOUN	jalousie
sont	AUX	être
peut-être	ADV	peut-être
les	DET	le
plus	ADV	plus
dangereuses	ADJ	dangereux
,	PUNCT	,
et	CCONJ	et
en	ADP	en
même	ADV	même
-	NOUN	-
temps	NOUN	temps
les	DET	le
plus	ADV	plus
difficiles	ADJ	difficile
à	ADP	à
guérir	VERB	guérir
;	PUNCT	;
elles	PRON	lui
nous	PRON	nous
font	AUX	faire
chérir	VERB	chérir
l'	DET	le
aveuglement	NOUN	aveuglement
où	PRON	où
elles	PRON	lui
nous	PRON	nous
plongent	VERB	plonger
,	PUNCT	,
et	CCONJ	et
fuir	VERB	fuir
,	PUNCT	,
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
,	PUNCT	,
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
pourrait	VERB	pouvoir
nous	PRON	nous
éclairer	VERB	éclairer
.	PUNCT	.
Quoique	ADV	quoique
l'	DET	le
une	PRON	un
et	CCONJ	et
l'	DET	le
autre	PRON	autre
se	PRON	se
montrent	VERB	montrer
sous	ADP	sous
des	DET	un
formes	NOUN	forme
différentes	ADJ	différent
,	PUNCT	,
elles	PRON	lui
produisent	VERB	produire
souvent	ADV	souvent
de	DET	de
semblables	ADJ	semblable
effets	NOUN	effet
.	PUNCT	.
La	DET	le
jalousie	NOUN	jalousie
toujours	ADV	toujours
prés	ADV	prés
de	ADP	de
la	DET	le
défiance	NOUN	défiance
,	PUNCT	,
s'	PRON	se
y	PRON	y
livre	VERB	livre
sans	ADP	sans
réserve	NOUN	réserve
,	PUNCT	,
et	CCONJ	et
prépare	VERB	prépare
elle-même	PRON	lui-même
les	DET	le
poisons	NOUN	poison
qui	PRON	qui
la	PRON	le
dévorent	VERB	dévorer
:	PUNCT	:
l'	DET	le
imprudence	NOUN	imprudence
,	PUNCT	,
au	ADP	au
contraire	NOUN	contraire
,	PUNCT	,
ne	ADV	ne
conçoit	VERB	concevoir
nul	DET	nul
soupçon	NOUN	soupçon
;	PUNCT	;
elle	PRON	lui
court	VERB	courir
à	ADP	à
sa	DET	son
perte	NOUN	perte
sans	ADP	sans
la	DET	le
moindre	ADJ	moindre
crainte	NOUN	crainte
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
envisage	VERB	envisager
l'	DET	le
abîme	NOUN	abîme
que	ADV	que
lorsqu'	SCONJ	lorsque
elle	PRON	lui
s'	PRON	se
y	PRON	y
est	AUX	être
précipitée	VERB	précipiter
.	PUNCT	.
Que	ADV	que
de	ADP	de
tableaux	NOUN	tableau
cependant	ADV	cependant
qui	PRON	qui
nous	PRON	nous
offrent	VERB	offrir
les	DET	le
suites	NOUN	suite
funestes	ADJ	funeste
de	ADP	de
ces	DET	ce
deux	NUM	deux
sources	NOUN	source
d'	ADP	de
égarements	NOUN	égarement
et	CCONJ	et
de	ADP	de
disgracies	NOUN	disgracie
!	PUNCT	!
Puisse	VERB	pouvoir
l'	DET	le
aventure	NOUN	aventure
suivante	ADJ	suivant
n'	ADV	n'
être	AUX	être
point	ADV	point
lue	VERB	lire
