 	SPACE	 
L'	DET	le
origine	NOUN	origine
des	ADP	de
marseillois	NOUN	marseilloi
ressemble	VERB	ressemble
à	ADP	à
celle	PRON	celui
de	ADP	de
la	DET	le
plupart	NOUN	plupart
des	ADP	de
autres	ADJ	autre
peuples	NOUN	peuple
:	PUNCT	:
ce	PRON	ce
sont	AUX	être
à	ADP	à
peu	ADV	peu
près	ADV	près
les	DET	le
mêmes	ADJ	même
nuages	NOUN	nuage
qui	PRON	qui
la	PRON	le
couvrent	VERB	couvrir
,	PUNCT	,
et	CCONJ	et
les	DET	le
mêmes	ADJ	même
fables	NOUN	fable
qui	PRON	qui
la	PRON	le
défigurent	VERB	défigurer
.	PUNCT	.
Cependant	ADV	cependant
ces	DET	ce
ténèbres	NOUN	ténèbre
et	CCONJ	et
ces	DET	ce
mensonges	NOUN	mensonge
impriment	VERB	imprimer
à	ADP	à
une	DET	un
histoire	NOUN	histoire
une	DET	un
espèce	NOUN	espèce
de	ADP	de
caractère	NOUN	caractère
de	ADP	de
vénération	NOUN	vénération
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
donnent	VERB	donner
le	DET	le
mérite	NOUN	mérite
de	ADP	de
l'	DET	le
antiquité	NOUN	antiquité
.	PUNCT	.
Si	SCONJ	si
c'	PRON	ce
est	AUX	être
un	DET	un
avantage	NOUN	avantage
,	PUNCT	,
on	PRON	on
ne	ADV	ne
saurait	VERB	savoir
le	PRON	le
contester	VERB	contester
à	ADP	à
Marseille	PROPN	Marseille
;	PUNCT	;
sa	DET	son
naissance	NOUN	naissance
se	PRON	se
perd	VERB	perdre
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
des	ADP	de
siècles	NOUN	siècle
;	PUNCT	;
on	PRON	on
prétend	VERB	prétendre
que	SCONJ	que
les	DET	le
phocéens	NOUN	phocéen
furent	AUX	être
ses	DET	son
fondateurs	NOUN	fondateur
.	PUNCT	.

	SPACE	

L'	DET	le
époque	NOUN	époque
de	ADP	de
leur	DET	leur
arrivée	NOUN	arrivée
dans	ADP	dans
la	DET	le
Gaule	PROPN	Gaule
narbonnoise	ADJ	narbonnois
est	AUX	être
difficile	ADJ	difficile
à	ADP	à
établir	VERB	établir
,	PUNCT	,
grâces	NOUN	grâce
au	ADP	au
fil	NOUN	fil
peu	ADV	peu
certain	ADJ	certain
qui	PRON	qui
nous	PRON	nous
dirige	VERB	diriger
dans	ADP	dans
le	DET	le
labyrinte	NOUN	labyrinte
de	ADP	de
notre	DET	notre
chronologie	NOUN	chronologie
:	PUNCT	:
inconvénient	NOUN	inconvénient
très	ADV	très
-	ADJ	-
réel	ADJ	réel
pour	ADP	pour
les	DET	le
amateurs	NOUN	amateur
du	ADP	de
vrai	ADJ	vrai
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
arrêtera	VERB	arrêter
toujours	ADV	toujours
les	DET	le
progrès	NOUN	progrès
de	ADP	de
l'	DET	le
histoire	NOUN	histoire
.	PUNCT	.
Quoi	ADV	quoi
qu'	SCONJ	que
il	PRON	il
en	PRON	en
soit	VERB	être
,	PUNCT	,
on	PRON	on
s'	PRON	se
accorde	VERB	accorde
assez	ADV	assez
dans	ADP	dans
ce	DET	ce
choc	NOUN	choc
d'	ADP	de
