 	SPACE	 
LA	DET	le
PETITE	ADJ	petit
MAISON	NOUN	maison
M	NOUN	m
élite	PROPN	élite
vivait	VERB	vivre
familièrement	ADV	familièrement
avec	ADP	avec
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
et	CCONJ	et
il	PRON	il
n’	ADV	n’
y	PRON	y
avait	VERB	avoir
que	ADV	que
les	DET	le
bonnes	ADJ	bon
gens	NOUN	gens
,	PUNCT	,
ou	CCONJ	ou
ses	DET	son
amis	NOUN	ami
intimes	ADJ	intime
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
la	PRON	le
soupçonnassent	VERB	soupçonner
pas	ADV	pas
de	DET	de
galanterie	NOUN	galanterie
.	PUNCT	.
Son	DET	son
air	NOUN	air
,	PUNCT	,
ses	DET	son
propos	NOUN	propos
légers	ADJ	léger
,	PUNCT	,
ses	DET	son
manières	NOUN	manière
libres	ADJ	libre
,	PUNCT	,
établissaient	VERB	établir
assez	ADV	assez
cette	DET	ce
prévention	NOUN	prévention
.	PUNCT	.
Le	DET	le
marquis	NOUN	marquis
de	ADP	de
Trémicour	PROPN	Trémicour
avait	VERB	avoir
envie	NOUN	envie
de	ADP	de
l’	PRON	l’
engager	VERB	engager
,	PUNCT	,
et	CCONJ	et
s’	PRON	s’
était	AUX	être
flatté	VERB	flatter
d’	ADP	d’
y	PRON	y
réussir	VERB	réussir
aisément	ADV	aisément
.	PUNCT	.
C’	PRON	c’
est	AUX	être
un	DET	un
homme	NOUN	homme
qui	PRON	qui
doit	VERB	devoir
attendre	VERB	attendre
plus	ADV	plus
qu’	SCONJ	qu’
un	DET	un
autre	PRON	autre
du	ADP	de
caprice	NOUN	caprice
des	ADP	de
femmes	NOUN	femme
.	PUNCT	.
Il	PRON	il
est	AUX	être
magnifique	ADJ	magnifique
,	PUNCT	,
généreux	ADJ	généreux
,	PUNCT	,
plein	ADJ	plein
d’	ADP	d’
esprit	NOUN	esprit
et	CCONJ	et
de	ADP	de
goût	NOUN	goût
,	PUNCT	,
et	CCONJ	et
peu	ADV	peu
d’	ADP	d’
hommes	NOUN	homme
peuvent	VERB	pouvoir
se	PRON	se
vanter	VERB	vanter
