 	SPACE	 
STÉPHANIE	NOUN	stéphanie
.	PUNCT	.
LETTRE	NOUN	lettre
PREMIERE	ADJ	premier
,	PUNCT	,
De	ADP	de
Miss	NOUN	miss
Clarence	PROPN	Clarence
,	PUNCT	,
à	ADP	à
la	DET	le
Marquise	PROPN	Marquise
de	ADP	de
Norsey	PROPN	Norsey
.	PUNCT	.

	SPACE	

J'	PRON	je
en	PRON	en
conviens	VERB	convenir
;	PUNCT	;
vos	DET	votre
lettres	NOUN	lettre
restées	VERB	rester
sans	ADP	sans
réponse	NOUN	réponse
,	PUNCT	,
vos	DET	votre
lettres	NOUN	lettre
,	PUNCT	,
ô	NOUN	ö
mon	DET	mon
amie	NOUN	amie
!	PUNCT	!
vos	DET	votre
reproches	NOUN	reproche
si	ADV	si
touchant	ADJ	touchant
pour	ADP	pour
mon	DET	mon
cœur	NOUN	cœur
,	PUNCT	,
vos	DET	votre
instances	NOUN	instance
,	PUNCT	,
vos	DET	votre
inquiétudes	NOUN	inquiétude
,	PUNCT	,
votre	DET	votre
amitié	NOUN	amitié
même	ADV	même
;	PUNCT	;
eh	INTJ	eh
bien	ADV	bien
!	PUNCT	!
oui	ADV	oui
,	PUNCT	,
tout	PRON	tout
m'	PRON	me
accuse	VERB	accuse
:	PUNCT	:
cependant	ADV	cependant
,	PUNCT	,
suis	AUX	être
-je	PRON	je
si	ADV	si
coupable	ADJ	coupable
?	PUNCT	?
ai	AUX	avoir
-je	PRON	je
pu	VERB	pouvoir
vous	PRON	vous
le	PRON	le
paraître	VERB	paraître
?	PUNCT	?
Non	ADV	non
;	PUNCT	;
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
pas	ADV	pas
été	VERB	être
à	ADP	à
moi	PRON	moi
:	PUNCT	:
comment	ADV	comment
mon	DET	mon
silence	NOUN	silence
ne	ADV	ne
vous	PRON	vous
l'	PRON	l'
a	AUX	avoir
-t	PRON	-t
-il	PRON	il
pas	ADV	pas
dit	VERB	dire
?	PUNCT	?
et	CCONJ	et
comment	ADV	comment
aurais	AUX	avoir
-je	PRON	je
eu	VERB	avoir
la	DET	le
force	NOUN	force
d'	ADP	de
entreprendre	VERB	entreprendre
plutôt	ADV	plutôt
le	DET	le
récit	NOUN	récit
que	PRON	que
je	PRON	je
vais	VERB	aller
essayer	VERB	essayer
de	ADP	de
vous	PRON	vous
faire	VERB	faire
?	PUNCT	?
Stéphanie	PROPN	Stéphanie
,	PUNCT	,
dont	PRON	dont
je	PRON	je
vous	PRON	vous
ai	AUX	avoir
entretenue	VERB	entretenir
si	ADV	si
souvent	ADV	souvent
,	PUNCT	,
et	CCONJ	et
que	PRON	que
déjà	ADV	déjà
vous	PRON	vous
aimez	VERB	aimer
sans	ADP	sans
la	PRON	le
connaître	VERB	connaître
,	PUNCT	,
Stéphanie	PROPN	Stéphanie
n'	ADV	n'
habite	VERB	habite
plus	ADV	plus
l'	DET	le
Angleterre	PROPN	Angleterre
.	PUNCT	.
Elle	PRON	lui
est	AUX	être
malade	ADJ	malade
;	PUNCT	;
elle	PRON	lui
est	AUX	être
en	ADP	en
danger	NOUN	danger
,	PUNCT	,
peut-être	ADV	peut-être
.	PUNCT	.
Je	PRON	je
respire	VERB	respire
à	ADP	à
peine	NOUN	peine
.	PUNCT	.
Plaignez	VERB	plaindre
-moi	PRON	moi
.	PUNCT	.
C'	PRON	ce
était	AUX	être
peu	ADV	peu
d'	ADP	de
en	PRON	en
être	AUX	être
séparée	VERB	séparer
;	PUNCT	;
je	PRON	je
l'	PRON	l'
ai	AUX	avoir
vue	VERB	voir
accablée	VERB	accabler
de	ADP	de
chagrin	NOUN	chagrin
,	PUNCT	,
sans	ADP	sans
pouvoir	VERB	pouvoir
lui	PRON	lui
offrir	VERB	offrir
que	ADV	que
des	DET	un
vœux	NOUN	vœu
impuissant	ADJ	impuissant
,	PUNCT	,
des	DET	un
larmes	NOUN	larme
inutiles	ADJ	inutile
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
servaient	VERB	servir
qu'	ADV	qu'
à	ADP	à
déchirer	VERB	déchirer
davantage	ADV	davantage
cette	DET	ce
âme	NOUN	âme
tendre	ADJ	tendre
et	CCONJ	et
délicate	ADJ	délicat
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
ai	AUX	avoir
rien	PRON	rien
fait	VERB	faire
pour	ADP	pour
une	DET	un
amie	NOUN	amie
:	PUNCT	:
que	SCONJ	que
nous	PRON	nous
sommes	AUX	être
infortunées	ADJ	infortuné
,	PUNCT	,
l'	DET	le
une	PRON	un
et	CCONJ	et
l'	DET	le
autre	PRON	autre
!	PUNCT	!
Je	PRON	je
n'	ADV	n'
ai	VERB	avoir
point	ADV	point
son	DET	son
courage	NOUN	courage
;	PUNCT	;
je	PRON	je
n'	ADV	n'
en	PRON	en
veux	VERB	vouloir
point	ADV	point
:	PUNCT	:
de	ADP	de
sa	DET	son
part	NOUN	part
,	PUNCT	,
il	PRON	il
est	AUX	être
sublime	ADJ	sublime
;	PUNCT	;
le	DET	le
mien	PRON	mien
serait	AUX	être
cruel	ADJ	cruel
.	PUNCT	.
Ne	ADV	ne
me	PRON	me
condamnez	VERB	condamner
point	ADV	point
.	PUNCT	.
Je	PRON	je
pourrais	VERB	pouvoir
m'	PRON	me
élever	VERB	élever
au-dessus	ADV	au-dessus
des	ADP	de
coups	NOUN	coup
du	ADP	de
sort	NOUN	sort
,	PUNCT	,
s'	SCONJ	s'
ils	PRON	il
ne	ADV	ne
tombaient	VERB	tomber
que	ADV	que
sur	ADP	sur
moi	PRON	moi
:	PUNCT	:
mais	CCONJ	mais
une	DET	un
autre	ADJ	autre
en	PRON	en
est	AUX	être
la	DET	le
victime	NOUN	victime
;	PUNCT	;
et	CCONJ	et
quelle	DET	quel
autre	ADJ	autre
!	PUNCT	!
un	DET	un
Ange	NOUN	ange
,	PUNCT	,
une	DET	un
créature	NOUN	créature
céleste	ADJ	céleste
,	PUNCT	,
si	ADV	si
digne	ADJ	digne
d'	ADP	de
être	AUX	être
heureuse	ADJ	heureux
;	PUNCT	;
celle	PRON	celui
qui	PRON	qui
me	PRON	me
faisait	VERB	faire
supporter	VERB	supporter
votre	DET	votre
éloignement	NOUN	éloignement
;	PUNCT	;
la	DET	le
seule	ADJ	seul
qui	PRON	qui
pût	VERB	pouvoir
me	PRON	me
tenir	VERB	tenir
lieu	NOUN	lieu
de	ADP	de
vous	PRON	vous
.	PUNCT	.
Et	CCONJ	et
je	PRON	je
ne	ADV	ne
détesterois	VERB	détesterois
pas	ADV	pas
le	DET	le
destin	NOUN	destin
qui	PRON	qui
la	PRON	le
poursuit	VERB	poursuivre
,	PUNCT	,
qui	PRON	qui
l'	PRON	l'
accable	VERB	accable
!	PUNCT	!
Stéphanie	PROPN	Stéphanie
devait	VERB	devoir
lui	PRON	lui
être	AUX	être
un	DET	un
objet	NOUN	objet
sacré	ADJ	sacrer
;	PUNCT	;
elle	PRON	lui
me	PRON	me
l'	PRON	l'
est	AUX	être
,	PUNCT	,
du	ADP	de
moins	ADV	moins
.	PUNCT	.
Apprenez	VERB	apprendre
,	PUNCT	,
mon	DET	mon
Adélaïde	PROPN	Adélaïde
,	PUNCT	,
combien	ADV	combien
d'	ADP	de
obligations	NOUN	obligation
je	PRON	je
lui	PRON	lui
ai	VERB	avoir
.	PUNCT	.
Votre	DET	votre
cœur	NOUN	cœur
,	PUNCT	,
j'	PRON	je
en	PRON	en
suis	AUX	être
sûre	ADJ	sûr
,	PUNCT	,
se	PRON	se
rappelle	VERB	rappeler
,	PUNCT	,
presque	ADV	presque
autant	ADV	autant
que	SCONJ	que
le	DET	le
mien	PRON	mien
,	PUNCT	,
la	DET	le
peine	NOUN	peine
que	PRON	que
nous	PRON	nous
éprouvâmes	VERB	éprouver
,	PUNCT	,
lorsqu'	SCONJ	lorsque
il	PRON	il
me	PRON	me
fallut	VERB	falloir
quitter	VERB	quitter
l'	DET	le
abbaye	NOUN	abbaye
de	ADP	de
.....	PUNCT	.....
où	PRON	où
nous	PRON	nous
étions	VERB	être
élevées	VERB	élever
ensemble	ADV	ensemble
,	PUNCT	,
ces	DET	ce
lieux	NOUN	lieu
où	PRON	où
je	PRON	je
vous	PRON	vous
voyais	VERB	voir
sans	ADP	sans
cesse	NOUN	cesse
,	PUNCT	,
où	PRON	où
les	DET	le
jours	NOUN	jour
de	ADP	de
notre	DET	notre
enfance	NOUN	enfance
,	PUNCT	,
les	DET	le
plus	ADV	plus
heureux	ADJ	heureux
de	ADP	de
tous	PRON	tout
peut-être	ADV	peut-être
,	PUNCT	,
s'	PRON	se
écoulaient	VERB	écouler
trop	ADV	trop
vite	ADV	vite
;	PUNCT	;
ces	DET	ce
jours	NOUN	jour
précieux	ADJ	précieux
,	PUNCT	,
dont	PRON	dont
on	PRON	on
ne	ADV	ne
connaît	VERB	connaître
les	DET	le
jouissances	NOUN	jouissance
que	ADV	que
par	ADP	par
les	DET	le
souvenirs	NOUN	souvenir
,	PUNCT	,
et	CCONJ	et
les	DET	le
biens	NOUN	bien
que	SCONJ	que
lorsqu'	SCONJ	lorsque
ils	PRON	il
échappent	VERB	échapper
.	PUNCT	.

	SPACE	

Votre	DET	votre
famille	NOUN	famille
vous	PRON	vous
destina	VERB	destiner
au	ADP	au
Marquis	NOUN	marquis
de	ADP	de
Norsey	PROPN	Norsey
.	PUNCT	.
Mes	DET	mon
parents	NOUN	parent
me	PRON	me
ramenerent	VERB	ramenerer
dans	ADP	dans
ma	DET	mon
patrie	NOUN	patrie
;	PUNCT	;
et	CCONJ	et
mon	DET	mon
attachement	NOUN	attachement
pour	ADP	pour
eux	PRON	lui
,	PUNCT	,
ni	CCONJ	ni
votre	DET	votre
antipathie	NOUN	antipathie
pour	ADP	pour
le	DET	le
cloître	NOUN	cloître
,	PUNCT	,
ni	CCONJ	ni
votre	DET	votre
tendresse	NOUN	tendresse
pour	ADP	pour
les	DET	le
auteurs	NOUN	auteur
de	ADP	de
vos	DET	votre
jours	NOUN	jour
,	PUNCT	,
ne	ADV	ne
purent	VERB	pouvoir
nous	PRON	nous
fortifier	VERB	fortifier
contre	ADP	contre
l'	DET	le
amertume	NOUN	amertume
de	ADP	de
nos	DET	notre
adieux	NOUN	adieu
:	PUNCT	:
près	ADV	près
de	ADP	de
trois	NUM	trois
ans	NOUN	an
n'	ADV	n'
en	PRON	en
ont	AUX	avoir
point	ADV	point
effacé	VERB	effacer
l'	DET	le
impression	NOUN	impression
.	PUNCT	.
Votre	DET	votre
nation	NOUN	nation
,	PUNCT	,
plus	ADV	plus
aimable	ADJ	aimable
que	SCONJ	que
la	DET	le
mienne	PRON	mienne
,	PUNCT	,
est	AUX	être
aussi	ADV	aussi
plus	ADV	plus
légère	ADJ	léger
.	PUNCT	.
Paris	PROPN	Paris
est	AUX	être
le	DET	le
séjour	NOUN	séjour
des	ADP	de
plaisirs	NOUN	plaisir
,	PUNCT	,
du	ADP	de
tumulte	NOUN	tumulte
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
si	SCONJ	si
je	PRON	je
ne	ADV	ne
fus	AUX	être
pas	ADV	pas
oubliée	VERB	oublier
,	PUNCT	,
jugez	VERB	juger
si	SCONJ	si
vous	PRON	vous
avez	AUX	avoir
dû	VERB	devoir
être	AUX	être
présente	ADJ	présent
au	ADP	au
cœur	NOUN	cœur
d'	ADP	de
une	DET	un
Angloise	PROPN	Angloise
!	PUNCT	!
Loin	ADV	loin
de	ADP	de
vous	PRON	vous
,	PUNCT	,
je	PRON	je
m'	PRON	me
abandonnai	VERB	abandonner
aux	ADP	à
regrets	NOUN	regret
.	PUNCT	.
Je	PRON	je
me	PRON	me
crus	VERB	croire
certaine	ADJ	certain
de	ADP	de
ne	ADV	ne
retrouver	VERB	retrouver
,	PUNCT	,
à	ADP	à
l'	DET	le
avenir	NOUN	avenir
,	PUNCT	,
rien	PRON	rien
qui	PRON	qui
pût	VERB	pouvoir
vous	PRON	vous
ressembler	VERB	ressembler
.	PUNCT	.
Conduite	NOUN	conduite
dans	ADP	dans
les	DET	le
cercles	NOUN	cercle
les	DET	le
plus	ADV	plus
brillant	ADJ	brillant
,	PUNCT	,
toutes	ADJ	tout
celles	PRON	celui
que	PRON	que
j'	PRON	je
y	PRON	y
rencontrai	VERB	rencontrer
,	PUNCT	,
me	PRON	me
confirmerent	VERB	confirmerer
dans	ADP	dans
cette	DET	ce
opinion	NOUN	opinion
.	PUNCT	.
Jamais	ADV	jamais
on	PRON	on
ne	ADV	ne
fut	AUX	être
plus	ADV	plus
étrangère	ADJ	étranger
au	ADP	au
milieu	NOUN	milieu
de	ADP	de
ses	DET	son
compatriotes	NOUN	compatriote
;	PUNCT	;
et	CCONJ	et
je	PRON	je
leur	PRON	leur
serais	AUX	être
devenue	VERB	devenir
,	PUNCT	,
de	ADP	de
jour	NOUN	jour
en	ADP	en
jour	NOUN	jour
,	PUNCT	,
plus	ADV	plus
insupportable	ADJ	insupportable
,	PUNCT	,
si	SCONJ	si
,	PUNCT	,
quelques	DET	quelque
mois	NOUN	mois
après	ADP	après
mon	DET	mon
arrivée	NOUN	arrivée
,	PUNCT	,
je	PRON	je
n'	ADV	n'
avais	AUX	avoir
eu	VERB	avoir
occasion	NOUN	occasion
de	ADP	de
voir	VERB	voir
Stéphanie	PROPN	Stéphanie
.	PUNCT	.
Le	DET	le
même	ADJ	même
charme	NOUN	charme
nous	PRON	nous
attira	VERB	attirer
l'	DET	le
une	PRON	un
