 	SPACE	 
LA	DET	le
BELLE	NOUN	belle
ET	CCONJ	et
LA	DET	le
BÊTE	NOUN	bête
.	PUNCT	.

	SPACE	

CONTE	NOUN	conte
.	PUNCT	.

	SPACE	

Il	PRON	il
y	PRON	y
avait	VERB	avoir
une	DET	un
fois	NOUN	fois
un	DET	un
marchand	NOUN	marchand
qui	PRON	qui
était	AUX	être
extrêmement	ADV	extrêmement
riche	ADJ	riche
.	PUNCT	.
Il	PRON	il
avait	VERB	avoir
six	NUM	six
enfants	NOUN	enfant
,	PUNCT	,
trois	NUM	trois
garçons	NOUN	garçon
et	CCONJ	et
trois	NUM	trois
filles	NOUN	fille
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
comme	SCONJ	comme
ce	DET	ce
marchand	NOUN	marchand
était	AUX	être
un	DET	un
homme	NOUN	homme
d'	ADP	de
esprit	NOUN	esprit
,	PUNCT	,
il	PRON	il
n'	ADV	n'
épargna	VERB	épargner
rien	PRON	rien
pour	ADP	pour
l'	DET	le
éducation	NOUN	éducation
de	ADP	de
ses	DET	son
enfants	NOUN	enfant
,	PUNCT	,
et	CCONJ	et
leur	PRON	leur
donna	VERB	donner
toutes	DET	tout
sortes	NOUN	sorte
de	ADP	de
maîtres	NOUN	maître
.	PUNCT	.
Ses	DET	son
filles	NOUN	fille
étaient	AUX	être
très	ADJ	trè
-	ADV	-
belles	ADJ	bel
;	PUNCT	;
mais	CCONJ	mais
la	DET	le
cadette	NOUN	cadette
,	PUNCT	,
sur-tout	ADV	sur-tout
,	PUNCT	,
se	PRON	se
faisait	AUX	faire
admirer	VERB	admirer
,	PUNCT	,
et	CCONJ	et
on	PRON	on
ne	ADV	ne
l'	PRON	l'
appelait	VERB	appeler
,	PUNCT	,
quand	SCONJ	quand
elle	PRON	lui
était	AUX	être
petite	ADJ	petit
,	PUNCT	,
que	ADV	que
La	DET	le
belle	ADJ	bel
enfant	NOUN	enfant
;	PUNCT	;
en	ADP	en
sorte	NOUN	sorte
que	SCONJ	que
le	DET	le
nom	NOUN	nom
lui	PRON	lui
en	PRON	en
resta	VERB	rester
;	PUNCT	;
ce	PRON	ce
qui	PRON	qui
