 	SPACE	 
LETTRE	NOUN	lettre
DE	ADP	de
CLARICE	PROPN	CLARICE
a	ADP	à
Lady	NOUN	lady
Hariote	PROPN	Hariote
.	PUNCT	.

	SPACE	

Perdre	VERB	perdre
tout	ADV	tout
à	ADP	à
la	DET	le
fois	NOUN	fois
une	DET	un
tante	NOUN	tante
que	PRON	que
j'	PRON	je
ai	AUX	avoir
toujours	ADV	toujours
regardée	VERB	regarder
comme	ADP	comme
la	DET	le
meilleure	NOUN	meilleur
des	ADP	de
mères	NOUN	mère
,	PUNCT	,
et	CCONJ	et
une	DET	un
amie	NOUN	amie
qui	PRON	qui
devait	VERB	devoir
essuyer	VERB	essuyer
mes	DET	mon
larmes	NOUN	larme
en	ADP	en
y	PRON	y
mêlant	VERB	mêler
les	DET	le
siennes	NOUN	sienne
,	PUNCT	,
c'	PRON	ce
en	PRON	en
est	AUX	être
plus	ADV	plus
que	SCONJ	que
votre	DET	votre
Clarice	PROPN	Clarice
n'	ADV	n'
en	PRON	en
peut	VERB	pouvoir
supporter	VERB	supporter
.	PUNCT	.
Aussi	ADV	aussi
suis	VERB	suivre
-je	PRON	je
dans	ADP	dans
un	DET	un
accablement	NOUN	accablement
qu'	PRON	qu'
on	PRON	on
pourrait	VERB	pouvoir
prendre	VERB	prendre
pour	ADP	pour
de	ADP	de
l'	DET	le
insensibilité	NOUN	insensibilité
.	PUNCT	.
J'	PRON	je
ai	AUX	avoir
passé	VERB	passer
les	DET	le
deux	NUM	deux
jours	NOUN	jour
qui	PRON	qui
ont	AUX	avoir
suivi	VERB	suivre
la	DET	le
mort	NOUN	mort
de	ADP	de
cette	DET	ce
tante	NOUN	tante
chérie	ADJ	chéri
,	PUNCT	,
dans	ADP	dans
un	DET	un
silence	NOUN	silence
stupide	ADJ	stupide
,	PUNCT	,
ouvrant	VERB	ouvrir
de	DET	de
grands	ADJ	grand
yeux	NOUN	oeil
sans	ADP	sans
rien	PRON	rien
voir	VERB	voir
,	PUNCT	,
écoutant	VERB	écouter
sans	ADP	sans
rien	PRON	rien
entendre	VERB	entendre
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
une	DET	un
indifférence	NOUN	indifférence
parfaite	ADJ	parfait
sur	ADP	sur
ce	PRON	ce
que	PRON	que
j'	PRON	je
allais	VERB	aller
devenir	VERB	devenir
.	PUNCT	.
Vous	PRON	vous
le	PRON	le
savez	VERB	savoir
,	PUNCT	,
mes	DET	mon
Parents	NOUN	parent
m'	PRON	me
étaient	AUX	être
inconnus	ADJ	inconnu
,	PUNCT	,
puisque	SCONJ	puisque
je	PRON	je
ne	ADV	ne
les	PRON	le
ai	AUX	avoir
vu	VERB	voir
depuis	ADP	depuis
l'	DET	le
âge	NOUN	âge
de	ADP	de
trois	NUM	trois
ans	NOUN	an
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
la	DET	le
