 	SPACE	 
Conte	NOUN	conte
arabe	ADJ	arabe
.	PUNCT	.
Vathek	PROPN	Vathek
,	PUNCT	,
neuvième	ADJ	neuvième
calife	NOUN	calife
de	ADP	de
la	DET	le
race	NOUN	race
des	ADP	de
Abbassides	NOUN	abbasside
,	PUNCT	,
était	AUX	être
fils	NOUN	fils
de	ADP	de
Motassem	PROPN	Motassem
,	PUNCT	,
et	CCONJ	et
petit-fils	NOUN	petit-fils
d'	ADP	de
Haroum	PROPN	Haroum
Al	PROPN	Al
-	PROPN	-
Rachid	PROPN	Rachid
.	PUNCT	.
Il	PRON	il
monta	VERB	monter
sur	ADP	sur
le	DET	le
trône	NOUN	trône
à	ADP	à
la	DET	le
fleur	NOUN	fleur
de	ADP	de
son	DET	son
âge	NOUN	âge
.	PUNCT	.
Les	DET	le
grandes	ADJ	grand
qualités	NOUN	qualité
qu'	PRON	qu'
il	PRON	il
possédait	VERB	posséder
déjà	ADV	déjà
faisaient	AUX	faire
espérer	VERB	espérer
à	ADP	à
ses	DET	son
peuples	NOUN	peuple
que	SCONJ	que
son	DET	son
règne	NOUN	règne
serait	AUX	être
long	ADJ	long
et	CCONJ	et
heureux	ADJ	heureux
.	PUNCT	.
Sa	DET	son
figure	NOUN	figure
était	AUX	être
agréable	ADJ	agréable
et	CCONJ	et
majestueuse	ADJ	majestueux
;	PUNCT	;
mais	CCONJ	mais
,	PUNCT	,
quand	SCONJ	quand
il	PRON	il
était	AUX	être
en	ADP	en
colère	NOUN	colère
,	PUNCT	,
un	PRON	un
de	ADP	de
ses	DET	son
yeux	NOUN	oeil
devenait	VERB	devenir
si	ADV	si
terrible	ADJ	terrible
qu'	SCONJ	que
on	PRON	on
n'	ADV	n'
en	PRON	en
pouvait	VERB	pouvoir
pas	ADV	pas
soutenir	VERB	soutenir
les	DET	le
regards	NOUN	regard
:	PUNCT	:
le	DET	le
malheureux	NOUN	malheureux
sur	ADP	sur
lequel	PRON	lequel
il	PRON	il
le	PRON	le
fixait	VERB	fixer
tombait	VERB	tomber
à	ADP	à
la	DET	le
renverse	NOUN	renverse
,	PUNCT	,
et	CCONJ	et
quelquefois	ADV	quelquefois
même	ADV	même
expirait	VERB	expirer
à	ADP	à
l'	DET	le
instant	NOUN	instant
.	PUNCT	.
Aussi	ADV	aussi
,	PUNCT	,
dans	ADP	dans
la	DET	le
crainte	NOUN	crainte
de	ADP	de
dépeupler	VERB	dépeupler
ses	DET	son
états	NOUN	état
,	PUNCT	,
et	CCONJ	et
de	ADP	de
faire	VERB	faire
un	DET	un
désert	NOUN	désert
de	ADP	de
son	DET	son
palais	NOUN	palais
,	PUNCT	,
ce	DET	ce
prince	NOUN	prince
ne	ADV	ne
se	PRON	se
mettait	VERB	mettre
en	ADP	en
colère	NOUN	colère
que	ADV	que
très	ADV	très
rarement	ADV	rarement
.	PUNCT	.

	SPACE	

Il	PRON	il
était	AUX	être
fort	ADV	fort
adonné	VERB	adonner
aux	ADP	à
femmes	NOUN	femme
et	CCONJ	et
aux	ADP	à
plaisirs	NOUN	plaisir
de	ADP	de
la	DET	le
table	NOUN	table
.	PUNCT	.
Sa	DET	son
générosité	NOUN	générosité
était	AUX	être
sans	ADP	sans
bornes	NOUN	borne
,	PUNCT	,
et	CCONJ	et
ses	DET	son
débauches	NOUN	débauche
sans	ADP	sans
retenues	NOUN	retenue
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
croyait	VERB	croire
pas	ADV	pas
,	PUNCT	,
comme	ADP	comme
Omar	PROPN	Omar
Ben	PROPN	Ben
Abdalaziz	PROPN	Abdalaziz
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
fallût	VERB	falloir
se	PRON	se
faire	VERB	faire
un	DET	un
enfer	NOUN	enfer
de	ADP	de
ce	DET	ce
monde	NOUN	monde
,	PUNCT	,
pour	ADP	pour
avoir	VERB	avoir
le	DET	le
paradis	NOUN	paradis
dans	ADP	dans
l'	DET	le
autre	PRON	autre
.	PUNCT	.
Il	PRON	il
surpassa	VERB	surpasser
en	ADP	en
magnificence	NOUN	magnificence
tous	ADJ	tout
ses	DET	son
prédécesseurs	NOUN	prédécesseur
.	PUNCT	.
Le	DET	le
palais	NOUN	palais
d'	ADP	de
Alkorremi	PROPN	Alkorremi
,	PUNCT	,
bâti	VERB	bâtir
par	ADP	par
son	DET	son
père	NOUN	père
Motassem	PROPN	Motassem
sur	ADP	sur
la	DET	le
colline	NOUN	colline
des	ADP	de
chevaux	NOUN	cheval
pies	NOUN	pie
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
commandait	VERB	commander
toute	ADJ	tout
la	DET	le
ville	NOUN	ville
de	ADP	de
Samarah	PROPN	Samarah
,	PUNCT	,
ne	ADV	ne
lui	PRON	lui
parut	VERB	paraître
pas	ADV	pas
assez	ADV	assez
vaste	ADJ	vaste
.	PUNCT	.
Il	PRON	il
y	PRON	y
ajouta	VERB	ajouter
cinq	NUM	cinq
ailes	NOUN	aile
,	PUNCT	,
ou	CCONJ	ou
plutôt	ADV	plutôt
cinq	NUM	cinq
autres	ADJ	autre
palais	NOUN	palais
,	PUNCT	,
et	CCONJ	et
il	PRON	il
destina	VERB	destiner
chacun	PRON	chacun
à	ADP	à
la	DET	le
satisfaction	NOUN	satisfaction
d'	ADP	de
un	PRON	un
des	ADP	de
sens	NOUN	sens
.	PUNCT	.

	SPACE	

Dans	ADP	dans
le	DET	le
premier	ADJ	premier
de	ADP	de
