 	SPACE	 
ÉLISABETH	PROPN	ÉLISABETH
.	PUNCT	.
LETTRE	NOUN	lettre
I.	ADJ	i.
D'	ADP	de
ELISABETH	PROPN	ELISABETH
,	PUNCT	,
sà	ADP	sà
Madame	NOUN	monsieur
d'	ADP	de
ALBI	PROPN	ALBI
.	PUNCT	.

	SPACE	

Dans	ADP	dans
quel	DET	quel
lieu	NOUN	lieu
es	AUX	être
-	PRON	-
tu	PRON	tu
donc	ADV	donc
,	PUNCT	,
chère	ADJ	cher
Henriette	PROPN	Henriette
,	PUNCT	,
depuis	ADP	depuis
huit	NUM	huit
jours	NOUN	jour
que	PRON	que
j'	PRON	je
attends	VERB	attendre
de	ADP	de
tes	DET	ton
nouvelles	NOUN	nouvelle
?	PUNCT	?
que	PRON	que
me	PRON	me
présage	VERB	présager
ce	DET	ce
silence	NOUN	silence
?	PUNCT	?
serais	AUX	être
-	PRON	-
tu	PRON	tu
malade	ADJ	malade
?	PUNCT	?
Ah	INTJ	Ah
Dieu	PROPN	Dieu
!	PUNCT	!
ce	DET	ce
chagrin	NOUN	chagrin
viendrait	VERB	venir
-il	PRON	il
troubler	VERB	troubler
ma	DET	mon
joie	NOUN	joie
?	PUNCT	?
que	PRON	que
dis	VERB	dire
-je	PRON	je
,	PUNCT	,
ma	DET	mon
joie	NOUN	joie
?	PUNCT	?
ce	DET	ce
mot	NOUN	mot
ne	ADV	ne
rend	VERB	rendre
point	ADV	point
e	PRON	e
que	PRON	que
j'	PRON	je
éprouve	VERB	éprouve
.	PUNCT	.

	SPACE	

Tu	PRON	tu
sais	VERB	savoir
combien	ADV	combien
ta	DET	ton
présence	NOUN	présence
me	PRON	me
fut	AUX	être
toujours	ADV	toujours
chère	ADJ	cher
:	PUNCT	:
mais	CCONJ	mais
qu'	SCONJ	que
elle	PRON	lui
me	PRON	me
devient	VERB	devenir
nécessaire	ADJ	nécessaire
en	ADP	en
ce	DET	ce
moment	NOUN	moment
Enfin	ADV	enfin
,	PUNCT	,
pour	ADP	pour
la	DET	le
première	ADJ	premier
fois	NOUN	fois
,	PUNCT	,
j'	PRON	je
ai	VERB	avoir
un	DET	un
important	ADJ	important
secret	NOUN	secret
à	ADP	à
te	PRON	te
confier	VERB	confier
.	PUNCT	.

	SPACE	

Je	PRON	je
t'	PRON	te
avoue	VERB	avoue
que	SCONJ	que
j'	PRON	je
en	PRON	en
suis	AUX	être
si	ADV	si
fort	ADV	fort
affectée	VERB	affecter
,	PUNCT	,
que	SCONJ	que
je	PRON	je
crains	VERB	craindre
sans	ADP	sans
cesse	NOUN	cesse
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
m'	PRON	me
échappe	VERB	échappe
.	PUNCT	.
Reviens	VERB	revenir
donc	ADV	donc
;	PUNCT	;
hâte	VERB	hâter
-	VERB	-
toi	PRON	toi
de	ADP	de
préserver	VERB	préserver
ton	DET	ton
amie	NOUN	amie
de	ADP	de
quelqu'	DET	quelque
imprudence	NOUN	imprudence
:	PUNCT	:
viens	VERB	venir
partager	VERB	partager
et	CCONJ	et
combler	VERB	combler
son	DET	son
bonheur	NOUN	bonheur
!	PUNCT	!
.....	PUNCT	.....
Je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
y	PRON	y
suffire	VERB	suffire
toute	ADV	toute
seule	ADJ	seul
.	PUNCT	.
Depuis	ADP	depuis
trois	NUM	trois
jours	NOUN	jour
le	DET	le
sourire	NOUN	sourire
ne	ADV	ne
m'	PRON	me
a	AUX	avoir
point	ADV	point
abandonnée	VERB	abandonner
.	PUNCT	.
Je	PRON	je
me	PRON	me
refuse	VERB	refuse
au	ADP	au
sommeil	NOUN	sommeil
,	PUNCT	,
crainte	NOUN	crainte
de	ADP	de
perdre	VERB	perdre
le	DET	le
sentiment	NOUN	sentiment
de	ADP	de
ma	DET	mon
situation	NOUN	situation
:	PUNCT	:
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
m'	PRON	me
environne	VERB	environne
me	PRON	me
semble	VERB	semble
embelli	VERB	embellir
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
est	AUX	être
point	ADV	point
d'	DET	d'
objet	NOUN	objet
qui	PRON	qui
ne	ADV	ne
soit	AUX	être
paré	VERB	parer
des	ADP	de
riantes	ADJ	riant
couleurs	NOUN	couleur
de	ADP	de
mon	DET	mon
imagination	NOUN	imagination
;	PUNCT	;
les	DET	le
choses	NOUN	chose
,	PUNCT	,
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
tout	PRON	tout
me	PRON	me
paraît	VERB	paraître
perfectionné	VERB	perfectionner
.	PUNCT	.
Il	PRON	il
n'	ADV	n'
y	PRON	y
a	VERB	avoir
pas	ADV	pas
jusqu'	ADP	jusque
à	ADP	à
la	DET	le
maussade	ADJ	maussade
humeur	NOUN	humeur
de	ADP	de
mon	DET	mon
oncle	NOUN	oncle
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
me	PRON	me
semble	VERB	semble
agréable	ADJ	agréable
;	PUNCT	;
et	CCONJ	et
toi	PRON	toi
-	PRON	-
même	PRON	même
,	PUNCT	,
chère	ADJ	cher
Henriette	PROPN	Henriette
,	PUNCT	,
te	PRON	te
l'	PRON	l'
avouerai	VERB	avouer
-je	PRON	je
?	PUNCT	?
le	PRON	le
croiras	VERB	croire
-	PRON	-
tu	PRON	tu
?	PUNCT	?
je	PRON	je
t'	PRON	te
aime	VERB	aime
quatre	NUM	quatre
fois	NOUN	fois
davantage	ADV	davantage
;	PUNCT	;
...	PUNCT	...

	SPACE	

oui	ADV	oui
,	PUNCT	,
si	SCONJ	si
tu	PRON	tu
étais	VERB	être
-là	ADV	-là
,	PUNCT	,
je	PRON	je
te	PRON	te
donnerais	VERB	donner
mille	NUM	mille
baisers	NOUN	baiser
:	PUNCT	:
mais	CCONJ	mais
cet	DET	ce
excès	NOUN	excès
de	ADP	de
tendresse	NOUN	tendresse
ne	ADV	ne
t'	PRON	te
explique	VERB	explique
rien	PRON	rien
.	PUNCT	.
La	DET	le
mienne	PRON	mienne
pour	ADP	pour
toi	PRON	toi
a	AUX	avoir
toujours	ADV	toujours
été	AUX	être
si	ADV	si
vive	ADJ	vif
depuis	ADP	depuis
que	SCONJ	que
je	PRON	je
t'	PRON	te
ai	AUX	avoir
