 	SPACE	 
Il	PRON	il
y	PRON	y
a	VERB	avoir
environ	ADV	environ
trente	NUM	trente
ans	NOUN	an
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
se	PRON	se
forma	VERB	former
à	ADP	à
Londres	PROPN	Londres
une	DET	un
compagnie	NOUN	compagnie
de	ADP	de
savants	NOUN	savant
anglais	ADJ	anglais
qui	PRON	qui
entreprit	VERB	entreprendre
d	ADP	d
'	ADP	'
aller	VERB	aller
chercher	VERB	chercher
,	PUNCT	,
dans	ADP	dans
diverses	ADJ	divers
parties	NOUN	party
du	ADP	de
monde	NOUN	monde
,	PUNCT	,
des	DET	un
lumières	NOUN	lumière
sur	ADP	sur
toutes	ADJ	tout
les	DET	le
sciences	NOUN	science
,	PUNCT	,
afin	ADV	afin
d	ADP	d
'	ADP	'
éclairer	VERB	éclairer
les	DET	le
hommes	NOUN	homme
et	CCONJ	et
de	ADP	de
les	PRON	le
rendre	VERB	rendre
plus	ADV	plus
heureux	ADJ	heureux
.	PUNCT	.
Elle	PRON	lui
était	AUX	être
défrayée	VERB	défrayer
par	ADP	par
une	DET	un
compagnie	NOUN	compagnie
de	ADP	de
souscripteurs	NOUN	souscripteur
de	ADP	de
la	DET	le
même	ADJ	même
nation	NOUN	nation
,	PUNCT	,
composée	VERB	composer
de	ADP	de
négociants	NOUN	négociant
,	PUNCT	,
de	ADP	de
lords	NOUN	lord
,	PUNCT	,
d	ADP	d
'	ADP	'
évêques	NOUN	évêque
,	PUNCT	,
d	ADP	d
'	ADP	'
universités	NOUN	université
,	PUNCT	,
et	CCONJ	et
de	ADP	de
la	DET	le
famille	NOUN	famille
royale	ADJ	royal
d	ADP	d
'	ADP	'
Angleterre	PROPN	Angleterre
,	PUNCT	,
à	ADP	à
laquelle	PRON	lequel
se	PRON	se
joignirent	VERB	joindre
quelques	DET	quelque
souverains	NOUN	souverain
du	ADP	de
nord	NOUN	nord
de	ADP	de
l	DET	l
'	DET	'
Europe	PROPN	Europe
.	PUNCT	.
Ces	DET	ce
savants	NOUN	savant
étaient	AUX	être
au	ADP	au
nombre	NOUN	nombre
de	ADP	de
vingt	PRON	vingt
;	PUNCT	;
et	CCONJ	et
la	DET	le
