 	SPACE	 
Je	PRON	je
m	PRON	m
'	PRON	'
abandonne	VERB	abandonne
à	ADP	à
vous	PRON	vous
,	PUNCT	,
ma	DET	mon
plume	NOUN	plume
;	PUNCT	;
jusqu	ADP	jusqu
'	ADP	'
ici	ADV	ici
mon	DET	mon
esprit	NOUN	esprit
vous	PRON	vous
a	AUX	avoir
conduite	VERB	conduire
;	PUNCT	;
conduisez	VERB	conduire
aujourd	ADV	aujourd
'	ADV	'
hui	ADV	hui
mon	DET	mon
esprit	NOUN	esprit
,	PUNCT	,
et	CCONJ	et
commandez	VERB	commander
à	ADP	à
votre	DET	votre
maître	NOUN	maître
.	PUNCT	.
Le	DET	le
sultan	NOUN	sultan
des	ADP	de
mille	NUM	mille
et	CCONJ	et
une	DET	un
nuit	NOUN	nuit
interrogeait	VERB	interroger
Dinazarde	PROPN	Dinazarde
;	PUNCT	;
le	DET	le
géant	NOUN	géant
Molinos	PROPN	Molinos
,	PUNCT	,
son	DET	son
bélier	NOUN	bélier
,	PUNCT	,
et	CCONJ	et
on	PRON	on
leur	PRON	leur
contait	VERB	conter
des	DET	un
histoires	NOUN	histoire
,	PUNCT	,
contez	VERB	conter
m	PRON	m
'	PRON	'
en	PRON	en
aussi	ADV	aussi
quelqu	DET	quelqu
'	DET	'
une	DET	un
que	PRON	que
je	PRON	je
ne	ADV	ne
sache	VERB	savoir
pas	ADV	pas
.	PUNCT	.
Il	PRON	il
m	PRON	m
'	PRON	'
est	AUX	être
égal	ADJ	égal
que	SCONJ	que
vous	PRON	vous
commenciez	VERB	commencer
par	ADP	par
le	DET	le
milieu	NOUN	milieu
ou	CCONJ	ou
par	ADP	par
la	DET	le
fin	NOUN	fin
.	PUNCT	.
Pour	ADP	pour
vous	PRON	vous
,	PUNCT	,
mes	DET	mon
lecteurs	NOUN	lecteur
,	PUNCT	,
je	PRON	je
vous	PRON	vous
avertis	VERB	avertir
d	ADP	d
'	ADP	'
avance	NOUN	avance
que	SCONJ	que
c	PRON	c
'	PRON	'
est	AUX	être
pour	ADP	pour
mon	DET	mon
plaisir	NOUN	plaisir
,	PUNCT	,
et	CCONJ	et
non	ADV	non
point	NOUN	point
pour	ADP	pour
le	DET	le
vôtre	DET	vôtre
,	PUNCT	,
que	PRON	que
j	PRON	j
'	PRON	'
écris	VERB	écrire
.	PUNCT	.
Vous	PRON	vous
êtes	AUX	être
entourés	VERB	entourer
d	ADP	d
'	ADP	'
amis	NOUN	ami
,	PUNCT	,
de	ADP	de
maitresses	NOUN	maitresse
et	CCONJ	et
d	ADP	d
'	ADP	'
amant	NOUN	amant
;	PUNCT	;
vous	PRON	vous
n	ADV	n
'	ADV	'
avez	VERB	avoir
que	ADV	que
faire	VERB	faire
de	ADP	de
moi	PRON	moi
pour	ADP	pour
vous	PRON	vous
amuser	VERB	amuser
;	PUNCT	;
mais	CCONJ	mais
moi	PRON	moi
,	PUNCT	,
je	PRON	je
suis	AUX	être
seul	ADJ	seul
,	PUNCT	,
et	CCONJ	et
je	PRON	je
voudrais	VERB	vouloir
bien	ADV	bien
me	PRON	me
tenir	VERB	tenir
