 	SPACE	 
CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier
.	PUNCT	.

	SPACE	

Sagesse	NOUN	sagesse
d'	ADP	de
Hubert	PROPN	Hubert
.	PUNCT	.
Embarras	NOUN	embarras
de	ADP	de
ses	DET	son
Courtisans	NOUN	courtisan
.	PUNCT	.
Combat	NOUN	combat
contre	ADP	contre
deux	NUM	deux
Corsaires	NOUN	corsaire
.	PUNCT	.

	SPACE	

S'	SCONJ	s'
IL	PRON	il
EST	AUX	être
un	DET	un
plus	ADV	plus
grand	ADJ	grand
crime	NOUN	crime
,	PUNCT	,
il	PRON	il
n'	ADV	n'
en	PRON	en
est	VERB	être
pas	ADV	pas
du	ADP	de
moins	ADV	moins
de	ADP	de
plus	ADV	plus
insensé	ADJ	insensé
,	PUNCT	,
que	SCONJ	que
de	ADP	de
murmurer	VERB	murmurer
contre	ADP	contre
la	DET	le
Providence	NOUN	providence
;	PUNCT	;
nous	PRON	nous
lui	PRON	lui
imputons	VERB	imputer
des	DET	un
malheurs	NOUN	malheur
que	PRON	que
nous	PRON	nous
nous	PRON	nous
faisons	VERB	faire
nousmême	PRON	nousmême
,	PUNCT	,
ou	CCONJ	ou
qui	PRON	qui
,	PUNCT	,
étant	AUX	être
liés	VERB	lier
à	ADP	à
un	DET	un
ordre	NOUN	ordre
invariable	ADJ	invariable
de	ADP	de
choses	NOUN	chose
,	PUNCT	,
sont	AUX	être
presque	ADV	presque
toujours	ADV	toujours
la	DET	le
source	NOUN	source
des	ADP	de
plus	ADV	plus
grands	ADJ	grand
biens	NOUN	bien
.	PUNCT	.
Pour	ADP	pour
qui	PRON	qui
pourrait	VERB	pouvoir
voir	VERB	voir
la	DET	le
chaîne	NOUN	chaîne
des	ADP	de
événement	NOUN	événement
,	PUNCT	,
il	PRON	il
n'	ADV	n'
y	PRON	y
aurait	VERB	avoir
ni	CCONJ	ni
bonheur	NOUN	bonheur
,	PUNCT	,
ni	CCONJ	ni
malheur	NOUN	malheur
sur	ADP	sur
la	DET	le
terre	NOUN	terre
:	PUNCT	:
ceux	PRON	celui
dont	PRON	dont
nous	PRON	nous
nous	PRON	nous
plaignons	VERB	plaindre
,	PUNCT	,
ne	ADV	ne
sont	AUX	être
le	DET	le
plus	ADV	plus
souvent	ADV	souvent
des	DET	un
maux	NOUN	mal
,	PUNCT	,
que	ADV	que
parcequ'	SCONJ	parcequ'
ils	PRON	il
contrarient	VERB	contrarier
nos	DET	notre
passions	NOUN	passion
ou	CCONJ	ou
nos	DET	notre
préjugés	NOUN	préjugé
.	PUNCT	.
Si	SCONJ	si
la	DET	le
Providence	NOUN	providence
s'	PRON	se
assujetcissoit	VERB	assujetcissoit
aux	ADP	à
fanraisies	NOUN	fanraisie
particulières	ADJ	particulier
des	ADP	de
elle	PRON	lui
réuffiroit	VERB	réuffiroit
à	ADP	à
faire	VERB	faire
le	DET	le
bien	NOUN	bien
général	ADJ	général
qui	PRON	qui
ne	ADV	ne
résulte	VERB	résulte
pas	ADV	pas
du	ADP	de
bonheur	NOUN	bonheur
du	ADP	de
grand	ADJ	grand
nombre	NOUN	nombre
,	PUNCT	,
mais	CCONJ	mais
du	ADP	de
mélange	NOUN	mélange
des	ADP	de
biens	NOUN	bien
et	CCONJ	et
des	ADP	de
maux	NOUN	mal
de	ADP	de
tous	PRON	tout
.	PUNCT	.
D'	ADP	de
ailleurs	ADV	ailleurs
nous	PRON	nous
nous	PRON	nous
méprenons	VERB	méprendre
si	ADV	si
souvent	ADV	souvent
sur	ADP	sur
les	DET	le
objets	NOUN	objet
de	ADP	de
nos	DET	notre
vœux	NOUN	vœu
,	PUNCT	,
nous	PRON	nous
avons	VERB	avoir
des	DET	un
idées	NOUN	idée
si	ADV	si
fausses	ADJ	faux
du	ADP	de
bonheur	NOUN	bonheur
ou	CCONJ	ou
du	ADP	de
malheur	NOUN	malheur
,	PUNCT	,
que	SCONJ	que
nos	DET	notre
désirs	NOUN	désir
sont	AUX	être
souvent	ADV	souvent
des	DET	un
blasphèmes	NOUN	blasphème
,	PUNCT	,
dont	PRON	dont
la	DET	le
Providence	NOUN	providence
se	PRON	se
venge	VERB	venger
en	ADP	en
les	PRON	le
exhaussant	VERB	exhausser
.	PUNCT	.

	SPACE	

Tels	ADJ	tel
furent	AUX	être
les	DET	le
vœux	NOUN	vœu
importuns	ADJ	importun
de	ADP	de
la	DET	le
Duchesse	NOUN	duchesse
de	ADP	de
Bretagne	PROPN	Bretagne
,	PUNCT	,
jeune	ADJ	jeune
épouse	NOUN	épouse
d'	ADP	de
Hubert	PROPN	Hubert
,	PUNCT	,
Duc	NOUN	duc
de	ADP	de
Normandie	PROPN	Normandie
,	PUNCT	,
qui	PRON	qui
depuis	ADP	depuis
dixsept	NUM	dixsept
ans	NOUN	an
qu'	SCONJ	que
elle	PRON	lui
était	AUX	être
mariée	VERB	marier
,	PUNCT	,
implorait	VERB	implorer
le	DET	le
ciel	NOUN	ciel
pour	ADP	pour
avoir	VERB	avoir
des	DET	un
enfants	NOUN	enfant
,	PUNCT	,
et	CCONJ	et
murmurait	VERB	murmurer
de	ADP	de
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
était	AUX	être
sourd	ADJ	sourd
à	ADP	à
ses	DET	son
cris	NOUN	cri
:	PUNCT	:
à	ADP	à
cela	PRON	cela
près	ADV	près
,	PUNCT	,
elle	PRON	lui
pouvait	VERB	pouvoir
se	PRON	se
regarder	VERB	regarder
comme	ADP	comme
la	DET	le
plus	ADV	plus
heureuse	ADJ	heureux
des	ADP	de
femmes	NOUN	femme
:	PUNCT	:
épouse	NOUN	épouse
adorée	VERB	adorer
,	PUNCT	,
Princesse	NOUN	princesse
respectée	VERB	respecter
et	CCONJ	et
chérie	VERB	chérir
,	PUNCT	,
maîtresse	NOUN	maîtresse
absolue	ADJ	absolu
,	PUNCT	,
dont	PRON	dont
la	DET	le
beauté	NOUN	beauté
égalait	VERB	égaler
le	DET	le
pouvoir	NOUN	pouvoir
,	PUNCT	,
rien	PRON	rien
ne	ADV	ne
semblait	VERB	sembler
manquer	VERB	manquer
à	ADP	à
sa	DET	son
félicité	NOUN	félicité
.	PUNCT	.
Le	DET	le
Duc	NOUN	duc
possédait	VERB	posséder
outre	ADP	outre
le	DET	le
Duché	NOUN	duché
de	ADP	de
Normandie	PROPN	Normandie
,	PUNCT	,
des	DET	un
biens	NOUN	bien
immenses	ADJ	immense
et	CCONJ	et
les	DET	le
plus	ADV	plus
belles	ADJ	bel
prérogatives	NOUN	prérogative
;	PUNCT	;
il	PRON	il
y	PRON	y
avait	AUX	avoir
joint	VERB	joindre
une	DET	un
partie	NOUN	partie
de	ADP	de
la	DET	le
Bretagne	PROPN	Bretagne
que	PRON	que
son	DET	son
épouse	NOUN	épouse
lui	PRON	lui
avait	AUX	avoir
apportée	VERB	apporter
en	ADP	en
dot	NOUN	dot
.	PUNCT	.
L'	DET	le
amour	NOUN	amour
,	PUNCT	,
la	DET	le
convenance	NOUN	convenance
,	PUNCT	,
et	CCONJ	et
le	DET	le
vœu	NOUN	vœu
de	ADP	de
son	DET	son
peuple	NOUN	peuple
,	PUNCT	,
avaient	AUX	avoir
engagé	VERB	engager
Hubert	PROPN	Hubert
à	ADP	à
demander	VERB	demander
au	ADP	au
Duc	NOUN	duc
de	ADP	de
Bretagne	PROPN	Bretagne
la	DET	le
main	NOUN	main
de	ADP	de
sa	DET	son
fille	NOUN	fille
:	PUNCT	:
la	DET	le
Souveraineté	NOUN	souveraineté
était	AUX	être
le	DET	le
moindre	ADJ	moindre
des	ADP	de
avantages	NOUN	avantage
que	PRON	que
possédait	VERB	posséder
le	DET	le
Duc	NOUN	duc
de	ADP	de
Normandie	PROPN	Normandie
.	PUNCT	.
Aux	ADP	à
qualités	NOUN	qualité
du	ADP	de
corps	NOUN	corps
et	CCONJ	et
de	ADP	de
l'	DET	le
esprit	NOUN	esprit
,	PUNCT	,
il	PRON	il
joignait	VERB	joindre
l'	DET	le
âme	NOUN	âme
la	DET	le
plus	ADV	plus
belle	ADJ	bel
:	PUNCT	:
juste	ADJ	juste
,	PUNCT	,
vaillant	ADJ	vaillant
et	CCONJ	et
magnifique	ADJ	magnifique
,	PUNCT	,
mille	NUM	mille
traits	NOUN	trait
héroïques	ADJ	héroïque
caractérisoient	VERB	caractérisoier
sa	DET	son
vie	NOUN	vie
.	PUNCT	.
Les	DET	le
Rois	NOUN	roi
le	PRON	le
prenaient	VERB	prendre
pour	ADP	pour
arbitre	NOUN	arbitre
de	ADP	de
leurs	DET	leur
querelles	NOUN	querelle
;	PUNCT	;
et	CCONJ	et
lorsqu'	SCONJ	lorsque
il	PRON	il
avait	AUX	avoir
prononcé	VERB	prononcer
,	PUNCT	,
si	SCONJ	si
l'	DET	le
un	PRON	un
des	ADP	de
deux	PRON	deux
refusait	VERB	refuser
de	ADP	de
terminer	VERB	terminer
leurs	DET	leur
différents	NOUN	différent
,	PUNCT	,
Hubert	PROPN	Hubert
prenait	VERB	prendre
les	DET	le
armes	NOUN	arme
,	PUNCT	,
se	PRON	se
rangeoit	VERB	rangeoit
du	ADP	de
côté	NOUN	côté
du	ADP	de
plus	ADV	plus
