 	SPACE	 
CHANT	NOUN	chant
1	NUM	1
Je	PRON	je
voulais	VERB	vouloir
chanter	VERB	chanter
les	DET	le
dieux	NOUN	dieu
,	PUNCT	,
les	DET	le
héros	NOUN	héros
et	CCONJ	et
les	DET	le
belles	ADJ	bel
;	PUNCT	;
mais	CCONJ	mais
la	DET	le
gaîté	NOUN	gaîté
m	PRON	m
'	PRON	'
entraîne	VERB	entraîne
,	PUNCT	,
elle	PRON	lui
m	PRON	m
'	PRON	'
égare	VERB	égare
,	PUNCT	,
elle	PRON	lui
veut	VERB	vouloir
que	SCONJ	que
je	PRON	je
folâtre	VERB	folâtre
malgré	ADP	malgré
moi	PRON	moi
.	PUNCT	.
Le	DET	le
dieu	NOUN	dieu
du	ADP	de
ridicule	NOUN	ridicule
m	PRON	m
'	PRON	'
apparoît	VERB	apparoît
.	PUNCT	.
Viens	VERB	venir
,	PUNCT	,
me	PRON	me
dit	VERB	dire
-il	PRON	il
,	PUNCT	,
entre	VERB	entre
dans	ADP	dans
ma	DET	mon
carrière	NOUN	carrière
,	PUNCT	,
je	PRON	je
te	PRON	te
soumets	VERB	soumettre
tous	ADJ	tout
les	DET	le
esprits	NOUN	esprit
...	PUNCT	...
puissant	ADJ	puissant
dieu	NOUN	dieu
!	PUNCT	!
M	PRON	m
'	PRON	'
écrié	VERB	écrier
-je	PRON	je
...	PUNCT	...
il	PRON	il
s	PRON	s
'	PRON	'
est	AUX	être
évanoui	VERB	évanouir
,	PUNCT	,
et	CCONJ	et
m	PRON	m
'	PRON	'
a	AUX	avoir
laissé	VERB	laisser
son	DET	son
sceptre	NOUN	sceptre
et	CCONJ	et
ses	DET	son
grelots	NOUN	grelot
.	PUNCT	.
Loin	ADV	loin
d	ADP	d
'	ADP	'
ici	ADV	ici
la	DET	le
réserve	NOUN	réserve
minaudière	NOUN	minaudier
,	PUNCT	,
fille	NOUN	fille
dédaigneuse	ADJ	dédaigneux
de	ADP	de
l	DET	l
'	DET	'
humeur	NOUN	humeur
et	CCONJ	et
de	ADP	de
la	DET	le
jalousie	NOUN	jalousie
.	PUNCT	.
Venez	VERB	venir
,	PUNCT	,
esprits	NOUN	esprit
enfantins	ADJ	enfantin
,	PUNCT	,
enjoués	ADJ	enjoué
,	PUNCT	,
complaisant	ADJ	complaisant
,	PUNCT	,
faciles	ADJ	facile
,	PUNCT	,
troupe	NOUN	troupe
oisive	ADJ	oisif
et	CCONJ	et
riante	ADJ	riant
,	PUNCT	,
environnez	VERB	environner
votre	DET	votre
poéte	NOUN	poéte
,	PUNCT	,
formez	VERB	former
des	DET	un
groupes	NOUN	groupe
autour	ADV	autour
de	ADP	de
moi	PRON	moi
:	PUNCT	:
mêlez	VERB	mêler
du	DET	de
lierre	NOUN	lierre
et	CCONJ	et
des	DET	un
fleurs	NOUN	fleur
à	ADP	à
mes	DET	mon
grelots	NOUN	grelot
;	PUNCT	;
qu	SCONJ	qu
'	SCONJ	'
un	DET	un
peu	NOUN	peu
de	ADP	de
sel	NOUN	sel
rende	VERB	rendre
le	DET	le
babil	NOUN	babil
piquant	ADJ	piquant
;	PUNCT	;
que	SCONJ	que
le	DET	le
ridicule	NOUN	ridicule
ne	ADV	ne
soit	AUX	être
point	ADV	point
sans	ADP	sans
grâces	NOUN	grâce
:	PUNCT	:
rêvons	VERB	rêver
,	PUNCT	,
chantons	VERB	chanter
,	PUNCT	,
amusons	VERB	amuser
-nous	PRON	nous
.	PUNCT	.
