 	SPACE	 
Nous	PRON	nous
attendons	VERB	attendre
votre	DET	votre
réponse	NOUN	réponse
dans	ADP	dans
une	DET	un
jolie	ADJ	joli
maison	NOUN	maison
à	ADP	à
trois	NUM	trois
quarts	NOUN	quart
de	ADP	de
lieue	NOUN	lieue
de	ADP	de
Lausanne	PROPN	Lausanne
,	PUNCT	,
que	PRON	que
l'	PRON	l'
on	PRON	on
m'	PRON	me
a	AUX	avoir
prêtée	VERB	prêter
.	PUNCT	.
Les	DET	le
étrangers	NOUN	étranger
qui	PRON	qui
demandaient	VERB	demander
à	ADP	à
louer	VERB	louer
la	DET	le
mienne	PRON	mienne
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
l'	PRON	l'
ont	AUX	avoir
louée	VERB	louer
,	PUNCT	,
étaient	AUX	être
pressés	VERB	presser
d'	ADP	de
y	PRON	y
entrer	VERB	entrer
.	PUNCT	.
J'	PRON	je
y	PRON	y
ai	AUX	avoir
laissé	VERB	laisser
tous	ADJ	tout
mes	DET	mon
meubles	NOUN	meuble
,	PUNCT	,
de	ADP	de
sorte	NOUN	sorte
que	SCONJ	que
nous	PRON	nous
n'	ADV	n'
avons	AUX	avoir
eu	VERB	avoir
ni	CCONJ	ni
fatigue	NOUN	fatigue
ni	CCONJ	ni
embarras	NOUN	embarras
.	PUNCT	.
Il	PRON	il
serait	AUX	être
possible	ADJ	possible
que	SCONJ	que
,	PUNCT	,
la	DET	le
neige	NOUN	neige
ne	ADV	ne
se	PRON	se
fondant	VERB	fondre
pas	ADV	pas
,	PUNCT	,
ou	CCONJ	ou
se	PRON	se
fondant	VERB	fondre
tout-à-coup	ADV	tout-à-coup
,	PUNCT	,
nous	PRON	nous
ne	ADV	ne
pussions	VERB	pouvoir
partir	VERB	partir
aussitôt	ADV	aussitôt
que	SCONJ	que
nous	PRON	nous
le	PRON	le
voudrions	VERB	vouloir
.	PUNCT	.
À	ADP	à
présent	NOUN	présent
cela	PRON	cela
m'	PRON	me
est	AUX	être
