 	SPACE	 
PREMIÈRE	ADJ	premier
PARTIE	NOUN	partie
Emilie	PROPN	Emilie
avait	VERB	avoir
seize	NUM	seize
ans	NOUN	an
et	CCONJ	et
demi	NOUN	demi
quand	SCONJ	quand
elle	PRON	lui
émigra	VERB	émigrer
avec	ADP	avec
son	DET	son
père	NOUN	père
et	CCONJ	et
sa	DET	son
mère	NOUN	mère
,	PUNCT	,
gens	NOUN	gens
de	ADP	de
mérite	NOUN	mérite
,	PUNCT	,
d'	ADP	de
honneur	NOUN	honneur
,	PUNCT	,
de	ADP	de
naissance	NOUN	naissance
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
avaient	AUX	avoir
été	AUX	être
assez	ADV	assez
riches	ADJ	riche
pour	ADP	pour
espérer	VERB	espérer
de	ADP	de
marier	VERB	marier
très	ADV	très
bien	ADV	bien
leur	DET	leur
fille	NOUN	fille
.	PUNCT	.
Elle	PRON	lui
était	AUX	être
fille	NOUN	fille
unique	ADJ	unique
,	PUNCT	,
elle	PRON	lui
avait	VERB	avoir
de	ADP	de
la	DET	le
beauté	NOUN	beauté
et	CCONJ	et
de	ADP	de
l'	DET	le
esprit	NOUN	esprit
,	PUNCT	,
on	PRON	on
lui	PRON	lui
avait	AUX	avoir
prodigué	VERB	prodiguer
toute	DET	tout
espèce	NOUN	espèce
d'	ADP	de
instruction	NOUN	instruction
,	PUNCT	,
et	CCONJ	et
cependant	ADV	cependant
elle	PRON	lui
n'	ADV	n'
avait	VERB	avoir
qu'	ADV	qu'
un	DET	un
amour	NOUN	amour
-	NOUN	-
propre	NOUN	propre
et	CCONJ	et
des	DET	un
prétentions	NOUN	prétention
supportables	ADJ	supportable
:	PUNCT	:
elle	PRON	lui
parlait	VERB	parler
avec	ADP	avec
assez	ADV	assez
de	ADP	de
simplicité	NOUN	simplicité
;	PUNCT	;
elle	PRON	lui
avait	VERB	avoir
quelques	DET	quelque
égards	NOUN	égard
pour	ADP	pour
des	DET	un
étrangers	ADJ	étranger
qui	PRON	qui
l'	PRON	l'
accueillaient	VERB	accueillir
.	PUNCT	.

	SPACE	

Son	DET	son
père	NOUN	père
et	CCONJ	et
sa	DET	son
mère	NOUN	mère
espéraient	VERB	espérer
,	PUNCT	,
ainsi	ADV	ainsi
que	SCONJ	que
tant	ADV	tant
d'	DET	d'
autres	ADJ	autre
,	PUNCT	,
une	DET	un
contre-révolution	NOUN	contre-révolution
prochaine	ADJ	prochain
,	PUNCT	,
uniquement	ADV	uniquement
parce	SCONJ	parce
qu'	SCONJ	que
ils	PRON	il
la	PRON	le
désiraient	VERB	désirer
,	PUNCT	,
et	CCONJ	et
cet	DET	ce
espoir	NOUN	espoir
les	PRON	le
avait	AUX	avoir
empêchés	VERB	empêcher
de	ADP	de
vendre	VERB	vendre
,	PUNCT	,
lorsqu'	SCONJ	lorsque
il	PRON	il
en	PRON	en
était	AUX	être
encore	ADV	encore
temps	ADJ	temp
,	PUNCT	,
un	DET	un
château	NOUN	château
en	ADP	en
province	NOUN	province
et	CCONJ	et
un	DET	un
hôtel	NOUN	hôtel
qu'	PRON	qu'
ils	PRON	il
avaient	VERB	avoir
à	ADP	à
Paris	PROPN	Paris
.	PUNCT	.
Sans	ADP	sans
prévoyance	NOUN	prévoyance
d'	ADP	de
abord	NOUN	abord
,	PUNCT	,
bientôt	ADV	bientôt
sans	ADP	sans
argent	NOUN	argent
,	PUNCT	,
le	DET	le
chagrin	NOUN	chagrin
triompha	VERB	triompher
de	ADP	de
leur	DET	leur
raison	NOUN	raison
,	PUNCT	,
altéra	VERB	altérer
leur	DET	leur
santé	NOUN	santé
,	PUNCT	,
et	CCONJ	et
les	PRON	le
conduisit	VERB	conduire
au	ADP	au
tombeau	NOUN	tombeau
presque	ADV	presque
en	ADP	en
même	ADJ	même
temps	NOUN	temps
.	PUNCT	.

	SPACE	

-Vivez	VERB	-viver
pour	ADP	pour
moi	PRON	moi
,	PUNCT	,
s'	PRON	se
écriait	VERB	écrier
la	DET	le
malheureuse	ADJ	malheureux
Emilie	PROPN	Emilie
,	PUNCT	,
en	ADP	en
considérant	VERB	considérer
l'	DET	le
étendue	NOUN	étendue
de	ADP	de
la	DET	le
perte	NOUN	perte
dont	PRON	dont
elle	PRON	lui
était	AUX	être
menacée	VERB	menacer
:	PUNCT	:
ranimez	VERB	ranimer
votre	DET	votre
entourage	NOUN	entourage
,	PUNCT	,
rappelez	VERB	rappeler
votre	DET	votre
vie	NOUN	vie
que	PRON	que
je	PRON	je
vois	VERB	voir
s'	PRON	se
échapper	VERB	échapper
.	PUNCT	.

	SPACE	

-C'	PRON	-c'
est	AUX	être
ma	DET	mon
femme	NOUN	femme
,	PUNCT	,
c'	PRON	ce
est	AUX	être
ma	DET	mon
fille	NOUN	fille
dont	PRON	dont
l'	DET	le
infortune	NOUN	infortune
me	PRON	me
donne	VERB	donne
la	DET	le
mort	NOUN	mort
,	PUNCT	,
disait	VERB	dire
son	DET	son
père	NOUN	père
affaibli	VERB	affaiblir
.	PUNCT	.

	SPACE	

-Je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
survivre	VERB	survivre
à	ADP	à
mon	DET	mon
époux	NOUN	époux
,	PUNCT	,
ni	CCONJ	ni
supporter	VERB	supporter
la	DET	le
misère	NOUN	misère
de	ADP	de
mon	DET	mon
enfant	NOUN	enfant
,	PUNCT	,
disait	VERB	dire
sa	DET	son
mourante	ADJ	mourant
mère	NOUN	mère
.	PUNCT	.

	SPACE	

Emilie	PROPN	Emilie
les	PRON	le
pleura	VERB	pleurer
amèrement	ADV	amèrement
et	CCONJ	et
au	ADP	au
milieu	NOUN	milieu
d'	ADP	de
un	DET	un
pays	NOUN	pays
étranger	ADJ	étranger
,	PUNCT	,
elle	PRON	lui
se	PRON	se
crut	VERB	croire
sans	ADP	sans
ami	NOUN	ami
et	CCONJ	et
sans	ADP	sans
ressource	NOUN	ressource
.	PUNCT	.

	SPACE	

Dès	ADP	dès
qu'	SCONJ	que
elle	PRON	lui
fut	AUX	être
un	DET	un
peu	ADV	peu
calmée	VERB	calmer
,	PUNCT	,
une	DET	un
jeune	ADJ	jeune
Alsacienne	NOUN	alsacien
restée	VERB	rester
seule	ADJ	seul
d'	ADP	de
un	DET	un
nombreux	ADJ	nombreux
domestique	NOUN	domestique
et	CCONJ	et
qui	PRON	qui
servait	VERB	servir
Emilie	PROPN	Emilie
avec	ADP	avec
autant	ADV	autant
d'	ADP	de
adresse	NOUN	adresse
que	SCONJ	que
d'	ADP	de
attachement	NOUN	attachement
,	PUNCT	,
lui	PRON	lui
dit	VERB	dire
:	PUNCT	:
-Vous	PRON	vous
croyez	VERB	croire
n'	ADV	n'
avoir	VERB	avoir
plus	ADV	plus
rien	PRON	rien
quand	SCONJ	quand
vous	PRON	vous
n'	ADV	n'
avez	VERB	avoir
que	ADV	que
votre	DET	votre
Joséphine	PROPN	Joséphine
;	PUNCT	;
mais	CCONJ	mais
vous	PRON	vous
