 	SPACE	 
Le	DET	le
30	NUM	30
novembre	NOUN	novembre
1784	NUM	1784
.	PUNCT	.
Combien	ADV	combien
vous	PRON	vous
avez	VERB	avoir
tort	NOUN	tort
de	ADP	de
vous	PRON	vous
plaindre	VERB	plaindre
!	PUNCT	!
Un	DET	un
gendre	NOUN	gendre
d'	ADP	de
un	DET	un
mérite	NOUN	mérite
médiocre	ADJ	médiocre
,	PUNCT	,
mais	CCONJ	mais
que	PRON	que
votre	DET	votre
fille	NOUN	fille
a	AUX	avoir
épousé	VERB	épouser
sans	ADP	sans
répugnance	NOUN	répugnance
;	PUNCT	;
un	DET	un
établissement	NOUN	établissement
que	PRON	que
vous	PRON	vous
-	PRON	-
même	PRON	même
regardez	VERB	regarder
comme	ADP	comme
avantageux	ADJ	avantageux
,	PUNCT	,
mais	CCONJ	mais
sur	ADP	sur
lequel	PRON	lequel
vous	PRON	vous
avez	AUX	avoir
été	AUX	être
à	ADP	à
peine	ADV	peine
consultée	VERB	consulter
!	PUNCT	!
Qu'	PRON	qu'
est	AUX	être
-ce	PRON	-ce
que	SCONJ	que
cela	PRON	cela
fait	VERB	faire
?	PUNCT	?
Que	PRON	que
vous	PRON	vous
importe	VERB	importe
?	PUNCT	?
Votre	DET	votre
mari	NOUN	mari
,	PUNCT	,
ses	DET	son
parents	NOUN	parent
et	CCONJ	et
des	DET	un
convenances	NOUN	convenance
de	ADP	de
fortune	NOUN	fortune
ont	AUX	avoir
tout	PRON	tout
fait	VERB	faire
.	PUNCT	.
Tant	ADV	tant
mieux	ADV	mieux
.	PUNCT	.
Si	SCONJ	si
votre	DET	votre
fille	NOUN	fille
est	AUX	être
heureuse	ADJ	heureux
,	PUNCT	,
en	PRON	en
serez	VERB	être
-vous	PRON	vous
moins	ADV	moins
sensible	ADJ	sensible
à	ADP	à
son	DET	son
bonheur	NOUN	bonheur
?	PUNCT	?
Si	SCONJ	si
elle	PRON	lui
est	AUX	être
malheureuse	ADJ	malheureux
,	PUNCT	,
ne	ADV	ne
sera	AUX	être
-ce	PRON	-ce
pas	ADV	pas
un	DET	un
chagrin	NOUN	chagrin
de	ADP	de
moins	ADV	moins
que	SCONJ	que
de	ADP	de
n'	ADV	n'
avoir	AUX	avoir
pas	ADV	pas
fait	VERB	faire
son	DET	son
sort	NOUN	sort
?	PUNCT	?
Que	SCONJ	que
vous	PRON	vous
êtes	AUX	être
romanesque	ADJ	romanesque
!	PUNCT	!
Votre	DET	votre
gendre	NOUN	gendre
est	AUX	être
médiocre	ADJ	médiocre
;	PUNCT	;
mais	CCONJ	mais
votre	DET	votre
fille	NOUN	fille
est-elle	PRON	est-elle
d'	ADP	de
un	DET	un
caractère	NOUN	caractère
ou	CCONJ	ou
d'	ADP	de
un	DET	un
esprit	NOUN	esprit
si	ADV	si
distingué	ADJ	distingué
?	PUNCT	?
On	PRON	on
la	PRON	le
sépare	VERB	sépare
de	ADP	de
vous	PRON	vous
;	PUNCT	;
aviez	VERB	avoir
-vous	PRON	vous
tant	ADV	tant
de	ADP	de
plaisir	NOUN	plaisir
à	ADP	à
l'	PRON	l'
avoir	VERB	avoir
auprès	ADV	auprès
de	ADP	de
vous	PRON	vous
?	PUNCT	?
Elle	PRON	lui
vivra	VERB	vivre
à	ADP	à
Paris	PROPN	Paris
;	PUNCT	;
est-elle	PRON	est-elle
fâchée	VERB	fâcher
d'	ADP	de
y	PRON	y
vivre	VERB	vivre
?	PUNCT	?
Malgré	ADP	malgré
vos	DET	votre
déclamations	NOUN	déclamation
sur	ADP	sur
les	DET	le
dangers	NOUN	danger
,	PUNCT	,
sur	ADP	sur
les	DET	le
séductions	NOUN	séduction
,	PUNCT	,
les	DET	le
illusions	NOUN	illusion
,	PUNCT	,
le	DET	le
prestige	NOUN	prestige
,	PUNCT	,
le	DET	le
délire	NOUN	délire
,	PUNCT	,
etc.	ADV	etc.
,	PUNCT	,
Seriez	VERB	être
-vous	PRON	vous
fâchée	VERB	fâcher
d'	ADP	de
y	PRON	y
vivre	VERB	vivre
vous	PRON	vous
-	PRON	-
même	PRON	même
?	PUNCT	?
Vous	PRON	vous
êtes	AUX	être
encore	ADV	encore
