 	SPACE	 
PREMIÈRE	NOUN	première
LETTRE	NOUN	lettre
Julianne	PROPN	Julianne
C.	PROPN	C.
à	ADP	à
sa	DET	son
tante	NOUN	tante
à	ADP	à
Boudevilliers	PROPN	Boudevilliers
Ma	DET	mon
chère	ADJ	cher
tante	NOUN	tante
,	PUNCT	,
J'	PRON	je
ai	AUX	avoir
bien	ADV	bien
reçu	VERB	recevoir
votre	DET	votre
chère	ADJ	cher
lettre	NOUN	lettre
,	PUNCT	,
par	ADP	par
laquelle	PRON	lequel
vous	PRON	vous
me	PRON	me
marquez	VERB	marquer
que	SCONJ	que
vous	PRON	vous
et	CCONJ	et
le	DET	le
cher	ADJ	cher
oncle	NOUN	oncle
êtes	AUX	être
toujours	ADV	toujours
bien	ADV	bien
,	PUNCT	,
de	ADP	de
quoi	PRON	quoi
Dieu	PROPN	Dieu
soit	AUX	être
loué	VERB	louer
!	PUNCT	!
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
qui	PRON	qui
est	VERB	être
de	ADP	de
la	DET	le
cousine	NOUN	cousin
Jeanne	PROPN	Jeanne
-	PROPN	-
Marie	PROPN	Marie
,	PUNCT	,
elle	PRON	lui
sera	VERB	être
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
dit	VERB	dire
,	PUNCT	,
bientôt	ADV	bientôt
épouse	NOUN	épouse
avec	ADP	avec
le	DET	le
cousin	NOUN	cousin
Abram	PROPN	Abram
;	PUNCT	;
et	CCONJ	et
j'	PRON	je
en	PRON	en
suis	VERB	suivre
,	PUNCT	,
je	PRON	je
vous	PRON	vous
assure	VERB	assure
,	PUNCT	,
fort	ADV	fort
aise	NOUN	aise
,	PUNCT	,
l'	PRON	l'
ayant	AUX	avoir
toujours	ADV	toujours
aimée	VERB	aimer
;	PUNCT	;
et	CCONJ	et
si	SCONJ	si
ça	PRON	cela
ne	ADV	ne
se	PRON	se
fait	VERB	faire
qu'	ADV	qu'
au	ADP	au
printemps	NOUN	printemps
,	PUNCT	,
nous	PRON	nous
pourrions	VERB	pouvoir
bien	ADV	bien
nous	PRON	nous
deux	PRON	deux
la	DET	le
cousine	NOUN	cousin
Jeanne	PROPN	Jeanne
-	PROPN	-
Aimée	PROPN	Aimée
aller	VERB	aller
danser	VERB	danser
à	ADP	à
ses	DET	son
noces	NOUN	noce
;	PUNCT	;
ce	PRON	ce
que	PRON	que
je	PRON	je
ferais	VERB	faire
de	ADP	de
bien	ADV	bien
bon	ADJ	bon
cœur	NOUN	cœur
.	PUNCT	.

	SPACE	

Et	CCONJ	et
à	ADP	à
présent	NOUN	présent
,	PUNCT	,
ma	DET	mon
chère	ADJ	cher
tante	NOUN	tante
,	PUNCT	,
il	PRON	il
faut	VERB	falloir
que	SCONJ	que
je	PRON	je
vous	PRON	vous
raconte	VERB	raconte
ce	PRON	ce
qui	PRON	qui
m'	PRON	me
arriva	VERB	arriver
avant-hier	ADV	avant-hier
.	PUNCT	.
Nous	PRON	nous
avions	AUX	avoir
bien	ADV	bien
travaillé	VERB	travailler
tout	ADJ	tout
le	DET	le
jour	NOUN	jour
autour	ADV	autour
de	ADP	de
la	DET	le
robe	NOUN	robe
de	ADP	de
Mlle	NOUN	mlle
de	ADP	de
La	DET	le
Prise	NOUN	prise
,	PUNCT	,
de	ADP	de
façon	NOUN	façon
que	PRON	que
nous	PRON	nous
avons	AUX	avoir
été	AUX	être
prêtes	VERB	prêter
de	ADP	de
bonne	ADJ	bon
heure	NOUN	heure
,	PUNCT	,
et	CCONJ	et
mes	DET	mon
