 	SPACE	 
LE	DET	le
NOBLE	NOUN	noble
On	PRON	on
ne	ADV	ne
suit	VERB	suivre
pas	ADV	pas
toujours	ADV	toujours
ses	DET	son
Aïeux	NOUN	aïeul
,	PUNCT	,
ni	CCONJ	ni
son	DET	son
Père	NOUN	père
(	PUNCT	(
La	DET	le
Fontaine	PROPN	Fontaine
)	PUNCT	)
Il	PRON	il
y	PRON	y
avait	VERB	avoir
dans	ADP	dans
une	DET	un
des	ADP	de
provinces	NOUN	province
de	ADP	de
France	PROPN	France
un	DET	un
château	NOUN	château
très	ADV	très
ancien	ADJ	ancien
,	PUNCT	,
habité	VERB	habiter
par	ADP	par
un	DET	un
vieux	ADJ	vieux
rejeton	NOUN	rejeton
d'	ADP	de
une	DET	un
famille	NOUN	famille
encore	ADV	encore
plus	ADV	plus
ancienne	ADJ	ancien
.	PUNCT	.
Le	DET	le
baron	NOUN	baron
d'	ADP	de
Arnonville	PROPN	Arnonville
était	AUX	être
très	ADV	très
sensible	ADJ	sensible
au	ADP	au
mérite	NOUN	mérite
de	ADP	de
cette	DET	ce
ancienneté	NOUN	ancienneté
,	PUNCT	,
et	CCONJ	et
il	PRON	il
avait	VERB	avoir
raison	NOUN	raison
,	PUNCT	,
car	CCONJ	car
il	PRON	il
n'	ADV	n'
avait	VERB	avoir
pas	ADV	pas
beaucoup	ADV	beaucoup
d'	DET	d'
autres	ADJ	autre
mérites	NOUN	mérite
.	PUNCT	.
Mais	CCONJ	mais
son	DET	son
château	NOUN	château
se	PRON	se
serait	AUX	être
mieux	ADV	mieux
trouvé	VERB	trouver
d'	ADP	de
être	AUX	être
un	DET	un
peu	ADV	peu
plus	ADV	plus
moderne	ADJ	moderne
:	PUNCT	:
une	DET	un
des	ADP	de
tours	NOUN	tour
comblait	VERB	combler
déjà	ADV	déjà
une	DET	un
partie	NOUN	partie
du	ADP	de
fossé	NOUN	fossé
;	PUNCT	;
on	PRON	on
ne	ADV	ne
voyait	VERB	voir
dans	ADP	dans
le	DET	le
reste	NOUN	reste
qu'	ADV	qu'
un	DET	un
peu	NOUN	peu
d'	ADP	de
eau	NOUN	eau
bourbeuse	ADJ	bourbeux
,	PUNCT	,
et	CCONJ	et
les	DET	le
grenouilles	NOUN	grenouille
y	PRON	y
avaient	AUX	avoir
pris	VERB	prendre
la	DET	le
place	NOUN	place
des	ADP	de
poissons	NOUN	poisson
.	PUNCT	.
Sa	DET	son
table	NOUN	table
était	AUX	être
frugale	ADJ	frugal
,	PUNCT	,
mais	CCONJ	mais
tout	ADV	tout
autour	ADV	autour
de	ADP	de
la	DET	le
salle	NOUN	salle
à	ADP	à
manger	VERB	manger
régnaient	VERB	régner
les	DET	le
bois	NOUN	bois
des	ADP	de
cerfs	NOUN	cerf
tués	VERB	tuer
par	ADP	par
ses	DET	son
aïeux	NOUN	aïeul
.	PUNCT	.
Il	PRON	il
se	PRON	se
rappelait	VERB	rappeler
,	PUNCT	,
les	DET	le
jours	NOUN	jour
gras	ADJ	gras
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
avait	VERB	avoir
droit	NOUN	droit
de	ADP	de
chasse	NOUN	chasse
,	PUNCT	,
les	DET	le
jours	NOUN	jour
maigres	ADJ	maigre
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
avait	VERB	avoir
droit	NOUN	droit
de	ADP	de
pêche	NOUN	pêche
,	PUNCT	,
et	CCONJ	et
content	ADJ	content
de	ADP	de
ces	DET	ce
droits	NOUN	droit
,	PUNCT	,
il	PRON	il
laissait	VERB	laisser
sans	ADP	sans
envie	NOUN	envie
manger	VERB	manger
des	DET	un
faisans	NOUN	faisan
et	CCONJ	et
des	DET	un
carpes	NOUN	carpe
aux	ADP	à
ignobles	ADJ	ignoble
financiers	NOUN	financier
.	PUNCT	.
Il	PRON	il
dépensait	VERB	dépenser
son	DET	son
modique	ADJ	modique
revenu	NOUN	revenu
à	ADP	à
pousser	VERB	pousser
un	DET	un
procès	NOUN	procès
pour	ADP	pour
le	DET	le
droit	NOUN	droit
de	ADP	de
pendre	VERB	pendre
sur	ADP	sur
ses	DET	son
terres	NOUN	terre
;	PUNCT	;
et	CCONJ	et
il	PRON	il
ne	ADV	ne
lui	PRON	lui
serait	AUX	être
jamais	ADV	jamais
venu	VERB	venir
dans	ADP	dans
l'	DET	le
esprit	NOUN	esprit
qu'	SCONJ	que
on	PRON	on
pût	VERB	pouvoir
faire	VERB	faire
un	DET	un
meilleur	ADJ	meilleur
usage	NOUN	usage
de	ADP	de
son	DET	son
bien	NOUN	bien
,	PUNCT	,
ni	CCONJ	ni
laisser	VERB	laisser
à	ADP	à
ses	DET	son
enfants	NOUN	enfant
