 	SPACE	 
LETTRE	NOUN	lettre
[	PUNCT	[
N	NOUN	n
°	NOUN	degré
6	NUM	6
]	PUNCT	]
Sur	ADP	sur
l'	DET	le
Édit	NOUN	édit
concernant	VERB	concerner
les	DET	le
Protestants	NOUN	protestant
Hanau	PROPN	Hanau
,	PUNCT	,
le	NOUN	le
-	PRON	-
janvier	NOUN	janvier
1788	NUM	1788
.	PUNCT	.

	SPACE	

N'	ADV	n'
est	AUX	être
-il	PRON	il
pas	ADV	pas
bien	ADV	bien
étrange	ADJ	étrange
,	PUNCT	,
Monsieur	NOUN	Monsieur
,	PUNCT	,
qu'	SCONJ	que
une	PRON	un
de	ADP	de
vos	DET	votre
grandes	ADJ	grand
Dames	NOUN	dame
aille	VERB	aller
solliciter	VERB	solliciter
contre	ADP	contre
les	DET	le
Protestants	NOUN	protestant
,	PUNCT	,
et	CCONJ	et
publie	VERB	publier
un	DET	un
mémoire	NOUN	mémoire
contre	ADP	contre
l'	DET	le
Édit	NOUN	édit
qui	PRON	qui
les	PRON	le
favorise	VERB	favorise
?	PUNCT	?
On	PRON	on
regardait	VERB	regarder
dans	ADP	dans
les	DET	le
pays	NOUN	pays
étrangers	ADJ	étranger
l'	DET	le
absurdité	NOUN	absurdité
de	ADP	de
la	DET	le
révocation	NOUN	révocation
de	ADP	de
l'	DET	le
Édit	NOUN	édit
de	ADP	de
Nantes	PROPN	Nantes
comme	ADP	comme
un	DET	un
axiome	NOUN	axiome
en	ADP	en
politique	NOUN	politique
,	PUNCT	,
et	CCONJ	et
l'	PRON	l'
on	PRON	on
ne	ADV	ne
croyait	VERB	croire
pas	ADV	pas
qu'	SCONJ	que
au	ADP	au
bout	NOUN	bout
d'	ADP	de
un	DET	un
siècle	NOUN	siècle
un	DET	un
seul	ADJ	seul
Français	NOUN	français
ne	ADV	ne
vît	VERB	voir
détruire	VERB	détruire
avec	ADP	avec
plaisir	NOUN	plaisir
ce	DET	ce
monument	NOUN	monument
de	ADP	de
la	DET	le
faiblesse	NOUN	faiblesse
et	CCONJ	et
de	ADP	de
la	DET	le
superstition	NOUN	superstition
de	ADP	de
Louis	PROPN	Louis
XIV	NUM	XIV
,	PUNCT	,
de	ADP	de
l'	DET	le
adresse	NOUN	adresse
et	CCONJ	et
du	ADP	de
pouvoir	NOUN	pouvoir
des	ADP	de
jésuites	NOUN	jésuite
.	PUNCT	.
Nous	PRON	nous
n'	ADV	n'
expliquions	VERB	expliquer
les	DET	le
délais	NOUN	délai
qu'	PRON	qu'
éprouvait	VERB	éprouver
la	DET	le
révocation	NOUN	révocation
de	ADP	de
la	DET	le
révocation	NOUN	révocation
que	ADV	que
par	ADP	par
l'	DET	le
indolence	NOUN	indolence
ordinaire	ADJ	ordinaire
des	ADP	de
Souverains	NOUN	souverain
et	CCONJ	et
des	ADP	de
corps	NOUN	corps
,	PUNCT	,
