 	SPACE	 
L'	DET	le
une	PRON	un
des	ADP	de
branches	NOUN	branche
d'	ADP	de
une	DET	un
très	ADV	très
-	ADV	-
ancienne	ADJ	ancien
famille	NOUN	famille
d'	ADP	de
Écosse	PROPN	Écosse
était	AUX	être
tombée	VERB	tomber
dans	ADP	dans
l'	DET	le
oubli	NOUN	oubli
et	CCONJ	et
l'	DET	le
abjection	NOUN	abjection
.	PUNCT	.
Ses	DET	son
malheurs	NOUN	malheur
datent	VERB	dater
de	ADP	de
trop	ADV	trop
loin	ADV	loin
pour	ADP	pour
qu'	SCONJ	que
on	PRON	on
puisse	VERB	pouvoir
en	PRON	en
rendre	VERB	rendre
compte	NOUN	compte
avec	ADP	avec
exactitude	NOUN	exactitude
,	PUNCT	,
mais	CCONJ	mais
voici	VERB	voici
ce	PRON	ce
que	PRON	que
l'	PRON	l'
on	PRON	on
sait	VERB	savoir
.	PUNCT	.

	SPACE	

Du	ADP	de
temps	NOUN	temps
de	ADP	de
Marie	PROPN	Marie
d'	ADP	de
Écosse	PROPN	Écosse
,	PUNCT	,
ou	CCONJ	ou
déjà	ADV	déjà
auparavant	ADV	auparavant
,	PUNCT	,
une	DET	un
autre	ADJ	autre
branche	NOUN	branche
de	ADP	de
la	DET	le
même	ADJ	même
famille	NOUN	famille
prit	VERB	prendre
parti	NOUN	parti
contre	ADP	contre
les	DET	le
sectateurs	NOUN	sectateur
de	ADP	de
la	DET	le
nouvelle	ADJ	nouveau
religion	NOUN	religion
,	PUNCT	,
que	PRON	que
la	DET	le
branche	NOUN	branche
dont	PRON	dont
nous	PRON	nous
parlons	VERB	parler
avait	AUX	avoir
embrassée	VERB	embrasser
,	PUNCT	,
et	CCONJ	et
ces	DET	ce
parents	NOUN	parent
ennemis	ADJ	ennemi
se	PRON	se
firent	VERB	faire
beaucoup	ADV	beaucoup
de	ADP	de
mal	NOUN	mal
.	PUNCT	.
Fidelle	ADJ	fidell
aux	ADP	à
Stuards	PROPN	Stuards
comme	ADP	comme
à	ADP	à
la	DET	le
foi	NOUN	foi
de	ADP	de
ses	DET	son
pères	NOUN	père
,	PUNCT	,
un	DET	un
descendant	NOUN	descendant
de	ADP	de
la	DET	le
branche	NOUN	branche
catholique	ADJ	catholique
suivit	VERB	suivre
Jaques	PROPN	Jaques
second	ADJ	second
en	ADP	en
France	PROPN	France
,	PUNCT	,
et	CCONJ	et
marié	VERB	marier
avec	ADP	avec
une	DET	un
Françoise	PROPN	Françoise
,	PUNCT	,
fille	NOUN	fille
riche	ADJ	riche
et	CCONJ	et
de	ADP	de
qualité	NOUN	qualité
,	PUNCT	,
il	PRON	il
en	PRON	en
eut	VERB	avoir
un	DET	un
fils	NOUN	fils
,	PUNCT	,
qui	PRON	qui
fort	ADV	fort
jeune	ADJ	jeune
encore	ADV	encore
,	PUNCT	,
passa	VERB	passer
la	DET	le
mer	NOUN	mer
en	ADP	en
1745	NUM	1745
.	PUNCT	.
avec	ADP	avec
le	DET	le
dernier	ADJ	dernier
prétendant	NOUN	prétendant
..	PUNCT	..

	SPACE	

Après	ADP	après
la	DET	le
défaite	NOUN	défaite
de	ADP	de
Culloden	PROPN	Culloden
il	PRON	il
se	PRON	se
sauva	VERB	sauver
en	ADP	en
