 	SPACE	 
SAINTE	PROPN	SAINTE
ANNE	PROPN	ANNE
.	PUNCT	.

	SPACE	

E	NOUN	e
lle	PRON	lle
ne	ADV	ne
sait	VERB	savoir
pas	ADV	pas
lire	VERB	lire
Figurez	VERB	figurer
vous	PRON	vous
qu'	SCONJ	que
elle	PRON	lui
ne	ADV	ne
sait	VERB	savoir
pas	ADV	pas
lire	VERB	lire
dirent	VERB	dire
toutes	ADJ	tout
à	ADP	à
la	DET	le
fois	NOUN	fois
Mademoiselle	PROPN	Mademoiselle
de	ADP	de
Rhedon	PROPN	Rhedon
,	PUNCT	,
Madame	NOUN	monsieur
de	ADP	de
Rieux	PROPN	Rieux
,	PUNCT	,
Mademoiselle	NOUN	mademoiselle
de	ADP	de
Kerber	PROPN	Kerber
à	ADP	à
Ste.	PROPN	saint
Anne	PROPN	Anne
,	PUNCT	,
au	ADP	au
moment	NOUN	moment
où	PRON	où
Mademoiselle	NOUN	mademoiselle
d'	ADP	de
Estival	PROPN	Estival
sortait	VERB	sortir
de	ADP	de
l'	DET	le
avenue	NOUN	avenue
du	ADP	de
château	NOUN	château
de	ADP	de
Missillac	PROPN	Missillac
,	PUNCT	,
et	CCONJ	et
prenant	VERB	prendre
un	DET	un
sentier	NOUN	sentier
au	ADP	au
travers	NOUN	travers
d'	ADP	de
une	DET	un
prairie	NOUN	prairie
,	PUNCT	,
retournait	VERB	retourner
à	ADP	à
la	DET	le
métairie	NOUN	métairie
qu'	PRON	qu'
elle	PRON	lui
habitait	VERB	habiter
.	PUNCT	.

	SPACE	

Ste.	PROPN	saint
Anne	PROPN	Anne
pressé	VERB	presser
par	ADP	par
sa	DET	son
mère	NOUN	mère
,	PUNCT	,
avait	AUX	avoir
fui	VERB	fuir
de	ADP	de
France	PROPN	France
pendant	ADP	pendant
le	DET	le
règne	NOUN	règne
de	ADP	de
Robespierre	PROPN	Robespierre
.	PUNCT	.
Comme	SCONJ	comme
il	PRON	il
avait	AUX	avoir
toujours	ADV	toujours
vécu	VERB	vivre
en	ADP	en
pays	NOUN	pays
neutre	ADJ	neutre
,	PUNCT	,
il	PRON	il
n'	ADV	n'
eut	VERB	avoir
pas	ADV	pas
de	DET	de
peine	NOUN	peine
à	ADP	à
pouvoir	VERB	pouvoir
rentrer	VERB	rentrer
,	PUNCT	,
et	CCONJ	et
revint	VERB	revenir
chez	ADP	chez
lui	PRON	lui
le	DET	le
2	NUM	2
juillet	NOUN	juillet
1797	NUM	1797
,	PUNCT	,
à	ADP	à
9	NUM	9
heures	NOUN	heure
du	ADP	de
matin	NOUN	matin
.	PUNCT	.

	SPACE	

On	PRON	on
l'	PRON	l'
attendait	VERB	attendre
avec	ADP	avec
impatience	NOUN	impatience
.	PUNCT	.
Sa	DET	son
mère	NOUN	mère
avait	AUX	avoir
rassemblé	VERB	rassembler
ses	DET	son
parentes	NOUN	parent
pour	ADP	pour
le	PRON	le
recevoir	VERB	recevoir
.	PUNCT	.
Leurs	DET	leur
pères	NOUN	père
,	PUNCT	,
leurs	DET	leur
maris	NOUN	mari
,	PUNCT	,
leurs	DET	leur
fils	NOUN	fils
avaient	AUX	avoir
péri	VERB	périr
,	PUNCT	,
ou	CCONJ	ou
vivaient	VERB	vivre
encore	ADV	encore
dans	ADP	dans
cet	DET	ce
exil	NOUN	exil
auquel	PRON	auquel
s'	PRON	se
était	AUX	être
condamnée	VERB	condamner
une	DET	un
partie	NOUN	partie
de	ADP	de
la	DET	le
noblesse	NOUN	noblesse
française	ADJ	français
;	PUNCT	;
exil	NOUN	exil
si	ADV	si
triste	ADJ	triste
,	PUNCT	,
qui	PRON	qui
de	ADP	de
volontaire	NOUN	volontaire
qu'	PRON	qu'
il	PRON	il
fut	AUX	être
d'	ADP	de
abord	NOUN	abord
,	PUNCT	,
était	AUX	être
devenu	VERB	devenir
forcé	VERB	forcer
,	PUNCT	,
et	CCONJ	et
dont	PRON	dont
on	PRON	on
a	AUX	avoir
tant	ADV	tant
déploré	VERB	déplorer
l'	DET	le
imprudence	NOUN	imprudence
.	PUNCT	.

	SPACE	

Toutes	ADJ	tout
ces	DET	ce
Dames	NOUN	dame
pleurerent	VERB	pleurerer
en	ADP	en
revoyant	VERB	revoir
