 	SPACE	 
EPITRE	NOUN	epitre
DEDICATOIRE	ADJ	dedicatoir
A	ADP	à
l'	DET	le
Ombre	NOUN	ombre
de	ADP	de
Lamekis	PROPN	Lamekis
,	PUNCT	,
Voyageur	NOUN	voyageur
Egyptien	ADJ	egyptien
.	PUNCT	.

	SPACE	

Ombre	NOUN	ombre
trois	NUM	trois
fois	NOUN	fois
illustre	ADJ	illustre
du	ADP	de
docte	ADJ	docte
Lamekis	PROPN	Lamekis
.	PUNCT	.

	SPACE	

C'	PRON	ce
EST	AUX	être
à	ADP	à
vos	DET	votre
voyages	NOUN	voyage
extravagansque	ADJ	extravagansqu
je	PRON	je
dois	VERB	devoir
,	PUNCT	,
l'	DET	le
amour	NOUN	amour
que	PRON	que
j'	PRON	je
ai	VERB	avoir
pour	ADP	pour
la	DET	le
Folie	PROPN	Folie
,	PUNCT	,
cette	DET	ce
Histoire	NOUN	histoire
est	AUX	être
l'	DET	le
essai	NOUN	essai
d'	ADP	de
une	DET	un
imagination	NOUN	imagination
qui	PRON	qui
aspire	VERB	aspire
à	ADP	à
devenir	VERB	devenir
aussi	ADV	aussi
déréglée	ADJ	déréglé
que	SCONJ	que
la	DET	le
vôtre	DET	vôtre
;	PUNCT	;
puissent	VERB	pouvoir
l'	DET	le
étude	NOUN	étude
et	CCONJ	et
le	DET	le
temps	NOUN	temps
fondés	VERB	fonder
sur	ADP	sur
le	DET	le
oût	NOUN	oût
d'	ADP	de
un	DET	un
Siécle	NOUN	siécle
éclairé	VERB	éclairer
,	PUNCT	,
me	PRON	me
mériter	VERB	mériter
la	DET	le
vingt-septiéme	ADJ	vingt-septiém
partie	NOUN	partie
des	ADP	de
suffrages	NOUN	suffrage
dont	PRON	dont
vous	PRON	vous
jouissez	VERB	jouir
dans	ADP	dans
le	DET	le
souterrain	NOUN	souterrain
Littératre	ADJ	littératr
que	PRON	que
votre	DET	votre
Ombre	NOUN	ombre
embellit	VERB	embellir
encore	ADV	encore
aujourd'hui	ADV	aujourd'hui
.	PUNCT	.

	SPACE	

Gardez	VERB	garder
-vous	PRON	vous
,	PUNCT	,
grand	ADJ	grand
et	CCONJ	et
sublime	ADJ	sublime
Lamekis	PROPN	Lamekis
,	PUNCT	,
de	ADP	de
m'	PRON	me
envoyer	VERB	envoyer
des	DET	un
présens	NOUN	présen
;	PUNCT	;
singulier	ADJ	singulier
dans	ADP	dans
mes	DET	mon
projets	NOUN	projet
,	PUNCT	,
je	PRON	je
fronde	VERB	fronde
les	DET	le
usages	NOUN	usage
établis	VERB	établir
,	PUNCT	,
et	CCONJ	et
je	PRON	je
vous	PRON	vous
adresse	VERB	adresse
gratuitement	ADV	gratuitement
l'	DET	le
Histoire	NOUN	histoire
de	ADP	de
Magakou	PROPN	Magakou
Je	PRON	je
suis	AUX	être
de	ADP	de
votre	DET	votre
Ombre	NOUN	ombre
,	PUNCT	,
le	DET	le
plus	ADV	plus
obéissant	ADJ	obéissant
serviteur	NOUN	serviteur
.	PUNCT	.

	SPACE	

Place	NOUN	place
réservée	VERB	réserver
à	ADP	à
une	DET	un
Preface	NOUN	preface
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
se	PRON	se
dispose	VERB	dispose
à	ADP	à
insérer	VERB	insérer
à	ADP	à
la	DET	le
huitiéme	ADJ	huitiém
Edition	NOUN	edition
de	ADP	de
