 	SPACE	 
A	ADP	à
MONSIEUR	NOUN	Monsieur
B***.	PROPN	B***.

	SPACE	

Mousieur	NOUN	mousieur
,	PUNCT	,
JA'	PRON	ja'
i	VERB	i
là	ADV	là
un	DET	un
paquet	NOUN	paquet
de	ADP	de
lettres	NOUN	lettre
que	PRON	que
je	PRON	je
voudrais	VERB	vouloir
faire	AUX	faire
imprimer	VERB	imprimer
;	PUNCT	;
ne	ADV	ne
m'	PRON	me
en	PRON	en
demandez	VERB	demander
pas	ADV	pas
la	DET	le
raison	NOUN	raison
,	PUNCT	,
je	PRON	je
vous	PRON	vous
en	PRON	en
prie	VERB	prier
;	PUNCT	;
je	PRON	je
crois	VERB	croire
en	ADP	en
vérité	NOUN	vérité
que	SCONJ	que
je	PRON	je
n'	ADV	n'
en	PRON	en
ai	VERB	avoir
point	PRON	point
de	DET	de
bonnes	ADJ	bon
;	PUNCT	;
je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
alléguer	VERB	alléguer
ni	CCONJ	ni
l'	DET	le
avancement	NOUN	avancement
des	ADP	de
sciences	NOUN	science
,	PUNCT	,
ni	CCONJ	ni
l'	DET	le
utilité	NOUN	utilité
publique	ADJ	public
,	PUNCT	,
pas	ADV	pas
même	ADV	même
la	DET	le
vôtre	DET	vôtre
,	PUNCT	,
et	CCONJ	et
encore	ADV	encore
moins	ADV	moins
la	DET	le
mienne	VERB	mienne
:	PUNCT	:
quoiqu'	SCONJ	quoique
il	PRON	il
en	PRON	en
soit	VERB	être
,	PUNCT	,
voilà	VERB	voilà
des	DET	un
lettres	NOUN	lettre
écrites	VERB	écrire
par	ADP	par
des	DET	un
femmes	NOUN	femme
;	PUNCT	;
et	CCONJ	et
quand	SCONJ	quand
elles	PRON	lui
veulent	VERB	vouloir
penser	VERB	penser
et	CCONJ	et
écrire	VERB	écrire
,	PUNCT	,
ce	PRON	ce
n'	ADV	n'
est	AUX	être
jamais	ADV	jamais
sans	ADP	sans
un	DET	un
intérêt	NOUN	intérêt
et	CCONJ	et
une	DET	un
délicatesse	NOUN	délicatesse
qui	PRON	qui
attachent	VERB	attacher
.	PUNCT	.
On	PRON	on
croira	VERB	croire
peut-être	ADV	peut-être
que	SCONJ	que
c'	PRON	ce
est	AUX	être
un	DET	un
roman	NOUN	roman
,	PUNCT	,
et	CCONJ	et
l'	PRON	l'
on	PRON	on
dira	VERB	dire
encore	ADV	encore
que	SCONJ	que
c'	PRON	ce
est	AUX	être
moi	PRON	moi
;	PUNCT	;
ce	PRON	ce
sera	AUX	être
un	DET	un
très	ADV	très
-	ADV	-
grand	ADJ	grand
tort	NOUN	tort
que	PRON	que
l'	PRON	l'
on	PRON	on
sera	VERB	être
à	ADP	à
ce	DET	ce
recueil	NOUN	recueil
:	PUNCT	:
ces	DET	ce
lettres	NOUN	lettre
existent	VERB	exister
bien	ADV	bien
réellement	ADV	réellement
;	PUNCT	;
la	DET	le
ville	NOUN	ville
d'	ADP	de
Y	PROPN	Y
*	PROPN	*
*	PROPN	*
*	PROPN	*
,	PUNCT	,
d'	ADP	de
où	PRON	où
elles	PRON	lui
sont	AUX	être
datées	VERB	dater
,	PUNCT	,
existe	VERB	existe
aussi	ADV	aussi
très	ADV	très
-	ADV	-
sûrement	ADV	sûrement
:	PUNCT	:
ces	DET	ce
vérités	NOUN	vérité
principales	ADJ	principal
doivent	VERB	devoir
persuader	VERB	persuader
des	ADP	de
autres	PRON	autre
si	SCONJ	si
on	PRON	on
veut	VERB	vouloir
les	PRON	le
approfondir	VERB	approfondir
,	PUNCT	,
on	PRON	on
trouvera	VERB	trouver
que	SCONJ	que
dans	ADP	dans
cette	DET	ce
ville	NOUN	ville
,	PUNCT	,
qui	PRON	qui
est	AUX	être
charmante	ADJ	charmant
par	ADP	par
elle-même	PRON	lui-même
,	PUNCT	,
par	ADP	par
sa	DET	son
position	NOUN	position
,	PUNCT	,
par	ADP	par
ses	DET	son
environs	NOUN	environ
,	PUNCT	,
la	DET	le
société	NOUN	société
y	PRON	y
est	AUX	être
très	ADV	très
-	ADV	-
agréable	ADJ	agréable
