 	SPACE	 
LE	DET	le
MARI	NOUN	mari
SENTIMENTAL	ADJ	sentimental
.	PUNCT	.

	SPACE	

LETTRES	NOUN	lettre
DE	ADP	de
Mr.	NOUN	mr.
BOMPRÉ	PROPN	BOMPRÉ
,	PUNCT	,
à	ADP	à
Mr.	NOUN	mr.
de	ADP	de
ST	PROPN	ST
.	NOUN	.
THOMIN	PROPN	THOMIN
,	PUNCT	,
à	ADP	à
Orbe	PROPN	Orbe
.	PUNCT	.

	SPACE	

LETTRE	NOUN	lettre
PREMIÈRE	ADJ	premier
.	PUNCT	.

	SPACE	

Mon	DET	mon
cher	ADJ	cher
Ami	NOUN	ami
,	PUNCT	,
Depuis	ADP	depuis
que	SCONJ	que
je	PRON	je
vous	PRON	vous
ai	AUX	avoir
quitté	VERB	quitter
,	PUNCT	,
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
cessé	VERB	cesser
de	ADP	de
penser	VERB	penser
à	ADP	à
vous	PRON	vous
et	CCONJ	et
à	ADP	à
votre	DET	votre
bonheur	NOUN	bonheur
.	PUNCT	.

	SPACE	

Je	PRON	je
crois	VERB	croire
que	SCONJ	que
j'	PRON	je
ai	AUX	avoir
mal	ADV	mal
fait	VERB	faire
d'	ADP	de
assister	VERB	assister
à	ADP	à
vos	DET	votre
noces	NOUN	noce
;	PUNCT	;
il	PRON	il
me	PRON	me
semble	VERB	semble
que	SCONJ	que
j'	PRON	je
en	PRON	en
suis	AUX	être
devenu	VERB	devenir
moins	ADV	moins
heureux	ADJ	heureux
;	PUNCT	;
le	DET	le
plaisir	NOUN	plaisir
et	CCONJ	et
la	DET	le
gaieté	NOUN	gaieté
que	PRON	que
j'	PRON	je
ai	AUX	avoir
vu	VERB	voir
régner	VERB	régner
chez	ADP	chez
vous	PRON	vous
pendant	ADP	pendant
dix	NUM	dix
jours	NOUN	jour
,	PUNCT	,
ont	AUX	avoir
laissé	VERB	laisser
au	ADP	au
fond	NOUN	fond
de	ADP	de
mon	DET	mon
âme	NOUN	âme
une	DET	un
tristesse	NOUN	tristesse
dont	PRON	dont
je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
pas	ADV	pas
trop	ADV	trop
me	PRON	me
rendre	VERB	rendre
raison	NOUN	raison
.	PUNCT	.
Ce	PRON	ce
n'	ADV	n'
est	AUX	être
pas	ADV	pas
votre	DET	votre
bonheur	NOUN	bonheur
qui	PRON	qui
m'	PRON	me
attriste	VERB	attriste
;	PUNCT	;
je	PRON	je
crois	VERB	croire
que	SCONJ	que
c'	PRON	ce
est	AUX	être
celui	PRON	celui
qui	PRON	qui
me	PRON	me
manque	VERB	manque
.	PUNCT	.
Les	DET	le
beaux	ADJ	beal
yeux	NOUN	oeil
noirs	ADJ	noir
de	ADP	de
votre	DET	votre
femme	NOUN	femme
charmante	ADJ	charmant
avaient	VERB	avoir
tant	ADV	tant
de	ADP	de
douceur	NOUN	douceur
lorsqu'	SCONJ	lorsque
ils	PRON	il
se	PRON	se
tournaient	VERB	tourner
sur	ADP	sur
vous	PRON	vous
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
m'	PRON	me
en	PRON	en
est	AUX	être
resté	VERB	rester
une	DET	un
impression	NOUN	impression
qui	PRON	qui
ne	ADV	ne
me	PRON	me
quitte	VERB	quitte
point	ADV	point
,	PUNCT	,
et	CCONJ	et
puis	CCONJ	puis
ses	DET	son
grâces	NOUN	grâce
,	PUNCT	,
et	CCONJ	et
puis	CCONJ	puis
sa	DET	son
naïveté	NOUN	naïveté
,	PUNCT	,
et	CCONJ	et
le	DET	le
lendemain	NOUN	lendemain
son	DET	son
air	NOUN	air
si	ADV	si
doux	ADJ	doux
,	PUNCT	,
si	ADV	si
modeste	ADJ	modeste
,	PUNCT	,
et	CCONJ	et
à	ADP	à
tous	ADJ	tout
les	DET	le
deux	PRON	deux
la	DET	le
paix	NOUN	paix
,	PUNCT	,
la	DET	le
tranquillité	NOUN	tranquillité
du	ADP	de
contentement	NOUN	contentement
;	PUNCT	;
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
vous	PRON	vous
êtes	AUX	être
bienheureux	ADJ	bienheureux
.	PUNCT	.
La	DET	le
plus	ADV	plus
grande	ADJ	grand
félicité	NOUN	félicité
est	VERB	être
,	PUNCT	,
je	PRON	je
crois	VERB	croire
,	PUNCT	,
d'	ADP	de
épouser	VERB	épouser
sa	DET	son
maîtresse	NOUN	maîtresse
;	PUNCT	;
c'	PRON	ce
est	AUX	être
la	DET	le
volupté	NOUN	volupté
de	ADP	de
l'	DET	le
amour	NOUN	amour
sous	ADP	sous
les	DET	le
auspices	NOUN	auspice
de	ADP	de
la	DET	le
