 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
Alcibiade	PROPN	Alcibiade
à	ADP	à
Antipe	PROPN	Antipe
.	PUNCT	.
Quelle	DET	quel
idée	NOUN	idée
!	PUNCT	!
Qui	PRON	qui
!	PUNCT	!
Moi	PRON	moi
!	PUNCT	!
Que	SCONJ	que
,	PUNCT	,
recherché	VERB	rechercher
au	ADP	au
point	NOUN	point
où	PRON	où
je	PRON	je
le	PRON	le
suis	AUX	être
par	ADP	par
toutes	ADJ	tout
les	DET	le
femmes	NOUN	femme
d	ADP	d
'	ADP	'
Athênes	PROPN	Athênes
,	PUNCT	,
n	ADV	n
'	ADV	'
en	PRON	en
ayant	AUX	avoir
pas	ADV	pas
encore	ADV	encore
trouvé	VERB	trouver
qui	PRON	qui
ne	ADV	ne
s	PRON	s
'	PRON	'
honorât	VERB	honorer
de	ADP	de
mes	DET	mon
désirs	NOUN	désir
,	PUNCT	,
et	CCONJ	et
même	ADV	même
ne	ADV	ne
s	PRON	s
'	PRON	'
empressât	VERB	empresser
à	ADP	à
les	PRON	le
faire	AUX	faire
naître	VERB	naître
,	PUNCT	,
je	PRON	je
prenne	VERB	prendre
la	DET	le
vieille	ADJ	vieux
Elpinice!Quand	PROPN	Elpinice!Quand
je	PRON	je
ne	ADV	ne
serais	VERB	être
pas	ADV	pas
à	ADP	à
cet	DET	ce
égard	NOUN	égard
,	PUNCT	,
presque	ADV	presque
'	PUNCT	'
au	ADP	au
comble	NOUN	comble
de	ADP	de
la	DET	le
gloire	NOUN	gloire
,	PUNCT	,
pourrais	VERB	pouvoir
-je	PRON	je
,	PUNCT	,
sans	ADP	sans
déshonorer	VERB	déshonorer
les	DET	le
avantages	NOUN	avantage
qu	PRON	que
'	PRON	'
on	PRON	on
dit	VERB	dire
que	SCONJ	que
j	PRON	j
'	PRON	'
ai	AUX	avoir
reçus	VERB	recevoir
de	ADP	de
la	DET	le
nature	NOUN	nature
,	PUNCT	,
et	CCONJ	et
dont	PRON	dont
mes	DET	mon
succès	NOUN	succès
attestent	VERB	attester
la	DET	le
réalité	NOUN	réalité
,	PUNCT	,
faire	VERB	faire
le	DET	le
choix	NOUN	choix
que	PRON	que
vous	PRON	vous
me	PRON	me
proposez	VERB	proposer
?	PUNCT	?
Je	PRON	je
n	ADV	n
'	ADV	'
ai	VERB	avoir
pas	ADV	pas
,	PUNCT	,
grâces	NOUN	grâce
aux	DET	aux
dieux	NOUN	dieu
,	PUNCT	,
besoin	NOUN	besoin
d	ADP	d
'	ADP	'
un	DET	un
ridicule	NOUN	ridicule
pour	ADP	pour
m	PRON	m
'	PRON	'
afficher	VERB	afficher
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
cette	DET	ce
ressource	NOUN	ressource
me	PRON	me
fût	AUX	être
-elle	PRON	lui
nécessaire	ADJ	nécessaire
,	PUNCT	,
j	PRON	j
'	PUNCT	'
ai	VERB	avoir
trop	ADV	trop
de	ADP	de
fierté	NOUN	fierté
pour	ADP	pour
adopter	VERB	adopter
les	DET	le
ridicules	NOUN	ridicule
reçus	VERB	recevoir
,	PUNCT	,
lorsque	SCONJ	lorsque
non-seulement	ADV	non-seulement
je	PRON	je
suis	AUX	être
en	ADP	en
droit	NOUN	droit
d	ADP	d
'	ADP	'
en	PRON	en
créer	VERB	créer
,	PUNCT	,
mais	CCONJ	mais
que	SCONJ	que
je	PRON	je
les	PRON	le
vois	VERB	voir
pâsser	VERB	pâsser
pour	ADP	pour
des	DET	un
grâces	NOUN	grâce
.	PUNCT	.
Loin	ADV	loin
donc	ADV	donc
de	ADP	de
me	PRON	me
