 	SPACE	 
LIVRE	NOUN	livre
1	NUM	1
PARTIE	NOUN	partie
1	NUM	1
CHAPITRE	NOUN	chapitre
1	NUM	1
Selon	ADP	selon
les	DET	le
annales	NOUN	annale
de	ADP	de
cet	DET	ce
ancien	ADJ	ancien
et	CCONJ	et
célèbre	ADJ	célèbre
empire	NOUN	empire
d	ADP	d
'	ADP	'
Isma	PROPN	Isma
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
si	SCONJ	si
l	PRON	l
'	PRON	'
on	PRON	on
en	PRON	en
croit	VERB	croire
quelques-uns	PRON	quelques-uns
de	ADP	de
nos	DET	notre
savant	NOUN	savant
,	PUNCT	,
était	AUX	être
situé	VERB	situer
dans	ADP	dans
la	DET	le
grande	ADJ	grand
presque	ADV	presque
'	PUNCT	'
île	NOUN	île
de	ADP	de
Camanfour	PROPN	Camanfour
,	PUNCT	,
il	PRON	il
y	PRON	y
a	VERB	avoir
dix	NUM	dix
siècles	NOUN	siècle
,	PUNCT	,
et	CCONJ	et
plus	ADV	plus
,	PUNCT	,
qu	SCONJ	qu
'	SCONJ	'
un	DET	un
prince	NOUN	prince
nommé	VERB	nommer
Schézaddin	PROPN	Schézaddin
Télaïzé	PROPN	Télaïzé
,	PUNCT	,
regnait	VERB	regner
sur	ADP	sur
les	DET	le
vastes	ADJ	vaste
et	CCONJ	et
florissantes	ADJ	florissant
régions	NOUN	région
qui	PRON	qui
le	PRON	le
composaient	VERB	composer
.	PUNCT	.
Pour	ADP	pour
faire	VERB	faire
en	ADP	en
peu	ADV	peu
de	ADP	de
mots	NOUN	mot
son	DET	son
portrait	NOUN	portrait
,	PUNCT	,
et	CCONJ	et
donner	VERB	donner
en	ADP	en
même	ADJ	même
temps	NOUN	temps
une	DET	un
légère	ADJ	léger
idée	NOUN	idée
de	ADP	de
sa	DET	son
cour	NOUN	cour
,	PUNCT	,
je	PRON	je
dirai	VERB	dire
à	ADP	à
votre	DET	votre
majesté	NOUN	majesté
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
possédait	VERB	posséder
toutes	ADJ	tout
les	DET	le
vertus	NOUN	vertu
dont	PRON	dont
on	PRON	on
loue	VERB	loue
les	DET	le
rois	NOUN	roi
pendant	ADP	pendant
leur	DET	leur
vie	NOUN	vie
,	PUNCT	,
sans	ADP	sans
avoir	VERB	avoir
aucun	PRON	aucun
de	ADP	de
ces	DET	ce
vices	NOUN	vice
qu	SCONJ	qu
'	SCONJ	'
on	PRON	on
ne	ADV	ne
leur	PRON	leur
trouve	VERB	trouve
qu	ADV	qu
'	SCONJ	'
après	ADP	après
leur	DET	leur
mort	NOUN	mort
:	PUNCT	:
que	SCONJ	que
ses	DET	son
courtisans	NOUN	courtisan
,	PUNCT	,
à	ADP	à
qui	PRON	qui
,	PUNCT	,
sous	ADP	sous
un	DET	un
prince	NOUN	prince
si	ADV	si
estimable	ADJ	estimable
,	PUNCT	,
les	DET	le
ridicules	NOUN	ridicule
n	ADV	n
'	ADV	'
auraient	AUX	avoir
fait	VERB	faire
que	ADV	que
nuire	VERB	nuire
,	PUNCT	,
ne	ADV	ne
mettaient	VERB	mettre
pas	ADV	pas
leur	DET	leur
gloire	NOUN	gloire
dans	ADP	dans
l	DET	l
'	DET	'
art	NOUN	art
frivole	ADJ	frivole
et	CCONJ	et
honteux	ADJ	honteux
de	ADP	de
séduire	VERB	séduire
,	PUNCT	,
et	CCONJ	et
de	ADP	de
tromper	VERB	tromper
les	DET	le
femmes	NOUN	femme
,	PUNCT	,
de	ADP	de
se	PRON	se
connaître	VERB	connaître
en	ADP	en
bijoux	NOUN	bijou
mieux	ADV	mieux
que	SCONJ	que
personne	PRON	personne
,	PUNCT	,
et	CCONJ	et
de	ADP	de
discuter	VERB	discuter
profondément	ADV	profondément
des	ADP	de
bagatelles	NOUN	bagatelle
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
craindrai	VERB	craindre
pas	ADV	pas
même	ADV	même
d	ADP	d
'	ADP	'
ajouter	VERB	ajouter
que	SCONJ	que
les	DET	le
femmes	NOUN	femme
de	ADP	de
cette	DET	ce
cour	NOUN	cour
sçavaient	VERB	sçavaier
pour	ADP	pour
la	DET	le
plus	ADV	plus
grande	ADJ	grand
partie	NOUN	partie
,	PUNCT	,
allier	VERB	allier
les	DET	le
grâces	NOUN	grâce
à	ADP	à
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
ou	CCONJ	ou
,	PUNCT	,
ce	PRON	ce
qui	PRON	qui
pourrait	VERB	pouvoir
aujourd	ADV	aujourd
'	ADV	'
hui	ADV	hui
paraître	VERB	paraître
encore	ADV	encore
moins	ADV	moins
vrai	ADJ	vrai
,	PUNCT	,
être	AUX	être
sensibles	ADJ	sensible
avec	ADP	avec
décence	NOUN	décence
.	PUNCT	.
Ah	ADV	ah
quel	DET	quel
conte	NOUN	conte
!	PUNCT	!
S	PRON	s
'	PRON	'
écria	VERB	écrier
la	DET	le
sultane	NOUN	sultane
:	PUNCT	:
les	DET	le
bonnes	ADJ	bon
annales	NOUN	annale
que	SCONJ	que
celles	PRON	celui
d	ADP	d
'	ADP	'
Isma	PROPN	Isma
!	PUNCT	!
Madame	NOUN	monsieur
,	PUNCT	,
répondit	VERB	répondre
le	DET	le
visir	NOUN	visir
,	PUNCT	,
le	DET	le
sultan	NOUN	sultan
,	PUNCT	,
mon	DET	mon
invincible	ADJ	invincible
maître	NOUN	maître
,	PUNCT	,
m	PRON	m
'	PRON	'
a	AUX	avoir
demandé	VERB	demander
de	ADP	de
l	DET	l
'	DET	'
extraordinaire	ADJ	extraordinaire
,	PUNCT	,
même	ADV	même
de	ADP	de
l	DET	l
'	DET	'
incroyable	ADJ	incroyable
,	PUNCT	,
et	CCONJ	et
j	PRON	j
'	PRON	'
ose	VERB	ose
supplier	VERB	supplier
votre	DET	votre
majesté	NOUN	majesté
de	ADP	de
vouloir	VERB	vouloir
bien	ADV	bien
s	PRON	s
'	PRON	'
en	PRON	en
souvenir	VERB	souvenir
.	PUNCT	.
Oui	ADV	oui
,	PUNCT	,
oui	ADV	oui
,	PUNCT	,
Moslem	PROPN	Moslem
,	PUNCT	,
dit	VERB	dire
Schach	PROPN	Schach
Baham	PROPN	Baham
,	PUNCT	,
et	CCONJ	et
je	PRON	je
vous	PRON	vous
ordonnerois	VERB	ordonnerois
même	ADV	même
de	ADP	de
me	PRON	me
donner	VERB	donner
de	ADP	de
ce	PRON	ce
que	PRON	que
certains	DET	certain
beaux	ADJ	beal
esprits	NOUN	esprit
que	PRON	que
je	PRON	je
vois	VERB	voir
d	ADP	d
'	ADP	'
ici	ADV	ici
,	PUNCT	,
seraient	AUX	être
assez	ADV	assez
sots	ADJ	sot
pour	ADP	pour
nommer	VERB	nommer
de	ADP	de
l	DET	l
'	DET	'
absurde	ADJ	absurde
,	PUNCT	,
si	SCONJ	si
,	PUNCT	,
à	ADP	à
ne	ADV	ne
vous	PRON	vous
pas	ADV	pas
flatter	VERB	flatter
,	PUNCT	,
je	PRON	je
vous	PRON	vous
croyais	VERB	croire
assez	ADV	assez
de	ADP	de
génie	NOUN	génie
pour	ADP	pour
pouvoir	VERB	pouvoir
aller	VERB	aller
jusques	ADP	jusques
-là	ADV	-là
.	PUNCT	.
Schézaddin	PROPN	Schézaddin
,	PUNCT	,
quoique	ADV	quoique
fort	ADV	fort
jeune	ADJ	jeune
et	CCONJ	et
fort	ADV	fort
aimable	ADJ	aimable
,	PUNCT	,
s	PRON	s
'	PRON	'
obstinait	VERB	obstiner
à	ADP	à
vivre	VERB	vivre
dans	ADP	dans
le	DET	le
célibat	NOUN	célibat
,	PUNCT	,
malgré	ADP	malgré
les	DET	le
vœux	NOUN	vœu
de	ADP	de
ses	DET	son
sujets	NOUN	sujet
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
l	DET	l
'	DET	'
indifférence	NOUN	indifférence
,	PUNCT	,
malgré	ADP	malgré
les	DET	le
désirs	NOUN	désir
de	ADP	de
ses	DET	son
sujettes	NOUN	sujette
.	PUNCT	.
Ce	PRON	ce
n	ADV	n
'	ADV	'
était	VERB	être
pas	ADV	pas
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
n	ADV	n
'	ADV	'
imaginât	VERB	imaginer
de	ADP	de
la	DET	le
douceur	NOUN	douceur
à	ADP	à
aimer	VERB	aimer
,	PUNCT	,
mais	CCONJ	mais
il	PRON	il
s	PRON	s
'	PRON	'
était	AUX	être
persuadé	VERB	persuader
qu	SCONJ	qu
'	SCONJ	'
un	DET	un
roi	NOUN	roi
doit	VERB	devoir
toujours	ADV	toujours
moins	ADV	moins
à	ADP	à
sa	DET	son
personne	NOUN	personne
,	PUNCT	,
qu	SCONJ	qu
'	SCONJ	'
à	ADP	à
son	DET	son
rang	NOUN	rang
,	PUNCT	,
les	DET	le
sentiment	NOUN	sentiment
qu	PRON	que
'	PRON	'
on	PRON	on
lui	PRON	lui
montre	VERB	montre
.	PUNCT	.
Cette	DET	ce
idée	NOUN	idée
,	PUNCT	,
et	CCONJ	et
la	DET	le
gloire	NOUN	gloire
qu	PRON	que
'	PRON	'
il	PRON	il
croyait	VERB	croire
acquérir	VERB	acquérir
en	ADP	en
fermant	VERB	fermer
son	DET	son
cœur	NOUN	cœur
à	ADP	à
la	DET	le
plus	ADV	plus
agréable	ADJ	agréable
des	ADP	de
passions	NOUN	passion
,	PUNCT	,
l	PRON	l
'	PRON	'
avaient	AUX	avoir
,	PUNCT	,
en	ADP	en
effet	NOUN	effet
,	PUNCT	,
rendu	VERB	rendre
inaccessible	ADJ	inaccessible
à	ADP	à
l	DET	l
'	DET	'
amour	NOUN	amour
.	PUNCT	.
ô	ADJ	ô
préjugés	NOUN	préjugé
!	PUNCT	!
Que	SCONJ	que
vous	PRON	vous
coûtez	VERB	coûter
de	ADP	de
plaisirs	NOUN	plaisir
à	ADP	à
la	DET	le
jeunesse	NOUN	jeunesse
!	PUNCT	!
L	DET	l
'	DET	'
on	PRON	on
a	VERB	avoir
,	PUNCT	,
cependant	ADV	cependant
,	PUNCT	,
lieu	NOUN	lieu
de	ADP	de
penser	VERB	penser
que	SCONJ	que
,	PUNCT	,
quelque	DET	quelque
empire	NOUN	empire
qu	PRON	que
'	PRON	'
eussent	VERB	avoir
sur	ADP	sur
lui	PRON	lui
l	DET	l
'	DET	'
amour	NOUN	amour
de	ADP	de
la	DET	le
gloire	NOUN	gloire
et	CCONJ	et
la	DET	le
crainte	NOUN	crainte
de	ADP	de
ne	ADV	ne
pouvoir	VERB	pouvoir
jamais	ADV	jamais
être	AUX	être
aimé	VERB	aimer
pour	ADP	pour
lui-même	PRON	lui-même
,	PUNCT	,
ces	DET	ce
préjugés	NOUN	préjugé
ne	ADV	ne
l	PRON	l
'	PRON	'
auraient	AUX	avoir
pas	ADV	pas
empêché	VERB	empêcher
d	ADP	d
'	ADP	'
être	AUX	être
sensible	ADJ	sensible
,	PUNCT	,
s	SCONJ	s
'	SCONJ	'
il	PRON	il
n	ADV	n
'	ADV	'
eût	AUX	avoir
pas	ADV	pas
pensé	VERB	penser
de	ADP	de
la	DET	le
façon	NOUN	façon
du	ADP	de
monde	NOUN	monde
la	DET	le
plus	ADV	plus
extraordinaire	ADJ	extraordinaire
,	PUNCT	,
sur	ADP	sur
ce	DET	ce
mouvement	NOUN	mouvement
que	PRON	que
nous	PRON	nous
nommons	VERB	nommer
amour	NOUN	amour
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
,	PUNCT	,
pourle	ADP	pourle
définir	VERB	définir
,	PUNCT	,
il	PRON	il
eût	AUX	avoir
attendu	VERB	attendre
à	ADP	à
le	PRON	le
connaitre	VERB	connaitre
.	PUNCT	.
Mais	CCONJ	mais
,	PUNCT	,
soit	CCONJ	soit
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
eût	VERB	avoir
l	DET	l
'	DET	'
esprit	NOUN	esprit
gâté	VERB	gâter
par	ADP	par
la	DET	le
lecture	NOUN	lecture
des	ADP	de
anciens	ADJ	ancien
romans	NOUN	roman
,	PUNCT	,
ou	CCONJ	ou
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
fût	AUX	être
né	VERB	naître
romanesque	ADJ	romanesque
,	PUNCT	,
il	PRON	il
croyait	VERB	croire
qu	SCONJ	qu
'	SCONJ	'
une	DET	un
véritable	ADJ	véritable
passion	NOUN	passion
est	AUX	être
toujours	ADV	toujours
prédite	VERB	prédire
à	ADP	à
notre	DET	notre
cœur	NOUN	cœur
par	ADP	par
des	DET	un
événements	NOUN	événement
singuliers	ADJ	singulier
;	PUNCT	;
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
s	PRON	s
'	PRON	'
en	PRON	en
faut	VERB	falloir
beaucoup	ADV	beaucoup
que	SCONJ	que
les	DET	le
désirs	NOUN	désir
saient	VERB	saier
de	ADP	de
l	DET	l
'	DET	'
amour	NOUN	amour
;	PUNCT	;
que	SCONJ	que
l	PRON	l
'	PRON	'
on	PRON	on
n	ADV	n
'	ADV	'
aime	VERB	aime
point	ADV	point
,	PUNCT	,
lorsque	SCONJ	lorsque
l	PRON	l
'	PRON	'
on	PRON	on
ne	ADV	ne
se	PRON	se
sent	VERB	sentir
pas	ADV	pas
,	PUNCT	,
dès	ADP	dès
la	DET	le
première	ADJ	premier
vue	NOUN	vue
,	PUNCT	,
entraîné	VERB	entraîner
par	ADP	par
un	DET	un
penchant	NOUN	penchant
irrésistible	ADJ	irrésistible
;	PUNCT	;
et	CCONJ	et
que	SCONJ	que
