 	SPACE	 
conte	NOUN	conte
.	PUNCT	.
la	DET	le
comtesse	NOUN	comtesse
de	ADP	de
*	PUNCT	*
me	PRON	me
prit	VERB	prendre
sans	ADP	sans
m	PRON	m
'	PRON	'
aimer	VERB	aimer
,	PUNCT	,
continua	VERB	continuer
Damon	PROPN	Damon
:	PUNCT	:
elle	PRON	lui
me	PRON	me
trompa	VERB	tromper
.	PUNCT	.
Je	PRON	je
me	PRON	me
fâchai	VERB	fâcher
,	PUNCT	,
elle	PRON	lui
me	PRON	me
quitta	VERB	quitter
:	PUNCT	:
cela	PRON	cela
était	AUX	être
dans	ADP	dans
l	DET	l
'	DET	'
ordre	NOUN	ordre
.	PUNCT	.
Je	PRON	je
l	PRON	l
'	PRON	'
aimais	VERB	aimer
alors	ADV	alors
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
pour	ADP	pour
me	PRON	me
venger	VERB	venger
mieux	ADV	mieux
,	PUNCT	,
j	PRON	j
'	PRON	'
eus	VERB	avoir
le	DET	le
caprice	NOUN	caprice
de	ADP	de
la	PRON	le
ravoir	VERB	ravoir
,	PUNCT	,
quand	SCONJ	quand
à	ADP	à
mon	DET	mon
tour	NOUN	tour
,	PUNCT	,
je	PRON	je
ne	ADV	ne
l	PRON	l
'	PRON	'
aimai	VERB	aimer
plus	ADV	plus
.	PUNCT	.
J	PRON	j
'	PRON	'
y	PRON	y
réussis	VERB	réussir
et	CCONJ	et
lui	PRON	lui
tournai	VERB	tourner
la	DET	le
tête	NOUN	tête
:	PUNCT	:
c	PRON	c
'	PRON	'
est	AUX	être
ce	PRON	ce
que	PRON	que
je	PRON	je
demandais	VERB	demander
.	PUNCT	.
Elle	PRON	lui
était	AUX	être
amie	NOUN	amie
de	ADP	de
Madame	NOUN	monsieur
De	ADP	de
T	NOUN	t
qui	PRON	qui
me	PRON	me
lorgnoit	VERB	lorgnoit
depuis	ADP	depuis
quelque	DET	quelque
temps	NOUN	temps
,	PUNCT	,
et	CCONJ	et
semblait	VERB	sembler
avoir	VERB	avoir
de	DET	de
grands	ADJ	grand
desseins	NOUN	dessein
sur	ADP	sur
ma	DET	mon
personne	NOUN	personne
.	PUNCT	.
Elle	PRON	lui
y	PRON	y
mettait	VERB	mettre
de	ADP	de
la	DET	le
suite	NOUN	suite
,	PUNCT	,
se	PRON	se
trouvait	VERB	trouver
partout	ADV	partout
où	PRON	où
j	PRON	j
'	PRON	'
étais	VERB	être
,	PUNCT	,
et	CCONJ	et
menaçait	VERB	menacer
de	ADP	de
m	PRON	m
'	PRON	'
aimer	VERB	aimer
à	ADP	à
la	DET	le
folie	NOUN	folie
,	PUNCT	,
sans	ADP	sans
cependant	ADV	cependant
que	SCONJ	que
cela	PRON	cela
prît	VERB	prendre
sur	ADP	sur
sa	DET	son
dignité	NOUN	dignité
et	CCONJ	et
sur	ADP	sur
son	DET	son
goût	NOUN	goût
pour	ADP	pour
les	DET	le
décences	NOUN	décence
;	PUNCT	;
car	CCONJ	car
,	PUNCT	,
comme	SCONJ	comme
on	PRON	on
le	PRON	le
verra	VERB	voir
,	PUNCT	,
elle	PRON	lui
y	PRON	y
était	AUX	être
scrupuleusement	ADV	scrupuleusement
attachée	VERB	attacher
.	PUNCT	.
Un	DET	un
jour	NOUN	jour
que	PRON	que
j	PRON	j
'	PRON	'
allais	VERB	aller
