 	SPACE	 
PREMIÉRE	NOUN	premiére
SOIRÉE	NOUN	soirée
.	PUNCT	.

	SPACE	

La	DET	le
favorite	NOUN	favorite
se	PRON	se
couchait	VERB	coucher
de	ADP	de
bonne	ADJ	bon
heure	NOUN	heure
,	PUNCT	,
et	CCONJ	et
s’	PRON	s’
endormait	VERB	endormir
fort	ADV	fort
tard	ADV	tard
.	PUNCT	.
Pour	ADP	pour
hâter	VERB	hâter
le	DET	le
moment	NOUN	moment
de	ADP	de
son	DET	son
sommeil	NOUN	sommeil
,	PUNCT	,
on	PRON	on
lui	PRON	lui
chatouillait	VERB	chatouiller
la	DET	le
plante	NOUN	plante
des	ADP	de
pieds	NOUN	pied
,	PUNCT	,
et	CCONJ	et
on	PRON	on
lui	PRON	lui
faisait	VERB	faire
des	DET	un
contes	NOUN	conte
;	PUNCT	;
et	CCONJ	et
pour	ADP	pour
ménager	VERB	ménager
l’	DET	l’
imagination	NOUN	imagination
et	CCONJ	et
la	DET	le
poitrine	NOUN	poitrine
des	ADP	de
conteurs	NOUN	conteur
,	PUNCT	,
cette	DET	ce
fonction	NOUN	fonction
était	AUX	être
partagée	VERB	partager
entre	ADP	entre
quatre	NUM	quatre
personnes	NOUN	personne
,	PUNCT	,
deux	NUM	deux
émirs	NOUN	émir
et	CCONJ	et
deux	NUM	deux
femmes	NOUN	femme
.	PUNCT	.
Ces	DET	ce
quatre	NUM	quatre
improvisateurs	NOUN	improvisateur
poursuivaient	VERB	poursuivre
successivement	ADV	successivement
le	DET	le
même	ADJ	même
récit	NOUN	récit
aux	ADP	à
ordres	NOUN	ordre
de	ADP	de
la	DET	le
favorite	NOUN	favorite
.	PUNCT	.
Sa	DET	son
tête	NOUN	tête
était	AUX	être
mollement	ADV	mollement
posée	VERB	poser
sur	ADP	sur
son	DET	son
oreiller	NOUN	oreiller
,	PUNCT	,
ses	DET	son
membres	NOUN	membre
étendus	VERB	étendre
dans	ADP	dans
son	DET	son
lit	NOUN	lit
,	PUNCT	,
et	CCONJ	et
ses	DET	son
pieds	NOUN	pied
confiés	VERB	confier
à	ADP	à
sa	DET	son
chatouilleuse	NOUN	chatouilleuse
,	PUNCT	,
lorsqu’	SCONJ	lorsqu’
elle	PRON	lui
dit	VERB	dire
:	PUNCT	:
«	PUNCT	«
Commencez	VERB	commencer
;	PUNCT	;
»	PUNCT	»
et	CCONJ	et
ce	PRON	ce
fut	AUX	être
la	DET	le
première	ADJ	premier
de	ADP	de
ses	DET	son
femmes	NOUN	femme
qui	PRON	qui
débuta	VERB	débuter
par	ADP	par
ce	PRON	ce
qui	PRON	qui
suit	VERB	suivre
.	PUNCT	.

	SPACE	

LA	DET	le
PREMIÈRE	ADJ	premier
FEMME	NOUN	femme
.	PUNCT	.

	SPACE	

Ah	INTJ	Ah
!	PUNCT	!
ma	DET	mon
sœur	NOUN	sœur
,	PUNCT	,
le	DET	le
bel	ADJ	bel
oiseau	NOUN	oiseau
!	PUNCT	!
Quoi	PRON	quoi
!	PUNCT	!
vous	PRON	vous
ne	ADV	ne
le	PRON	le
voyez	VERB	voir
pas	ADV	pas
entre	ADP	entre
les	DET	le
deux	NUM	deux
branches	NOUN	branche
de	ADP	de
ce	DET	ce
palmier	NOUN	palmier
,	PUNCT	,
passer	VERB	passer
son	DET	son
bec	NOUN	bec
entre	ADP	entre
ses	DET	son
plumes	NOUN	plume
,	PUNCT	,
et	CCONJ	et
parer	VERB	parer
ses	DET	son
ailes	NOUN	aile
et	CCONJ	et
sa	DET	son
queue	NOUN	queue
?	PUNCT	?
Approchons	VERB	approcher
doucement	ADV	doucement
;	PUNCT	;
peut-être	ADV	peut-être
qu’	SCONJ	qu’
en	ADP	en
l’	PRON	l’
appelant	VERB	appeler
il	PRON	il
viendra	VERB	venir
;	PUNCT	;
car	CCONJ	car
il	PRON	il
a	VERB	avoir
l’	DET	l’
air	NOUN	air
apprivoisé	VERB	apprivoiser
.	PUNCT	.
«	PUNCT	«
Oiseau	NOUN	oiseau
mon	DET	mon
cœur	NOUN	cœur
,	PUNCT	,
oiseau	NOUN	oiseau
mon	DET	mon
petit	ADJ	petit
roi	NOUN	roi
,	PUNCT	,
venez	VERB	venir
,	PUNCT	,
ne	ADV	ne
craignez	VERB	craindre
rien	PRON	rien
;	PUNCT	;
vous	PRON	vous
êtes	AUX	être
trop	ADV	trop
beau	ADJ	beau
pour	ADP	pour
qu’	SCONJ	qu’
on	PRON	on
vous	PRON	vous
fasse	VERB	faire
du	DET	de
mal	NOUN	mal
.	PUNCT	.
Venez	VERB	venir
;	PUNCT	;
une	DET	un
cage	NOUN	cage
charmante	ADJ	charmant
vous	PRON	vous
attend	VERB	attendre
;	PUNCT	;
ou	CCONJ	ou
si	SCONJ	si
vous	PRON	vous
préférez	VERB	préférer
la	DET	le
liberté	NOUN	liberté
,	PUNCT	,
vous	PRON	vous
serez	VERB	être
libre	ADJ	libre
.	PUNCT	.
»	PUNCT	»
L’	DET	l’
oiseau	NOUN	oiseau
était	AUX	être
trop	ADV	trop
galant	ADJ	galant
pour	ADP	pour
se	PRON	se
refuser	VERB	refuser
aux	ADP	à
agaceries	NOUN	agacerie
de	ADP	de
deux	NUM	deux
jeunes	ADJ	jeune
et	CCONJ	et
jolies	ADJ	joli
personnes	NOUN	personne
.	PUNCT	.
Il	PRON	il
prit	VERB	prendre
son	DET	son
vol	NOUN	vol
,	PUNCT	,
et	CCONJ	et
descendit	VERB	descendre
légèrement	ADV	légèrement
sur	ADP	sur
le	DET	le
sein	NOUN	sein
de	ADP	de
celle	PRON	celui
qui	PRON	qui
l’	PRON	l’
avait	AUX	avoir
appelé	VERB	appeler
.	PUNCT	.
Agariste	NOUN	agariste
,	PUNCT	,
c’	PRON	c’
était	AUX	être
son	DET	son
nom	NOUN	nom
,	PUNCT	,
lui	PRON	lui
passant	VERB	passer
sur	ADP	sur
la	DET	le
tête	NOUN	tête
une	DET	un
main	NOUN	main
qu’	PRON	qu’
elle	PRON	lui
laissait	VERB	laisser
glisser	VERB	glisser
le	DET	le
long	ADV	long
de	ADP	de
ses	DET	son
ailes	NOUN	aile
,	PUNCT	,
disait	VERB	dire
à	ADP	à
sa	DET	son
compagne	NOUN	compagne
:	PUNCT	:
«	PUNCT	«
Ah	INTJ	Ah
!	PUNCT	!
ma	DET	mon
sœur	NOUN	sœur
,	PUNCT	,
qu’	SCONJ	qu’
il	PRON	il
est	AUX	être
charmant	ADJ	charmant
!	PUNCT	!
Que	SCONJ	que
son	DET	son
plumage	NOUN	plumage
est	AUX	être
doux	ADJ	doux
!	PUNCT	!
qu’	SCONJ	qu’
il	PRON	il
est	AUX	être
lisse	ADJ	lisse
et	CCONJ	et
poli	ADJ	poli
!	PUNCT	!

	SPACE	

Mais	CCONJ	mais
il	PRON	il
a	VERB	avoir
le	DET	le
bec	NOUN	bec
et	CCONJ	et
les	DET	le
pâtes	NOUN	pâte
couleur	NOUN	couleur
de	ADP	de
rosé	ADJ	rosé
,	PUNCT	,
et	CCONJ	et
les	DET	le
yeux	NOUN	oeil
d’	ADP	d’
un	DET	un
noir	NOUN	noir
admirable	ADJ	admirable
!	PUNCT	!
»	PUNCT	»
LA	DET	le
SULTANE	NOUN	sultane
.	PUNCT	.

	SPACE	

Quelles	ADJ	quelle
étaient	AUX	être
ces	DET	ce
deux	NUM	deux
femmes	NOUN	femme
?	PUNCT	?

	SPACE	

LA	DET	le
PREMIÈRE	ADJ	premier
FEMME	NOUN	femme
.	PUNCT	.

	SPACE	

Deux	NUM	Deux
de	ADP	de
ces	DET	ce
vierges	NOUN	vierge
que	PRON	que
les	DET	le
Chinois	NOUN	chinois
renferment	VERB	renfermer
dans	ADP	dans
des	DET	un
cloîtres	NOUN	cloître
.	PUNCT	.

	SPACE	

LA	DET	le
SULTANE	NOUN	sultane
.	PUNCT	.

	SPACE	

Je	PRON	je
ne	ADV	ne
croyais	VERB	croire
