 	SPACE	 
LA	DET	le
RELIGIEUSE	NOUN	religieuse
La	DET	le
réponse	NOUN	réponse
de	ADP	de
M.	NOUN	m.
le	DET	le
marquis	NOUN	marquis
de	ADP	de
Croismare	PROPN	Croismare
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
m'	PRON	me
en	PRON	en
fait	VERB	faire
une	PRON	un
,	PUNCT	,
me	PRON	me
fournira	VERB	fournir
les	DET	le
premières	ADJ	premier
lignes	NOUN	ligne
de	ADP	de
ce	DET	ce
récit	NOUN	récit
.	PUNCT	.
Avant	ADP	avant
que	SCONJ	que
de	ADP	de
lui	PRON	lui
écrire	VERB	écrire
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
voulu	VERB	vouloir
le	PRON	le
connaître	VERB	connaître
.	PUNCT	.
C'	PRON	ce
est	AUX	être
un	DET	un
homme	NOUN	homme
du	ADP	de
monde	NOUN	monde
,	PUNCT	,
il	PRON	il
s'	PRON	se
est	AUX	être
illustré	VERB	illustrer
au	ADP	au
service	NOUN	service
;	PUNCT	;
il	PRON	il
est	AUX	être
âgé	ADJ	âgé
,	PUNCT	,
il	PRON	il
a	AUX	avoir
été	AUX	être
marié	VERB	marier
;	PUNCT	;
il	PRON	il
a	VERB	avoir
une	DET	un
fille	NOUN	fille
et	CCONJ	et
deux	NUM	deux
fils	NOUN	fils
qu'	PRON	qu'
il	PRON	il
aime	VERB	aime
et	CCONJ	et
dont	PRON	dont
il	PRON	il
est	AUX	être
chéri	VERB	chérir
.	PUNCT	.
Il	PRON	il
a	VERB	avoir
de	ADP	de
la	DET	le
naissance	NOUN	naissance
,	PUNCT	,
des	DET	un
lumières	NOUN	lumière
,	PUNCT	,
de	ADP	de
l'	DET	le
esprit	NOUN	esprit
,	PUNCT	,
de	ADP	de
la	DET	le
gaieté	NOUN	gaieté
,	PUNCT	,
du	ADP	de
goût	NOUN	goût
pour	ADP	pour
les	DET	le
beaux	NOUN	beau
-	NOUN	-
arts	NOUN	art
,	PUNCT	,
et	CCONJ	et
surtout	ADV	surtout
de	ADP	de
l'	DET	le
originalité	NOUN	originalité
.	PUNCT	.
On	PRON	on
m'	PRON	me
