 	SPACE	 
I.	NOUN	i.

	SPACE	

JUGEMENT	NOUN	jugement
DU	ADP	de
VOYAGE	NOUN	voyage
DE	ADP	de
BOUGAINVILLE	PROPN	BOUGAINVILLE
.	PUNCT	.

	SPACE	

A.	PROPN	A.
Cette	DET	ce
superbe	ADJ	superbe
voûte	NOUN	voûte
étoilée	ADJ	étoilé
,	PUNCT	,
sous	ADP	sous
laquelle	PRON	lequel
nous	PRON	nous
revînmes	VERB	revenir
hier	ADV	hier
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
semblait	VERB	sembler
nous	PRON	nous
garantir	VERB	garantir
un	DET	un
beau	ADJ	beau
jour	NOUN	jour
,	PUNCT	,
ne	ADV	ne
nous	PRON	nous
a	AUX	avoir
pas	ADV	pas
tenu	VERB	tenir
parole	NOUN	parole
.	PUNCT	.

	SPACE	

B.	NOUN	b.
Qu'	PRON	qu'
en	PRON	en
savez	VERB	savoir
-vous	PRON	vous
?	PUNCT	?

	SPACE	

A.	PROPN	A.
Le	DET	le
brouillard	NOUN	brouillard
est	AUX	être
si	ADV	si
épais	ADJ	épais
qu'	SCONJ	que
il	PRON	il
nous	PRON	nous
dérobe	VERB	dérobe
la	DET	le
vue	NOUN	vue
des	ADP	de
arbres	NOUN	arbre
voisins	ADJ	voisin
.	PUNCT	.

	SPACE	

B.	PROPN	B.
Il	PRON	il
est	AUX	être
vrai	ADJ	vrai
;	PUNCT	;
mais	CCONJ	mais
si	SCONJ	si
ce	DET	ce
brouillard	NOUN	brouillard
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
reste	VERB	reste
dans	ADP	dans
la	DET	le
partie	NOUN	partie
inférieure	ADJ	inférieur
de	ADP	de
l'	DET	le
atmosphère	NOUN	atmosphère
que	ADV	que
parce	SCONJ	parce
qu'	SCONJ	que
elle	PRON	lui
est	AUX	être
suffisamment	ADV	suffisamment
chargée	VERB	charger
d'	ADP	de
humidité	NOUN	humidité
,	PUNCT	,
retombe	VERB	retombe
sur	ADP	sur
la	DET	le
terre	NOUN	terre
?	PUNCT	?

	SPACE	

A.	PROPN	A.
Mais	CCONJ	mais
si	SCONJ	si
au	ADP	au
contraire	NOUN	contraire
il	PRON	il
traverse	VERB	traverse
l'	DET	le
éponge	NOUN	éponge
,	PUNCT	,
s'	PRON	se
élève	VERB	élever
et	CCONJ	et
gagne	VERB	gagne
la	DET	le
région	NOUN	région
supérieure	ADJ	supérieur
où	PRON	où
l'	DET	le
air	NOUN	air
est	AUX	être
moins	ADV	moins
dense	ADJ	dense
,	PUNCT	,
et	CCONJ	et
peut	VERB	pouvoir
,	PUNCT	,
comme	SCONJ	comme
disent	VERB	dire
les	DET	le
chimistes	NOUN	chimiste
,	PUNCT	,
n'	ADV	n'
être	AUX	être
pas	ADV	pas
saturé	VERB	saturer
?	PUNCT	?

	SPACE	

B.	PROPN	B.
Il	PRON	il
faut	VERB	falloir
attendre	VERB	attendre
.	PUNCT	.

	SPACE	

A.	PROPN	A.
En	ADP	en
attendant	VERB	attendre
,	PUNCT	,
que	PRON	que
faites	VERB	faire
-vous	PRON	vous
?	PUNCT	?

	SPACE	

B.	PROPN	B.
Je	PRON	je
lis	VERB	lire
.	PUNCT	.

	SPACE	

A.	PROPN	A.
Toujours	ADV	toujours
ce	DET	ce
voyage	NOUN	voyage
de	ADP	de
Bougainville	PROPN	Bougainville
?	PUNCT	?

	SPACE	

B.	PROPN	B.
Toujours	ADV	toujours
.	PUNCT	.

	SPACE	

A.	PROPN	A.
Je	PRON	je
n'	ADV	n'
entends	VERB	entendre
rien	PRON	rien
à	ADP	à
cet	DET	ce
homme-là	NOUN	homme-là
.	PUNCT	.
L'	DET	le
étude	NOUN	étude
des	ADP	de
mathématiques	NOUN	mathématique
,	PUNCT	,
qui	PRON	qui
suppose	VERB	suppose
une	DET	un
vie	NOUN	vie
sédentaire	ADJ	sédentaire
,	PUNCT	,
a	AUX	avoir
rempli	VERB	remplir
le	DET	le
temps	NOUN	temps
de	ADP	de
ses	DET	son
jeunes	ADJ	jeune
années	NOUN	année
;	PUNCT	;
et	CCONJ	et
voilà	VERB	voilà
qu'	SCONJ	que
il	PRON	il
passe	VERB	passer
subitement	ADV	subitement
d'	ADP	de
une	DET	un
condition	NOUN	condition
méditative	ADJ	méditatif
et	CCONJ	et
retirée	VERB	retirer
au	ADP	au
métier	NOUN	métier
actif	ADJ	actif
,	PUNCT	,
pénible	ADJ	pénible
,	PUNCT	,
errant	ADJ	errant
et	CCONJ	et
dissipé	ADJ	dissipé
de	ADP	de
voyageur	NOUN	voyageur
.	PUNCT	.

	SPACE	

B.	NOUN	b.
Nullement	ADV	nullement
.	PUNCT	.
Si	SCONJ	si
le	DET	le
vaisseau	NOUN	vaisseau
n'	ADV	n'
est	AUX	être
qu'	ADV	qu'
une	DET	un
maison	NOUN	maison
flottante	ADJ	flottant
,	PUNCT	,
et	CCONJ	et
si	SCONJ	si
vous	PRON	vous
considérez	VERB	considérer
le	DET	le
navigateur	NOUN	navigateur
qui	PRON	qui
traverse	VERB	traverse
des	DET	un
espaces	NOUN	espace
immenses	ADJ	immense
,	PUNCT	,
resserré	VERB	resserrer
et	CCONJ	et
immobile	ADJ	immobile
dans	ADP	dans
une	DET	un
enceinte	NOUN	enceinte
assez	ADV	assez
étroite	ADJ	étroit
,	PUNCT	,
vous	PRON	vous
le	PRON	le
verrez	VERB	voir
faisant	VERB	faire
le	DET	le
tour	NOUN	tour
du	ADP	de
globe	NOUN	globe
sur	ADP	sur
une	DET	un
planche	NOUN	planche
,	PUNCT	,
comme	SCONJ	comme
vous	PRON	vous
