 	SPACE	 
PARTIE	NOUN	partie
1	NUM	1
Lettre	NOUN	lettre
première	ADJ	premier
.	PUNCT	.

	SPACE	

de	ADP	de
Ladi	PROPN	Ladi
Sidley	PROPN	Sidley
,	PUNCT	,
au	ADP	au
comte	NOUN	comte
de	ADP	de
Mirbelle	PROPN	Mirbelle
.	PUNCT	.

	SPACE	

de	ADP	de
à	ADP	à
une	DET	un
lieue	NOUN	lieue
de	ADP	de
Paris	PROPN	Paris
.	PUNCT	.
Vous	PRON	vous
me	PRON	me
demandiez	VERB	demander
hier	ADV	hier
d	ADP	d
'	ADP	'
où	ADV	où
venait	VERB	venir
ma	DET	mon
tristesse	NOUN	tristesse
,	PUNCT	,
et	CCONJ	et
si	SCONJ	si
j	PRON	j
'	PRON	'
avais	VERB	avoir
à	ADP	à
me	PRON	me
plaindre	VERB	plaindre
de	ADP	de
vous	PRON	vous
.	PUNCT	.
Est	AUX	être
-ce	PRON	-ce
vous	PRON	vous
qui	PRON	qui
m	PRON	m
'	PRON	'
avez	AUX	avoir
fait	VERB	faire
cette	DET	ce
question	NOUN	question
?	PUNCT	?
Est	AUX	être
-ce	PRON	-ce
à	ADP	à
moi	PRON	moi
que	PRON	que
vous	PRON	vous
deviez	VERB	devoir
la	PRON	le
faire	VERB	faire
?	PUNCT	?
Vous	PRON	vous
le	PRON	le
savez	VERB	savoir
,	PUNCT	,
je	PRON	je
suis	AUX	être
naturellement	ADV	naturellement
sérieuse	ADJ	sérieux
.	PUNCT	.
L	DET	l
'	DET	'
habitude	NOUN	habitude
du	ADP	de
malheur	NOUN	malheur
,	PUNCT	,
contractée	VERB	contracter
dès	ADP	dès
ma	DET	mon
plus	ADV	plus
tendre	ADJ	tendre
enfance	NOUN	enfance
,	PUNCT	,
a	AUX	avoir
donné	VERB	donner
à	ADP	à
mes	DET	mon
traits	NOUN	trait
cette	DET	ce
expression	NOUN	expression
involontaire	ADJ	involontaire
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
signifie	VERB	signifier
rien	PRON	rien
,	PUNCT	,
et	CCONJ	et
qu	PRON	que
'	SCONJ	'
il	PRON	il
ne	ADV	ne
vous	PRON	vous
est	AUX	être
pas	ADV	pas
permis	VERB	permettre
de	ADP	de
mal	ADV	mal
interpréter	VERB	interpréter
.	PUNCT	.
Moi	PRON	moi
!	PUNCT	!
De	ADP	de
la	DET	le
tristesse	NOUN	tristesse
quand	SCONJ	quand
je	PRON	je
suis	VERB	suivre
avec	ADP	avec
toi	PRON	toi
,	PUNCT	,
quand	SCONJ	quand
je	PRON	je
jouis	VERB	jouir
de	ADP	de
ta	DET	ton
présence	NOUN	présence
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
je	PRON	je
lis	VERB	lire
mon	DET	mon
sort	NOUN	sort
dans	ADP	dans
tes	DET	ton
yeux	NOUN	oeil
!	PUNCT	!
Ai	VERB	avoir
-je	PRON	je
un	DET	un
autre	ADJ	autre
bien	NOUN	bien
que	SCONJ	que
celui	PRON	celui
-là	PRON	-là
,	PUNCT	,
d	DET	d
'	ADP	'
autres	ADJ	autre
plaisirs	NOUN	plaisir
,	PUNCT	,
d	ADP	d
'	ADP	'
autres	ADJ	autre
liens	NOUN	lien
qui	PRON	qui
m	PRON	m
'	PRON	'
attachentà	VERB	attachentà
la	DET	le
vie	NOUN	vie
?	PUNCT	?
Je	PRON	je
l	PRON	l
'	PRON	'
ai	AUX	avoir
soufferte	VERB	souffrir
;	PUNCT	;
c	PRON	c
'	PRON	'
est	VERB	être
te	PRON	te
dire	VERB	dire
à	ADP	à
quel	DET	quel
excès	NOUN	excès
tu	PRON	tu
m	PRON	m
'	PRON	'
es	AUX	être
cher	ADJ	cher
.	PUNCT	.
Ta	DET	ton
passion	NOUN	passion
est	AUX	être
plus	ADV	plus
faible	ADJ	faible
,	PUNCT	,
si	SCONJ	si
tu	PRON	tu
doutes	VERB	douter
de	ADP	de
la	DET	le
mienne	PRON	mienne
.	PUNCT	.
Ai	VERB	avoir
-je	PRON	je
à	ADP	à
me	PRON	me
plaindre	VERB	plaindre
de	ADP	de
toi	PRON	toi
,	PUNCT	,
me	PRON	me
dis	VERB	dire
-	PRON	-
tu	PRON	tu
?	PUNCT	?
Peux	VERB	pouvoir
-	PRON	-
tu	PRON	tu
le	PRON	le
craindre	VERB	craindre
?	PUNCT	?
Dois	VERB	devoir
-	PRON	-
tu	PRON	tu
le	PRON	le
penser	VERB	penser
?	PUNCT	?
As	AUX	avoir
-	PRON	-
tu	PRON	tu
donc	ADV	donc
mérité	VERB	mériter
que	SCONJ	que
je	PRON	je
m	PRON	m
'	PRON	'
en	PRON	en
plaigne	VERB	plaindre
?	PUNCT	?
écoute	NOUN	écoute
.	PUNCT	.
Le	DET	le
ciel	NOUN	ciel
semble	VERB	semble
m	PRON	m
'	PRON	'
avoir	AUX	avoir
fait	AUX	faire
naître	VERB	naître
pour	ADP	pour
les	DET	le
chagrins	NOUN	chagrin
les	DET	le
plus	ADV	plus
sensibles	ADJ	sensible
;	PUNCT	;
et	CCONJ	et
s	SCONJ	s
'	SCONJ	'
il	PRON	il
me	PRON	me
donna	VERB	donner
le	DET	le
courage	NOUN	courage
,	PUNCT	,
ce	PRON	ce
fut	AUX	être
pour	ADP	pour
l	PRON	l
'	PRON	'
exercer	VERB	exercer
par	ADP	par
l	DET	l
'	DET	'
infortune	NOUN	infortune
.	PUNCT	.
J	PRON	j
'	PRON	'
ai	AUX	avoir
perdu	VERB	perdre
,	PUNCT	,
après	ADP	après
six	NUM	six
mois	NOUN	mois
de	ADP	de
l	DET	l
'	DET	'
union	NOUN	union
la	DET	le
plus	ADV	plus
douce	ADJ	doux
,	PUNCT	,
un	DET	un
époux	NOUN	époux
tendrement	ADV	tendrement
aimé	VERB	aimer
.	PUNCT	.
J	PRON	j
'	PRON	'
ai	AUX	avoir
vu	VERB	voir
mon	DET	mon
vertueux	ADJ	vertueux
père	NOUN	père
en	ADP	en
bute	NOUN	bute
aux	ADP	à
persécutions	NOUN	persécution
de	ADP	de
sa	DET	son
patrie	NOUN	patrie
;	PUNCT	;
je	PRON	je
l	PRON	l
'	PRON	'
ai	AUX	avoir
vu	VERB	voir
mourir	VERB	mourir
entre	ADP	entre
mes	DET	mon
bras	NOUN	bras
défaillans	ADJ	défaillan
,	PUNCT	,
tandis	ADV	tandis
que	SCONJ	que
ses	DET	son
bourreaux	NOUN	bourreau
frémissoient	VERB	frémissoier
autour	ADV	autour
de	ADP	de
sa	DET	son
prison	NOUN	prison
.	PUNCT	.
Mes	DET	mon
premières	ADJ	premier
larmes	NOUN	larme
ont	AUX	avoir
coulé	VERB	couler
dans	ADP	dans
un	DET	un
cachot	NOUN	cachot
,	PUNCT	,
sur	ADP	sur
un	DET	un
vieillard	NOUN	vieillard
qui	PRON	qui
méritait	VERB	mériter
un	DET	un
trône	NOUN	trône
.	PUNCT	.
Ma	DET	mon
mère	NOUN	mère
me	PRON	me
restait	VERB	rester
,	PUNCT	,
une	DET	un
mère	NOUN	mère
adorée	VERB	adorer
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
mêlait	VERB	mêler
ses	DET	son
pleurs	NOUN	pleur
aux	ADP	à
miens	NOUN	mien
;	PUNCT	;
je	PRON	je
l	PRON	l
'	PRON	'
ai	AUX	avoir
perdue	VERB	perdre
.	PUNCT	.
Tu	PRON	tu
en	PRON	en
as	AUX	avoir
été	AUX	être
le	DET	le
témoin	NOUN	témoin
;	PUNCT	;
c	PRON	c
'	PRON	'
est	AUX	être
elle	PRON	lui
qui	PRON	qui
nous	PRON	nous
a	AUX	avoir
unis	VERB	unir
à	ADP	à
son	DET	son
dernier	ADJ	dernier
soupir	NOUN	soupir
:	PUNCT	:
je	PRON	je
n	ADV	n
'	ADV	'
ai	VERB	avoir
plus	ADV	plus
que	SCONJ	que
toi	PRON	toi
au	ADP	au
monde	NOUN	monde
.	PUNCT	.
C	PRON	c
'	PRON	'
est	VERB	être
sur	ADP	sur
une	DET	un
tombe	NOUN	tombe
que	SCONJ	que
le	DET	le
flambeau	NOUN	flambeau
de	ADP	de
l	DET	l
'	DET	'
hymen	NOUN	hymen
s	PRON	s
'	PRON	'
est	AUX	être
allumé	VERB	allumer
pour	ADP	pour
nous	PRON	nous
;	PUNCT	;
hymen	NOUN	hymen
sacré	ADJ	sacrer
,	PUNCT	,
quoiqu	ADV	quoiqu
'	SCONJ	'
il	PRON	il
n	ADV	n
'	ADV	'
ait	VERB	avoir
point	ADV	point
la	DET	le
sanction	NOUN	sanction
des	ADP	de
lois	NOUN	loi
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
l	DET	l
'	DET	'
appareil	NOUN	appareil
des	ADP	de
autels	NOUN	autel
ne	ADV	ne
l	PRON	l
'	PRON	'
ait	AUX	avoir
pas	ADV	pas
confirmé	VERB	confirmer
!	PUNCT	!
Vas	VERB	aller
,	PUNCT	,
je	PRON	je
suis	AUX	être
loin	ADV	loin
de	ADP	de
rougir	VERB	rougir
de	ADP	de
ma	DET	mon
faiblesse	NOUN	faiblesse
,	PUNCT	,
et	CCONJ	et
des	ADP	de
droits	NOUN	droit
que	PRON	que
je	PRON	je
t	PRON	t
'	PRON	'
ai	AUX	avoir
donnés	VERB	donner
sur	ADP	sur
mon	DET	mon
cœur	NOUN	cœur
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
sais	VERB	savoir
point	ADV	point
me	PRON	me
soumettre	VERB	soumettre
à	ADP	à
ces	DET	ce
petites	ADJ	petit
bienséances	NOUN	bienséance
qui	PRON	qui
n	ADV	n
'	ADV	'
enchaînent	VERB	enchaîner
que	ADV	que
les	DET	le
âmes	NOUN	âme
ordinaires	ADJ	ordinaire
;	PUNCT	;
et	CCONJ	et
dans	ADP	dans
tes	DET	ton
bras	NOUN	bras
même	ADV	même
,	PUNCT	,
où	PRON	où
je	PRON	je
m	PRON	m
'	PRON	'
enivre	VERB	enivre
d	ADP	d
'	ADP	'
amour	NOUN	amour
,	PUNCT	,
j	PRON	j
'	PRON	'
oserais	VERB	oser
prendre	VERB	prendre
l	DET	l
'	DET	'
être	NOUN	être
suprême	ADJ	suprême
à	ADP	à
témoin	NOUN	témoin
de	ADP	de
mon	DET	mon
innocence	NOUN	innocence
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
offrir	VERB	offrir
ton	DET	ton
bonheur	NOUN	bonheur
,	PUNCT	,
comme	ADP	comme
le	DET	le
garant	NOUN	garant
de	ADP	de
ma	DET	mon
vertu	NOUN	vertu
.	PUNCT	.
Ne	ADV	ne
crains	VERB	craindre
donc	ADV	donc
pas	ADV	pas
que	SCONJ	que
je	PRON	je
t	PRON	t
'	PRON	'
importune	VERB	importune
par	ADP	par
des	DET	un
impatiences	NOUN	impatience
et	CCONJ	et
des	DET	un
craintes	NOUN	crainte
qui	PRON	qui
nous	PRON	nous
humilieraient	VERB	humilier
tous	ADJ	tout
deux	PRON	deux
.	PUNCT	.
Je	PRON	je
suis	VERB	suivre
à	ADP	à
toi	PRON	toi
,	PUNCT	,
je	PRON	je
t	PRON	t
'	PRON	'
appartiens	VERB	appartenir
jusqu	ADP	jusqu
'	ADP	'
à	ADP	à
mon	DET	mon
dernier	ADJ	dernier
souffle	NOUN	souffle
;	PUNCT	;
je	PRON	je
chéris	VERB	chérir
mon	DET	mon
sentiment	NOUN	sentiment
,	PUNCT	,
je	PRON	je
m	PRON	m
'	PRON	'
y	PRON	y
attache	VERB	attache
,	PUNCT	,
et	CCONJ	et
je	PRON	je
désir	VERB	désir
que	SCONJ	que
tu	PRON	tu
ne	ADV	ne
sois	AUX	être
lié	VERB	lier
que	ADV	que
par	ADP	par
le	DET	le
tien	PRON	tien
.	PUNCT	.
Tu	PRON	tu
dépends	VERB	dépendre
de	ADP	de
ta	DET	ton
famille	NOUN	famille
;	PUNCT	;
tu	PRON	tu
as	VERB	avoir
des	DET	un
devoirs	NOUN	devoir
à	ADP	à
remplir	VERB	remplir
;	PUNCT	;
remplis	VERB	remplir
-	VERB	-
les	PRON	le
tous	ADJ	tout
.	PUNCT	.
Je	PRON	je
veux	VERB	vouloir
que	SCONJ	que
mon	DET	mon
souvenir	NOUN	souvenir
se	PRON	se
mêle	VERB	mêle
à	ADP	à
tout	PRON	tout
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
soit	AUX	être
obstacle	NOUN	obstacle
à	ADP	à
rien	PRON	rien
.	PUNCT	.
Connois	VERB	connois
l	DET	l
'	DET	'
âme	NOUN	âme
d	ADP	d
'	ADP	'
une	DET	un
anglaise	NOUN	anglaise
.	PUNCT	.
La	DET	le
sécurité	NOUN	sécurité
est	AUX	être
dans	ADP	dans
mon	DET	mon
cœur	NOUN	cœur
;	PUNCT	;
elle	PRON	lui
est	AUX	être
le	DET	le
fruit	NOUN	fruit
de	ADP	de
l	DET	l
'	DET	'
estime	NOUN	estime
.	PUNCT	.
Si	SCONJ	si
je	PRON	je
pouvais	VERB	pouvoir
te	PRON	te
soupçonner	VERB	soupçonner
un	DET	un
instant	NOUN	instant
,	PUNCT	,
cet	DET	ce
instant	NOUN	instant
seul	ADJ	seul
empoisonneroit	VERB	empoisonneroit
tout	ADJ	tout
le	DET	le
cours	NOUN	cours
de	ADP	de
ma	DET	mon
vie	NOUN	vie
.	PUNCT	.
Le	DET	le
calme	NOUN	calme
dont	PRON	dont
je	PRON	je
jouis	VERB	jouir
n	ADV	n
'	ADV	'
est	AUX	être
que	ADV	que
le	DET	le
recueillement	NOUN	recueillement
d	ADP	d
'	ADP	'
une	DET	un
sensibilité	NOUN	sensibilité
profonde	ADJ	profond
;	PUNCT	;
si	SCONJ	si
l	DET	l
'	DET	'
orage	NOUN	orage
y	PRON	y
succédait	VERB	succéder
,	PUNCT	,
il	PRON	il
serait	AUX	être
affreux	ADJ	affreux
.	PUNCT	.
O	NOUN	o
mon	DET	mon
ami	NOUN	ami
!	PUNCT	!
Quel	DET	quel
barbare	NOUN	barbare
peut	VERB	pouvoir
travailler	VERB	travailler
lui-même	PRON	lui-même
à	ADP	à
détruire	VERB	détruire
le	DET	le
charme	NOUN	charme
de	ADP	de
ses	DET	son
bienfaits	NOUN	bienfait
?	PUNCT	?
Tu	PRON	tu
as	AUX	avoir
créé	VERB	créer
pour	ADP	pour
moi	PRON	moi
un	DET	un
nouvel	ADJ	nouveau
univers	NOUN	univers
.	PUNCT	.
Tu	PRON	tu
m	PRON	m
'	PRON	'
as	AUX	avoir
placée	VERB	placer
où	ADV	où
tu	PRON	tu
as	AUX	avoir
voulu	VERB	vouloir
;	PUNCT	;
j	PRON	j
'	PRON	'
y	PRON	y
demeure	VERB	demeure
,	PUNCT	,
et	CCONJ	et
n	ADV	n
'	ADV	'
y	PRON	y
regrette	VERB	regrette
rien	PRON	rien
.	PUNCT	.
Ce	DET	ce
jardin	NOUN	jardin
,	PUNCT	,
ces	DET	ce
fleurs	NOUN	fleur
que	PRON	que
je	PRON	je
cultive	VERB	cultive
,	PUNCT	,
ces	DET	ce
bosquets	NOUN	bosquet
dont	PRON	dont
l	DET	l
'	DET	'
ombre	NOUN	ombre
nous	PRON	nous
cache	VERB	cache
à	ADP	à
tous	ADJ	tout
les	DET	le
yeux	NOUN	oeil
,	PUNCT	,
voilà	VERB	voilà
mes	DET	mon
trésors	NOUN	trésor
;	PUNCT	;
je	PRON	je
foule	VERB	foule
les	DET	le
autres	PRON	autre
aux	ADP	à
pieds	NOUN	pied
;	PUNCT	;
je	PRON	je
dédaigne	VERB	dédaigne
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
n	ADV	n
'	ADV	'
est	AUX	être
pas	ADV	pas
toi	VERB	toi
.	PUNCT	.
Ma	DET	mon
solitude	NOUN	solitude
m	PRON	m
'	PRON	'
enchante	VERB	encher
;	PUNCT	;
