 	SPACE	 
PARTIE	NOUN	partie
1	NUM	1
LETTRE	NOUN	lettre
1	NUM	1
Le	DET	le
chevalier	NOUN	chevalier
,	PUNCT	,
au	ADP	au
Baron	NOUN	baron
De	ADP	de
*	NOUN	*
.	PUNCT	.
Que	SCONJ	que
je	PRON	je
vous	PRON	vous
porte	VERB	porte
envie	NOUN	envie
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
baron	NOUN	baron
!	PUNCT	!
Quoique	ADV	quoique
vous	PRON	vous
soyez	VERB	être
encore	ADV	encore
dans	ADP	dans
l'	DET	le
âge	NOUN	âge
où	PRON	où
l'	PRON	l'
on	PRON	on
ne	ADV	ne
renonce	VERB	renoncer
à	ADP	à
rien	PRON	rien
,	PUNCT	,
vous	PRON	vous
avez	AUX	avoir
quitté	VERB	quitter
Paris	PROPN	Paris
,	PUNCT	,
pour	ADP	pour
vivre	VERB	vivre
dans	ADP	dans
vos	DET	votre
terres	NOUN	terre
:	PUNCT	:
vous	PRON	vous
préférez	VERB	préférer
à	ADP	à
son	DET	son
tumulte	NOUN	tumulte
la	DET	le
douceur	NOUN	douceur
d'	ADP	de
une	DET	un
retraite	NOUN	retraite
philosophique	ADJ	philosophique
et	CCONJ	et
tranquille	ADJ	tranquille
.	PUNCT	.
C'	PRON	ce
est	AUX	être
là	ADV	là
que	SCONJ	que
votre	DET	votre
âme	NOUN	âme
s'	PRON	se
élève	VERB	élever
,	PUNCT	,
qu'	SCONJ	que
elle	PRON	lui
se	PRON	se
fortifie	VERB	fortifier
contre	ADP	contre
les	DET	le
besoins	NOUN	besoin
factices	ADJ	factice
qui	PRON	qui
désolent	VERB	désoler
les	DET	le
sociétés	NOUN	société
.	PUNCT	.
Car	CCONJ	car
tout	PRON	tout
me	PRON	me
prouve	VERB	prouve
que	SCONJ	que
l'	DET	le
homme	NOUN	homme
social	ADJ	social
est	AUX	être
puni	VERB	punir
par	ADP	par
les	DET	le
goûts	NOUN	goût
même	ADV	même
dont	PRON	dont
il	PRON	il
avait	AUX	avoir
espéré	VERB	espérer
ses	DET	son
plaisirs	NOUN	plaisir
.	PUNCT	.
Vous	PRON	vous
voilà	VERB	voilà
hors	ADP	hors
de	ADP	de
la	DET	le
tourmente	NOUN	tourmente
.	PUNCT	.
Vous	PRON	vous
n'	ADV	n'
avez	VERB	avoir
point	PRON	point
de	DET	de
liens	NOUN	lien
(	PUNCT	(
j'	PRON	je
en	PRON	en
excepte	VERB	excepte
ceux	PRON	celui
de	ADP	de
l'	DET	le
amitié	NOUN	amitié
)	PUNCT	)
qui	PRON	qui
mettent	VERB	mettre
votre	DET	votre
repos	NOUN	repos
à	ADP	à
la	DET	le
merci	NOUN	merci
des	ADP	de
autres	PRON	autre
.	PUNCT	.
Une	DET	un
fortune	NOUN	fortune
considérable	ADJ	considérable
ne	ADV	ne
vous	PRON	vous
rend	VERB	rendre
dépendant	ADJ	dépendant
des	ADP	de
hommes	NOUN	homme
que	ADV	que
par	ADP	par
le	DET	le
bien	NOUN	bien
que	PRON	que
vous	PRON	vous
aimez	VERB	aimer
à	ADP	à
leur	PRON	leur
faire	VERB	faire
.	PUNCT	.
Vos	DET	votre
vassaux	NOUN	vassal
sont	AUX	être
heureux	ADJ	heureux
.	PUNCT	.
Vous	PRON	vous
animez	VERB	animer
le	DET	le
travail	NOUN	travail
:	PUNCT	:
l'	DET	le
industrie	NOUN	industrie
naît	VERB	naître
de	ADP	de
l'	DET	le
encouragement	NOUN	encouragement
que	PRON	que
vous	PRON	vous
lui	PRON	lui
donnez	VERB	donner
.	PUNCT	.
La	DET	le
fertilité	NOUN	fertilité
des	ADP	de
campagnes	NOUN	campagne
est	AUX	être
le	DET	le
luxe	NOUN	luxe
de	ADP	de
votre	DET	votre
domaine	NOUN	domaine
;	PUNCT	;
et	CCONJ	et
votre	DET	votre
bonheur	NOUN	bonheur
est	AUX	être
,	PUNCT	,
pour	ADP	pour
ainsi	ADV	ainsi
dire	VERB	dire
,	PUNCT	,
réfléchi	VERB	réfléchir
dans	ADP	dans
tous	ADJ	tout
les	DET	le
êtres	NOUN	être
qui	PRON	qui
vous	PRON	vous
environnent	VERB	environner
.	PUNCT	.
Quelle	DET	quel
riante	ADJ	riant
perspective	NOUN	perspective
!	PUNCT	!
Mais	CCONJ	mais
plus	ADV	plus
mes	DET	mon
yeux	NOUN	oeil
m'	PRON	me
y	PRON	y
portent	VERB	porter
,	PUNCT	,
plus	ADV	plus
les	DET	le
circonstances	NOUN	circonstance
m'	PRON	me
en	PRON	en
écartent	VERB	écarter
.	PUNCT	.
Le	DET	le
calme	NOUN	calme
n'	ADV	n'
a	AUX	avoir
jamais	ADV	jamais
été	AUX	être
si	ADV	si
loin	ADV	loin
de	ADP	de
moi	PRON	moi
.	PUNCT	.
Qu'	PRON	qu'
allez	VERB	aller
-vous	PRON	vous
penser	VERB	penser
en	ADP	en
lisant	VERB	lire
ma	DET	mon
lettre	NOUN	lettre
!	PUNCT	!
Est	AUX	être
-ce	PRON	-ce
là	ADV	là
le	DET	le
ton	NOUN	ton
de	ADP	de
mon	DET	mon
âge	NOUN	âge
?	PUNCT	?
Que	PRON	que
voulez	VERB	vouloir
-vous	PRON	vous
?	PUNCT	?
Mon	DET	mon
style	NOUN	style
prend	VERB	prendre
la	DET	le
teinte	NOUN	teinte
de	ADP	de
mon	DET	mon
âme	NOUN	âme
:	PUNCT	:
cette	DET	ce
âme	NOUN	âme
,	PUNCT	,
si	ADV	si
ardente	ADJ	ardent
,	PUNCT	,
est	AUX	être
triste	ADJ	triste
,	PUNCT	,
mélancolique	ADJ	mélancolique
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
en	PRON	en
est	AUX	être
pas	ADV	pas
moins	ADV	moins
agitée	ADJ	agité
.	PUNCT	.

	SPACE	

Il	PRON	il
y	PRON	y
a	VERB	avoir
six	NUM	six
ans	NOUN	an
que	SCONJ	que
je	PRON	je
suis	AUX	être
entré	VERB	entrer
dans	ADP	dans
le	DET	le
monde	NOUN	monde
.	PUNCT	.
L'	DET	le
ardeur	NOUN	ardeur
de	ADP	de
m'	PRON	me
avancer	VERB	avancer
,	PUNCT	,
un	DET	un
goût	NOUN	goût
vif	ADJ	vif
pour	ADP	pour
le	DET	le
plaisir	NOUN	plaisir
,	PUNCT	,
l'	DET	le
effervescence	NOUN	effervescence
de	ADP	de
la	DET	le
jeunesse	NOUN	jeunesse
,	PUNCT	,
une	DET	un
imagination	NOUN	imagination
brûlante	ADJ	brûlant
,	PUNCT	,
m'	PRON	me
ont	AUX	avoir
jusqu'	ADP	jusque
ici	ADV	ici
répandu	VERB	répandre
hors	ADP	hors
de	ADP	de
moi	PRON	moi
.	PUNCT	.
Dans	ADP	dans
l'	DET	le
âge	NOUN	âge
où	PRON	où
j'	PRON	je
ai	AUX	avoir
paru	VERB	paraître
,	PUNCT	,
tout	PRON	tout
plaît	VERB	plaire
,	PUNCT	,
tout	ADV	tout
enivre	VERB	enivre
;	PUNCT	;
les	DET	le
souvenirs	NOUN	souvenir
du	ADP	de
passé	NOUN	passé
sont	AUX	être
doux	ADJ	doux
,	PUNCT	,
le	DET	le
présent	NOUN	présent
transporte	VERB	transporte
;	PUNCT	;
on	PRON	on
voit	VERB	voir
l'	DET	le
avenir	NOUN	avenir
en	ADP	en
beau	ADJ	beau
;	PUNCT	;
la	DET	le
tête	NOUN	tête
fermente	VERB	fermente
,	PUNCT	,
le	DET	le
cœur	NOUN	cœur
s'	PRON	se
allume	VERB	allume
,	PUNCT	,
on	PRON	on
vit	VERB	voir
dans	ADP	dans
un	DET	un
monde	NOUN	monde
enchanté	ADJ	enchanté
.	PUNCT	.
Heureux	ADJ	heureux
temps	NOUN	temps
où	PRON	où
l'	PRON	l'
on	PRON	on
jouit	VERB	jouir
pour	ADP	pour
jouir	VERB	jouir
encore	ADV	encore
,	PUNCT	,
où	PRON	où
les	DET	le
lueurs	NOUN	lueur
d'	ADP	de
une	DET	un
raison	NOUN	raison
momentanée	ADJ	momentané
ne	ADV	ne
montrent	VERB	montrer
que	ADV	que
les	DET	le
agrément	NOUN	agrément
de	ADP	de
la	DET	le
vie	NOUN	vie
,	PUNCT	,
sans	ADP	sans
en	PRON	en
éclairer	VERB	éclairer
les	DET	le
écueils	NOUN	écueil
!	PUNCT	!
Mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
je	PRON	je
sors	VERB	sortir
des	ADP	de
jardins	NOUN	jardin
d'	ADP	de
Armide	PROPN	Armide
,	PUNCT	,
le	DET	le
désert	NOUN	désert
était	AUX	être
au	ADP	au
bout	NOUN	bout
.	PUNCT	.

	SPACE	

Ne	ADV	ne
croyez	VERB	croire
point	ADV	point
,	PUNCT	,
encore	ADV	encore
une	DET	un
fois	NOUN	fois
,	PUNCT	,
que	SCONJ	que
cet	DET	ce
état	NOUN	état
soit	AUX	être
un	DET	un
état	NOUN	état
de	ADP	de
langueur	NOUN	langueur
:	PUNCT	:
c'	PRON	ce
est	AUX	être
au	ADP	au
contraire	NOUN	contraire
l'	DET	le
inquiétude	NOUN	inquiétude
vague	ADJ	vague
d'	ADP	de
une	DET	un
âme	NOUN	âme
avertie	VERB	avertir
d'	ADP	de
un	DET	un
plaisir	NOUN	plaisir
nouveau	ADJ	nouveau
.	PUNCT	.

	SPACE	

Je	PRON	je
n'	ADV	n'
ai	VERB	avoir
point	ADV	point
à	ADP	à
me	PRON	me
plaindre	VERB	plaindre
de	ADP	de
la	DET	le
fortune	NOUN	fortune
.	PUNCT	.
J'	PRON	je
ai	VERB	avoir
un	DET	un
régiment	NOUN	régiment
;	PUNCT	;
je	PRON	je
plais	VERB	plaire
à	ADP	à
une	PRON	un
des	ADP	de
femmes	NOUN	femme
de	ADP	de
la	DET	le
cour	NOUN	cour
dont	PRON	dont
on	PRON	on
vante	VERB	ver
le	DET	le
plus	ADV	plus
l'	DET	le
esprit	NOUN	esprit
et	CCONJ	et
la	DET	le
figure	NOUN	figure
:	PUNCT	:
son	DET	son
crédit	NOUN	crédit
augmente	VERB	augmente
de	ADP	de
jour	NOUN	jour
en	ADP	en
jour	NOUN	jour
;	PUNCT	;
ma	DET	mon
position	NOUN	position
fait	VERB	faire
des	DET	un
jaloux	NOUN	jaloux
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
me	PRON	me
rend	VERB	rendre
point	ADV	point
heureux	ADJ	heureux
.	PUNCT	.
Vous	PRON	vous
l'	PRON	l'
avouerai	VERB	avouer
-je	PRON	je
?	PUNCT	?
C'	PRON	ce
est	AUX	être
cette	DET	ce
même	ADJ	même
femme	NOUN	femme
dont	PRON	dont
le	DET	le
zèle	NOUN	zèle
m'	PRON	me
a	AUX	avoir
été	AUX	être
si	ADV	si
utile	ADJ	utile
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
d'	ADP	de
ailleurs	ADV	ailleurs
possède	VERB	posséder
tous	ADJ	tout
les	DET	le
charmes	NOUN	charme
,	PUNCT	,
toutes	ADJ	tout
les	DET	le
séductions	NOUN	séduction
,	PUNCT	,
c'	PRON	ce
est	AUX	être
elle	PRON	lui
en	ADP	en
partie	NOUN	partie
qui	PRON	qui
est	AUX	être
la	DET	le
cause	NOUN	cause
de	ADP	de
mon	DET	mon
chagrin	NOUN	chagrin
.	PUNCT	.
Vous	PRON	vous
l'	PRON	l'
avez	AUX	avoir
rencontrée	VERB	rencontrer
quelquefois	ADV	quelquefois
:	PUNCT	:
il	PRON	il
est	AUX	être
impossible	ADJ	impossible
de	ADP	de
réunir	VERB	réunir
plus	ADV	plus
d'	ADP	de
avantages	NOUN	avantage
extérieurs	ADJ	extérieur
et	CCONJ	et
de	ADP	de
moyens	NOUN	moyen
d'	ADP	de
être	AUX	être
aimable	ADJ	aimable
.	PUNCT	.
Elle	PRON	lui
a	VERB	avoir
,	PUNCT	,
pour	ADP	pour
plaire	VERB	plaire
,	PUNCT	,
des	DET	un
secrets	NOUN	secret
qui	PRON	qui
ne	ADV	ne
sont	VERB	être
qu'	ADV	qu'
à	ADP	à
elle	PRON	lui
.	PUNCT	.
Elle	PRON	lui
est	AUX	être
belle	ADJ	bel
,	PUNCT	,
et	CCONJ	et
l'	PRON	l'
on	PRON	on
serait	AUX	être
tenté	VERB	tenter
de	ADP	de
l'	PRON	l'
en	PRON	en
dispenser	VERB	dispenser
.	PUNCT	.
Elle	PRON	lui
a	VERB	avoir
tant	ADV	tant
de	ADP	de
grâce	NOUN	grâce
,	PUNCT	,
que	SCONJ	que
sa	DET	son
beauté	NOUN	beauté
lui	PRON	lui
devient	VERB	devenir
presque'	ADV	presque'
inutile	ADJ	inutile
.	PUNCT	.
Mais	CCONJ	mais
,	PUNCT	,
hélas	INTJ	héler
!	PUNCT	!
Tout	ADJ	tout
cela	PRON	cela
n'	ADV	n'
est	AUX	être
que	ADV	que
la	DET	le
magie	NOUN	magie
du	ADP	de
moment	NOUN	moment
;	PUNCT	;
le	DET	le
caractère	NOUN	caractère
est	AUX	être
celle	PRON	celui
de	ADP	de
tous	ADJ	tout
les	DET	le
jours	NOUN	jour
.	PUNCT	.
Le	DET	le
sien	PRON	sien
est	AUX	être
léger	ADJ	léger
,	PUNCT	,
superficiel	ADJ	superficiel
,	PUNCT	,
altier	ADJ	altier
.	PUNCT	.
Sa	DET	son
tête	NOUN	tête
la	PRON	le
trompe	VERB	trompe
sur	ADP	sur
les	DET	le
mouvement	NOUN	mouvement
de	ADP	de
son	DET	son
cœur	NOUN	cœur
:	PUNCT	:
Dieu	PROPN	Dieu
sait	VERB	savoir
ce	PRON	ce
qui	PRON	qui
résulte	VERB	résulte
de	ADP	de
ce	DET	ce
faux	ADJ	faux
calcul	NOUN	calcul
.	PUNCT	.
Elle	PRON	lui
est	AUX	être
jalouse	ADJ	jaloux
avec	ADP	avec
hauteur	NOUN	hauteur
,	PUNCT	,
exigeante	ADJ	exigeant
sans	ADP	sans
tendresse	NOUN	tendresse
,	PUNCT	,
capricieuse	ADJ	capricieux
à	ADP	à
un	DET	un
excès	NOUN	excès
que	PRON	que
je	PRON	je
peindrois	VERB	peindrois
mal	ADV	mal
;	PUNCT	;
et	CCONJ	et
le	DET	le
caprice	NOUN	caprice
est	AUX	être
presque	ADV	presque
toujours	ADV	toujours
chez	ADP	chez
les	DET	le
femmes	NOUN	femme
en	ADP	en
proportion	NOUN	proportion
de	ADP	de
leur	DET	leur
froideur	NOUN	froideur
.	PUNCT	.
Il	PRON	il
est	VERB	être
en	ADP	en
elles	PRON	lui
,	PUNCT	,
je	PRON	je
l'	PRON	l'
imagine	VERB	imagine
au	ADP	au
moins	ADV	moins
,	PUNCT	,
une	DET	un
espèce	NOUN	espèce
de	ADP	de
révolte	NOUN	révolte
contre	ADP	contre
la	DET	le
nature	NOUN	nature
;	PUNCT	;
elles	PRON	lui
se	PRON	se
vengent	VERB	venger
de	ADP	de
n'	ADV	n'
être	AUX	être
pas	ADV	pas
sensibles	ADJ	sensible
,	PUNCT	,
et	CCONJ	et
nous	PRON	nous
punissent	VERB	punir
de	ADP	de
ne	ADV	ne
pas	ADV	pas
réussir	VERB	réussir
à	ADP	à
leur	PRON	leur
créer	VERB	créer
un	DET	un
cœur	NOUN	cœur
.	PUNCT	.
La	DET	le
Marquise	NOUN	marquis
D'	ADP	de
Ercy	PROPN	Ercy
joint	VERB	joindre
à	ADP	à
tous	ADJ	tout
ces	DET	ce
défauts	NOUN	défaut
une	DET	un
ambition	NOUN	ambition
démesurée	ADJ	démesuré
,	PUNCT	,
qui	PRON	qui
la	PRON	le
subordonne	VERB	subordonne
en	ADP	en
quelque	DET	quelque
sorte	NOUN	sorte
à	ADP	à
toutes	ADJ	tout
les	DET	le
variations	NOUN	variation
du	ADP	de
crédit	NOUN	crédit
.	PUNCT	.
Son	DET	son
âme	NOUN	âme
,	PUNCT	,
