 	SPACE	 
AVANT-PROPOS	PROPN	AVANT-PROPOS
.	PUNCT	.

	SPACE	

Q	ADV	q
uoique	SCONJ	uoique
j'	PRON	je
aie	AUX	avoir
toujours	ADV	toujours
été	VERB	être
,	PUNCT	,
ou	CCONJ	ou
que	SCONJ	que
j'	PRON	je
aie	AUX	avoir
passé	VERB	passer
pour	ADP	pour
inconséquente	ADJ	inconséquent
,	PUNCT	,
et	CCONJ	et
même	ADV	même
folle	ADJ	fou
pendant	ADP	pendant
les	DET	le
trois	NUM	trois
premiers	ADJ	premier
quarts	NOUN	quart
de	ADP	de
ma	DET	mon
vie	NOUN	vie
,	PUNCT	,
j'	PRON	je
aime	VERB	aime
l'	DET	le
ordre	NOUN	ordre
,	PUNCT	,
à	ADP	à
présent	NOUN	présent
que	SCONJ	que
l'	DET	le
âge	NOUN	âge
m'	PRON	me
a	AUX	avoir
mûrie	VERB	mûrir
...	PUNCT	...

	SPACE	

Ainsi	ADV	ainsi
donc	ADV	donc
,	PUNCT	,
pour	ADP	pour
procéder	VERB	procéder
par	ADP	par
ordre	NOUN	ordre
,	PUNCT	,
je	PRON	je
crois	VERB	croire
devoir	VERB	devoir
,	PUNCT	,
en	ADP	en
attendant	VERB	attendre
que	SCONJ	que
je	PRON	je
sois	AUX	être
arrivée	VERB	arriver
au	ADP	au
moment	NOUN	moment
où	PRON	où
mon	DET	mon
histoire	NOUN	histoire
personnelle	ADJ	personnel
sera	AUX	être
assez	ADV	assez
intéressante	ADJ	intéressant
pour	ADP	pour
mériter	VERB	mériter
l'	DET	le
attention	NOUN	attention
du	ADP	de
lecteur	NOUN	lecteur
,	PUNCT	,
commencer	VERB	commencer
par	ADP	par
lui	PRON	lui
faire	AUX	faire
savoir	VERB	savoir
ce	PRON	ce
qu'	PRON	qu'
était	AUX	être
ma	DET	mon
tante	NOUN	tante
Geneviève	PROPN	Geneviève
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
tant	ADV	tant
par	ADP	par
son	DET	son
droit	NOUN	droit
d'	ADP	de
aînesse	NOUN	aînesse
que	SCONJ	que
par	ADP	par
l'	DET	le
influence	NOUN	influence
majeure	ADJ	majeur
que	PRON	que
son	DET	son
existence	NOUN	existence
