 	SPACE	 
AVERTISSEMENT	NOUN	avertissement
L'	DET	le
amour	NOUN	amour
,	PUNCT	,
la	DET	le
galanterie	NOUN	galanterie
et	CCONJ	et
même	ADV	même
le	DET	le
libertinage	NOUN	libertinage
ont	AUX	avoir
de	ADP	de
tous	DET	tout
temps	NOUN	temps
fait	VERB	faire
un	DET	un
article	NOUN	article
si	ADV	si
considérable	ADJ	considérable
dans	ADP	dans
la	DET	le
vie	NOUN	vie
de	ADP	de
la	DET	le
plupart	NOUN	plupart
des	ADP	de
hommes	NOUN	homme
,	PUNCT	,
et	CCONJ	et
surtout	ADV	surtout
des	ADP	de
gens	NOUN	gens
du	ADP	de
monde	NOUN	monde
,	PUNCT	,
que	SCONJ	que
l'	PRON	l'
on	PRON	on
ne	ADV	ne
connoîtrait	VERB	connoîtrer
qu'	ADV	qu'
imparfaitement	ADV	imparfaitement
les	DET	le
mœurs	NOUN	mœur
d'	ADP	de
une	DET	un
nation	NOUN	nation
,	PUNCT	,
si	SCONJ	si
l'	PRON	l'
on	PRON	on
négligeait	VERB	négliger
un	DET	un
objet	NOUN	objet
si	ADV	si
important	ADJ	important
.	PUNCT	.

	SPACE	

Des	DET	un
mémoires	NOUN	mémoire
qui	PRON	qui
me	PRON	me
sont	AUX	être
tombés	VERB	tomber
entre	ADP	entre
les	DET	le
mains	NOUN	main
,	PUNCT	,
m'	PRON	me
ont	AUX	avoir
paru	VERB	paraître
propres	ADJ	propre
à	ADP	à
donner	VERB	donner
sur	ADP	sur
cette	DET	ce
matière	NOUN	matière
une	DET	un
idée	NOUN	idée
des	ADP	de
mœurs	NOUN	mœur
actuelles	ADJ	actuel
.	PUNCT	.
Parmi	ADP	parmi
celles	PRON	celui
qu'	PRON	qu'
on	PRON	on
a	AUX	avoir
peintes	VERB	peindre
,	PUNCT	,
on	PRON	on
en	PRON	en
trouvera	VERB	trouver
quelques	PRON	quelques
-	PRON	-
unes	PRON	un
de	ADP	de
peu	ADV	peu
régulières	ADJ	régulier
;	PUNCT	;
mais	CCONJ	mais
il	PRON	il
me	PRON	me
semble	VERB	semble
que	SCONJ	que
l'	DET	le
aspect	NOUN	aspect
sous	ADP	sous
lequel	PRON	lequel
elles	PRON	lui
sont	AUX	être
présentées	VERB	présenter
est	AUX	être
aussi	ADV	aussi
favorable	ADJ	favorable
à	ADP	à
la	DET	le
morale	NOUN	morale
,	PUNCT	,
