 	SPACE	 
PRÉFACE	PROPN	PRÉFACE
.	PUNCT	.

	SPACE	

Je	PRON	je
m'	PRON	me
étais	AUX	être
décidé	VERB	décider
à	ADP	à
passer	VERB	passer
une	DET	un
partie	NOUN	partie
de	ADP	de
l'	DET	le
été	NOUN	été
dernier	ADJ	dernier
à	ADP	à
S.-O.	PROPN	S.-O.
,	PUNCT	,
village	NOUN	village
à	ADP	à
une	DET	un
lieue	NOUN	lieue
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
où	PRON	où
j'	PRON	je
avais	VERB	avoir
,	PUNCT	,
depuis	ADP	depuis
quatre	NUM	quatre
ans	NOUN	an
,	PUNCT	,
une	DET	un
petite	ADJ	petit
habitation	NOUN	habitation
champêtre	ADJ	champêtre
.	PUNCT	.
J'	PRON	je
y	PRON	y
faisais	VERB	faire
ma	DET	mon
Cœlina	PROPN	Cœlina
,	PUNCT	,
ou	CCONJ	ou
l	DET	l
'	DET	'
Enfant	NOUN	enfant
du	ADP	de
Mystère	PROPN	Mystère
,	PUNCT	,
roman	NOUN	roman
en	ADP	en
six	NUM	six
volumes	NOUN	volume
,	PUNCT	,
qui	PRON	qui
a	AUX	avoir
paru	VERB	paraître
cet	DET	ce
hiver	NOUN	hiver
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
lequel	PRON	lequel
le	DET	le
Public	NOUN	public
a	AUX	avoir
daigné	VERB	daigner
montrer	VERB	montrer
autant	ADV	autant
d'	ADP	de
indulgence	NOUN	indulgence
que	SCONJ	que
pour	ADP	pour
mes	DET	mon
premiers	ADJ	premier
ouvrages	NOUN	ouvrage
:	PUNCT	:
j'	PRON	je
y	PRON	y
vivais	VERB	vivre
heureux	ADJ	heureux
,	PUNCT	,
tranquille	ADJ	tranquille
,	PUNCT	,
près	ADV	près
d'	ADP	de
une	DET	un
compagne	NOUN	compagne
estimable	ADJ	estimable
que	PRON	que
je	PRON	je
chéris	VERB	chérir
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
le	DET	le
sein	NOUN	sein
d'	ADP	de
une	DET	un
société	NOUN	société
agréable	ADJ	agréable
d'	ADP	de
amis	NOUN	ami
francs	ADJ	franc
,	PUNCT	,
bons	ADJ	bon
,	PUNCT	,
sincères	ADJ	sincère
,	PUNCT	,
aimant	VERB	aimer
les	DET	le
arts	NOUN	art
,	PUNCT	,
artistes	NOUN	artiste
eux	PRON	lui
-	PRON	-
mêmes	PRON	même
.	PUNCT	.
Quel	DET	quel
agréable	ADJ	agréable
séjour	NOUN	séjour
!	PUNCT	!
je	PRON	je
ne	ADV	ne
me	PRON	me
le	PRON	le
rappellerai	VERB	rappeler
jamais	ADV	jamais
,	PUNCT	,
que	SCONJ	que
des	DET	un
larmes	NOUN	larme
de	ADP	de
sensibilité	NOUN	sensibilité
ne	ADV	ne
viennent	VERB	venir
humecter	VERB	humecter
mes	DET	mon
paupières	NOUN	paupière
:	PUNCT	:
mes	DET	mon
yeux	NOUN	oeil
verront	VERB	voir
sans	ADP	sans
cesse	NOUN	cesse
ces	DET	ce
bords	NOUN	bord
fleuris	ADJ	fleuri
de	ADP	de
la	DET	le
Seine	PROPN	Seine
,	PUNCT	,
ces	DET	ce
points	NOUN	point
de	ADP	de
vue	NOUN	vue
étendus	ADJ	étendu
,	PUNCT	,
variés	ADJ	varier
,	PUNCT	,
entrecoupés	VERB	entrecouper
par	ADP	par
des	DET	un
montagnes	NOUN	montagne
,	PUNCT	,
des	DET	un
coteaux	NOUN	coteau
boisés	ADJ	boisé
,	PUNCT	,
des	DET	un
villages	NOUN	village
,	PUNCT	,
des	DET	un
hameaux	NOUN	hameau
qui	PRON	qui
paraissent	VERB	paraître
offrir	VERB	offrir
des	DET	un
bouquets	NOUN	bouquet
de	ADP	de
chaumières	NOUN	chaumière
au	ADP	au
milieu	NOUN	milieu
d'	ADP	de
une	DET	un
plaine	NOUN	plaine
cultivée	ADJ	cultivé
,	PUNCT	,
et	CCONJ	et
présentent	VERB	présenter
aux	ADP	à
regards	NOUN	regard
surpris	VERB	surprendre
mille	NUM	mille
nuances	NOUN	nuance
diverses	ADJ	divers
de	ADP	de
verdure	NOUN	verdure
et	CCONJ	et
de	ADP	de
légumes	NOUN	légume
nourriciers	ADJ	nourricier
.	PUNCT	.
Je	PRON	je
me	PRON	me
transporterai	VERB	transporter
toujours	ADV	toujours
en	ADP	en
idée	NOUN	idée
dans	ADP	dans
ce	DET	ce
parc	NOUN	parc
champêtre	ADJ	champêtre
ensemble	ADV	ensemble
,	PUNCT	,
et	CCONJ	et
soumis	VERB	soumettre
aux	ADP	à
nivellemens	NOUN	nivellemen
de	ADP	de
l'	DET	le
art	NOUN	art
;	PUNCT	;
dans	ADP	dans
ce	DET	ce
parc	NOUN	parc
,	PUNCT	,
asile	NOUN	asile
d'	ADP	de
un	DET	un
philosophe	NOUN	philosophe
,	PUNCT	,
d'	ADP	de
un	DET	un
ami	NOUN	ami
de	ADP	de
la	DET	le
nature	NOUN	nature
,	PUNCT	,
où	PRON	où
l'	DET	le
ombre	NOUN	ombre
de	ADP	de
La	DET	le
Fontaine	PROPN	Fontaine
souriait	VERB	sourire
sans	ADP	sans
doute	NOUN	doute
à	ADP	à
Mancini	PROPN	Mancini
-	PUNCT	-
Nivernois	PROPN	Nivernois
,	PUNCT	,
composant	VERB	composer
,	PUNCT	,
écrivant	VERB	écrire
ses	DET	son
fables	NOUN	fable
dans	ADP	dans
un	DET	un
bosquet	NOUN	bosquet
de	ADP	de
jeunes	ADJ	jeune
châtaigniers	NOUN	châtaignier
.	PUNCT	.
Je	PRON	je
mesurerai	VERB	mesurer
,	PUNCT	,
avec	ADP	avec
l'	DET	le
œil	NOUN	œil
pensif	ADJ	pensif
du	ADP	de
publiciste	NOUN	publiciste
,	PUNCT	,
la	DET	le
hauteur	NOUN	hauteur
des	ADP	de
arbres	NOUN	arbre
touffus	ADJ	touffu
qui	PRON	qui
décorent	VERB	décorer
le	DET	le
parc	NOUN	parc
de	ADP	de
Necker	PROPN	Necker
,	PUNCT	,
de	ADP	de
ce	DET	ce
financier	ADJ	financier
Genevois	PROPN	Genevois
à	ADP	à
qui	PRON	qui
l'	DET	le
Europe	PROPN	Europe
doit	VERB	devoir
tant	ADV	tant
de	ADP	de
grands	ADJ	grand
changement	NOUN	changement
;	PUNCT	;
je	PRON	je
penserai	VERB	penser
souvent	ADV	souvent
,	PUNCT	,
en	ADP	en
un	DET	un
mot	NOUN	mot
,	PUNCT	,
aux	ADP	à
soirées	NOUN	soirée
délicieuses	ADJ	délicieux
que	PRON	que
je	PRON	je
passais	VERB	passer
dans	ADP	dans
mon	DET	mon
petit	ADJ	petit
jardin	NOUN	jardin
,	PUNCT	,
assis	VERB	asseoir
sur	ADP	sur
un	DET	un
gazon	NOUN	gazon
,	PUNCT	,
au	ADP	au
clair	NOUN	clair
de	ADP	de
la	DET	le
lune	NOUN	lune
,	PUNCT	,
et	CCONJ	et
voyageant	VERB	voyager
avec	ADP	avec
ma	DET	mon
Cœlina	PROPN	Cœlina
dans	ADP	dans
les	DET	le
glaciers	NOUN	glacier
brumeux	ADJ	brumeux
de	ADP	de
la	DET	le
Savoie	PROPN	Savoie
.	PUNCT	.

	SPACE	

Qu'	SCONJ	que
elles	PRON	lui
sont	AUX	être
touchantes	ADJ	touchant
les	DET	le
occupations	NOUN	occupation
de	ADP	de
l'	DET	le
homme	NOUN	homme
de	ADP	de
lettres	NOUN	lettre
!	PUNCT	!
comme	SCONJ	comme
elles	PRON	lui
agrandissent	VERB	agrandir
son	DET	son
être	NOUN	être
!	PUNCT	!
comme	SCONJ	comme
elles	PRON	lui
l'	PRON	l'
élèvent	VERB	élever
au-dessus	ADV	au-dessus
de	ADP	de
cette	DET	ce
terre	NOUN	terre
qu'	PRON	qu'
il	PRON	il
habite	VERB	habite
!	PUNCT	!
Sa	DET	son
pensée	NOUN	pensée
mesure	VERB	mesure
les	DET	le
cieux	NOUN	ciel
et	CCONJ	et
la	DET	le
terre	NOUN	terre
;	PUNCT	;
elle	PRON	lui
le	PRON	le
fait	AUX	faire
errer	VERB	errer
dans	ADP	dans
les	DET	le
diverses	ADJ	divers
contrées	NOUN	contrée
habitées	VERB	habiter
ou	CCONJ	ou
non	ADV	non
de	ADP	de
ce	DET	ce
globe	NOUN	globe
immense	ADJ	immense
:	PUNCT	:
avec	ADP	avec
elle	PRON	lui
,	PUNCT	,
sans	ADP	sans
quitter	VERB	quitter
son	DET	son
manoir	NOUN	manoir
agreste	ADJ	agreste
,	PUNCT	,
il	PRON	il
gravit	VERB	gravir
les	DET	le
sommités	NOUN	sommité
du	ADP	de
Mont-Blanc	PROPN	Mont-Blanc
;	PUNCT	;
il	PRON	il
visite	VERB	visite
tous	ADJ	tout
les	DET	le
peuples	NOUN	peuple
;	PUNCT	;
il	PRON	il
converse	VERB	converse
avec	ADP	avec
le	DET	le
pêcheur	NOUN	pêcheur
Indien	ADJ	indien
dans	ADP	dans
son	DET	son
humble	ADJ	humble
case	NOUN	case
,	PUNCT	,
où	PRON	où
il	PRON	il
foule	VERB	foule
aux	ADP	à
pieds	NOUN	pied
les	DET	le
tapis	NOUN	tapis
luxueux	ADJ	luxueux
des	ADP	de
despotes	NOUN	despote
de	ADP	de
l'	DET	le
Asie	PROPN	Asie
.	PUNCT	.
Libre	ADJ	libre
de	ADP	de
son	DET	son
essor	NOUN	essor
,	PUNCT	,
il	PRON	il
le	PRON	le
dirige	VERB	diriger
où	PRON	où
il	PRON	il
lui	PRON	lui
plaît	VERB	plaire
,	PUNCT	,
et	CCONJ	et
il	PRON	il
quitte	VERB	quitte
à	ADP	à
son	DET	son
gré	NOUN	gré
les	DET	le
empires	NOUN	empire
où	PRON	où
il	PRON	il
ne	ADV	ne
se	PRON	se
trouve	VERB	trouve
pas	ADV	pas
bien	ADV	bien
.	PUNCT	.
Oh	ADV	oh
!	PUNCT	!
combien	ADV	combien
il	PRON	il
a	AUX	avoir
vu	VERB	voir
de	DET	de
choses	NOUN	chose
,	PUNCT	,
quand	SCONJ	quand
il	PRON	il
quitte	VERB	quitte
son	DET	son
jardin	NOUN	jardin
pour	ADP	pour
s'	PRON	se
asseoir	VERB	asseoir
à	ADP	à
la	DET	le
table	NOUN	table
frugale	ADJ	frugal
de	ADP	de
sa	DET	son
compagne	NOUN	compagne
!	PUNCT	!
comme	SCONJ	comme
il	PRON	il
a	AUX	avoir
voyagé	VERB	voyager
!	PUNCT	!
...	PUNCT	...

	SPACE	

Oublierai	VERB	oublier
-je	PRON	je
jamais	ADV	jamais
ces	DET	ce
bons	ADJ	bon
amis	NOUN	ami
,	PUNCT	,
le	DET	le
citoyen	NOUN	citoyen
B	PROPN	B
.......	PROPN	.......
,	PUNCT	,
son	DET	son
épouse	NOUN	épouse
,	PUNCT	,
leurs	DET	leur
aimables	ADJ	aimable
enfants	NOUN	enfant
,	PUNCT	,
cette	DET	ce
société	NOUN	société
intéressante	ADJ	intéressant
d'	ADP	de
artistes	NOUN	artiste
,	PUNCT	,
se	PRON	se
réunissant	VERB	réunir
,	PUNCT	,
dans	ADP	dans
les	DET	le
longues	ADJ	long
soirées	NOUN	soirée
d'	ADP	de
automne	NOUN	automne
,	PUNCT	,
pour	ADP	pour
se	PRON	se
livrer	VERB	livrer
aux	ADP	à
jeux	NOUN	jeu
d'	ADP	de
Euterpe	PROPN	Euterpe
ou	CCONJ	ou
de	ADP	de
Terpsicore	PROPN	Terpsicore
?	PUNCT	?
et	CCONJ	et
ne	ADV	ne
me	PRON	me
verrai	VERB	voir
-je	PRON	je
pas	ADV	pas
sans	ADP	sans
cesse	NOUN	cesse
près	ADV	près
d'	ADP	de
eux	PRON	lui
,	PUNCT	,
assis	VERB	asseoir
sous	ADP	sous
le	DET	le
mystérieux	ADJ	mystérieux
acacia	NOUN	acacia
,	PUNCT	,
ou	CCONJ	ou
respirant	VERB	respirer
le	DET	le
soir	NOUN	soir
la	DET	le
douce	ADJ	doux
odeur	NOUN	odeur
des	ADP	de
fleurs	NOUN	fleur
,	PUNCT	,
le	DET	le
long	ADV	long
d'	ADP	de
une	DET	un
terrasse	NOUN	terrasse
qui	PRON	qui
domine	VERB	domine
sur	ADP	sur
la	DET	le
rivière	NOUN	rivière
?	PUNCT	?
Etres	NOUN	etre
bons	ADJ	bon
et	CCONJ	et
sensibles	ADJ	sensible
,	PUNCT	,
recevez	VERB	recevoir
ici	ADV	ici
le	DET	le
tribut	NOUN	tribut
de	ADP	de
reconnaissance	NOUN	reconnaissance
de	ADP	de
l'	DET	le
amitié	NOUN	amitié
,	PUNCT	,
et	CCONJ	et
faites	AUX	faire
-moi	PRON	moi
