 	SPACE	 
Tome	NOUN	tome
1	NUM	1
Un	DET	un
mot	NOUN	mot
au	ADP	au
lecteur	NOUN	lecteur
Tome	NOUN	tome
premier	ADJ	premier
Qui	PRON	qui
le	PRON	le
consolera	VERB	consoler
,	PUNCT	,
l'	DET	le
infortuné	NOUN	infortuné
?	PUNCT	?
....	PUNCT	....
Sa	DET	son
vertu	NOUN	vertu
!	PUNCT	!

	SPACE	

Un	DET	un
mot	NOUN	mot
au	ADP	au
lecteur	NOUN	lecteur
Prouver	VERB	prouver
que	SCONJ	que
la	DET	le
vertu	NOUN	vertu
est	AUX	être
supérieure	ADJ	supérieur
à	ADP	à
tous	ADJ	tout
les	DET	le
événements	NOUN	événement
;	PUNCT	;
qu'	SCONJ	que
elle	PRON	lui
sait	VERB	savoir
braver	VERB	braver
les	DET	le
coups	NOUN	coup
du	ADP	de
sort	NOUN	sort
,	PUNCT	,
et	CCONJ	et
ceux	PRON	celui
de	ADP	de
la	DET	le
méchanceté	NOUN	méchanceté
des	ADP	de
hommes	NOUN	homme
;	PUNCT	;
qu'	SCONJ	que
elle	PRON	lui
est	AUX	être
toujours	ADV	toujours
grande	ADJ	grand
,	PUNCT	,
toujours	ADV	toujours
sublime	ADJ	sublime
,	PUNCT	,
même	ADV	même
quand	SCONJ	quand
elle	PRON	lui
a	VERB	avoir
le	DET	le
malheur	NOUN	malheur
de	ADP	de
succomber	VERB	succomber
sous	ADP	sous
les	DET	le
efforts	NOUN	effort
du	ADP	de
vice	NOUN	vice
,	PUNCT	,
tel	ADJ	tel
est	AUX	être
le	DET	le
but	NOUN	but
moral	ADJ	moral
que	PRON	que
s'	PRON	se
est	AUX	être
prescrit	VERB	prescrire
l'	DET	le
Auteur	NOUN	auteur
.	PUNCT	.
Si	SCONJ	si
son	DET	son
Victor	PROPN	Victor
intéresse	VERB	intéresse
,	PUNCT	,
s'	SCONJ	s'
il	PRON	il
fournit	VERB	fournir
quelques	DET	quelque
méditations	NOUN	méditation
,	PUNCT	,
quelques	DET	quelque
rêveries	NOUN	rêverie
touchantes	ADJ	touchant
au	ADP	au
philosophe	NOUN	philosophe
,	PUNCT	,
à	ADP	à
l'	DET	le
ami	NOUN	ami
de	ADP	de
l'	DET	le
humanité	NOUN	humanité
;	PUNCT	;
si	SCONJ	si
son	DET	son
plan	NOUN	plan
est	AUX	être
senti	VERB	sentir
enfin	ADV	enfin
par	ADP	par
ceux	PRON	celui
qui	PRON	qui
lisent	VERB	lire
avec	ADP	avec
attention	NOUN	attention
,	PUNCT	,
qui	PRON	qui
cherchent	VERB	chercher
toujours	ADV	toujours
le	DET	le
fruit	NOUN	fruit
sous	ADP	sous
les	DET	le
fleurs	NOUN	fleur
,	PUNCT	,
il	PRON	il
sera	AUX	être
bien	ADV	bien
récompensé	VERB	récompenser
d'	ADP	de
avoir	AUX	avoir
entrepris	VERB	entreprendre
cet	DET	ce
Ouvrage	NOUN	ouvrage
,	PUNCT	,
qu'	PRON	qu'
on	PRON	on
trouvera	VERB	trouver
d'	ADP	de
ailleurs	ADV	ailleurs
bizarre	ADJ	bizarre
,	PUNCT	,
romanesque	ADJ	romanesque
,	PUNCT	,
extraordinaire	ADJ	extraordinaire
,	PUNCT	,
invraisemblable	ADJ	invraisemblable
,	PUNCT	,
tout	ADJ	tout
ce	PRON	ce
que	PRON	que
l'	PRON	l'
on	PRON	on
voudra	VERB	vouloir
.	PUNCT	.

	SPACE	

Chapitre	NOUN	chapitre
1	NUM	1
La	DET	le
veuve	NOUN	veuve
et	CCONJ	et
l'	DET	le
orphelin	NOUN	orphelin
.	PUNCT	.

	SPACE	

Minuit	NOUN	minuit
sonne	VERB	sonne
!	PUNCT	!
....	PUNCT	....
Un	DET	un
silence	NOUN	silence
religieux	ADJ	religieux
succède	VERB	succéder
au	ADP	au
tumulte	NOUN	tumulte
des	ADP	de
villes	NOUN	ville
,	PUNCT	,
au	ADP	au
hennissement	NOUN	hennissement
des	ADP	de
chevaux	NOUN	cheval
,	PUNCT	,
aux	ADP	à
chants	NOUN	chant
joyeux	ADJ	joyeux
des	ADP	de
agriculteurs	NOUN	agriculteur
....	PUNCT	....
Le	DET	le
sommeil	NOUN	sommeil
appesantit	VERB	appesantir
ses	DET	son
ailes	NOUN	aile
noires	ADJ	noir
sur	ADP	sur
la	DET	le
surface	NOUN	surface
de	ADP	de
notre	DET	notre
hémisphère	NOUN	hémisphère
:	PUNCT	:
il	PRON	il
en	PRON	en
secoue	VERB	secoue
les	DET	le
pavots	NOUN	pavot
et	CCONJ	et
les	DET	le
songes	NOUN	songe
;	PUNCT	;
les	DET	le
songes	NOUN	songe
!	PUNCT	!
....	PUNCT	....
qui	PRON	qui
ne	ADV	ne
font	VERB	faire
souvent	ADV	souvent
que	ADV	que
prolonger	VERB	prolonger
les	DET	le
peines	NOUN	peine
de	ADP	de
l'	DET	le
infortuné	NOUN	infortuné
,	PUNCT	,
tandis	ADV	tandis
qu'	SCONJ	que
ils	PRON	il
rappellent	VERB	rappeler
à	ADP	à
l'	DET	le
homme	NOUN	homme
heureux	ADJ	heureux
les	DET	le
images	NOUN	image
riantes	ADJ	riant
dont	PRON	dont
il	PRON	il
a	AUX	avoir
joui	VERB	jouir
dans	ADP	dans
la	DET	le
journée	NOUN	journée
.	PUNCT	.
C'	PRON	ce
est	AUX	être
le	DET	le
moment	NOUN	moment
du	ADP	de
repos	NOUN	repos
pour	ADP	pour
tous	ADJ	tout
les	DET	le
mortels	NOUN	mortel
;	PUNCT	;
c'	PRON	ce
est	AUX	être
le	DET	le
moment	NOUN	moment
de	ADP	de
la	DET	le
douleur	NOUN	douleur
pour	ADP	pour
le	DET	le
jeune	ADJ	jeune
Victor	PROPN	Victor
.	PUNCT	.

	SPACE	

Il	PRON	il
est	VERB	être
seul	ADJ	seul
dans	ADP	dans
son	DET	son
appartement	NOUN	appartement
,	PUNCT	,
l'	DET	le
intéressant	ADJ	intéressant
Victor	PROPN	Victor
.	PUNCT	.
Les	DET	le
deux	NUM	deux
coudes	NOUN	coude
appuyés	VERB	appuyer
sur	ADP	sur
sa	DET	son
fenêtre	NOUN	fenêtre
,	PUNCT	,
sa	DET	son
tête	NOUN	tête
enfoncée	VERB	enfoncer
dans	ADP	dans
ses	DET	son
mains	NOUN	main
,	PUNCT	,
il	PRON	il
se	PRON	se
livre	VERB	livre
aux	ADP	à
plus	ADV	plus
tristes	ADJ	triste
réflexions	NOUN	réflexion
.	PUNCT	.
La	DET	le
lune	NOUN	lune
éclaire	VERB	éclaire
la	DET	le
campagne	NOUN	campagne
:	PUNCT	:
elle	PRON	lui
réfléchit	VERB	réfléchir
son	DET	son
disque	NOUN	disque
argenté	ADJ	argenté
dans	ADP	dans
l'	DET	le
eau	NOUN	eau
limpide	ADJ	limpide
du	ADP	de
canal	NOUN	canal
qui	PRON	qui
entoure	VERB	entoure
le	DET	le
château	NOUN	château
de	ADP	de
Fritzierne	PROPN	Fritzierne
;	PUNCT	;
un	DET	un
léger	ADJ	léger
zéphyr	NOUN	zéphyr
balance	VERB	balancer
mollement	ADV	mollement
la	DET	le
cime	NOUN	cime
des	ADP	de
arbres	NOUN	arbre
:	PUNCT	:
les	DET	le
rossignols	NOUN	rossignol
,	PUNCT	,
les	DET	le
fauvettes	NOUN	fauvette
,	PUNCT	,
tous	ADJ	tout
ces	DET	ce
Orphées	NOUN	orphée
des	ADP	de
bois	NOUN	bois
sont	AUX	être
endormis	VERB	endormir
;	PUNCT	;
le	DET	le
cri	NOUN	cri
lugubre	ADJ	lugubre
de	ADP	de
l'	DET	le
oiseau	NOUN	oiseau
de	ADP	de
Minerve	PROPN	Minerve
trouble	VERB	trouble
seul	ADJ	seul
la	DET	le
tranquillité	NOUN	tranquillité
dont	PRON	dont
veut	VERB	vouloir
jouir	VERB	jouir
la	DET	le
nature	NOUN	nature
;	PUNCT	;
tout	PRON	tout
dispose	VERB	dispose
à	ADP	à
la	DET	le
mélancolie	NOUN	mélancolie
,	PUNCT	,
tout	PRON	tout
invite	VERB	invite
au	ADP	au
recueillement	NOUN	recueillement
.	PUNCT	.

	SPACE	

Victor	PROPN	Victor
,	PUNCT	,
occupé	VERB	occuper
de	ADP	de
mille	NUM	mille
pensers	NOUN	penser
divers	ADJ	divers
,	PUNCT	,
fixe	VERB	fixe
ses	DET	son
regards	NOUN	regard
distraits	ADJ	distrait
sur	ADP	sur
les	DET	le
objets	NOUN	objet
qui	PRON	qui
l'	PRON	l'
environnent	VERB	environner
:	PUNCT	:
il	PRON	il
regarde	VERB	regarde
tout	PRON	tout
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
voit	VERB	voir
rien	PRON	rien
;	PUNCT	;
il	PRON	il
pense	VERB	pense
à	ADP	à
mille	NUM	mille
choses	NOUN	chose
,	PUNCT	,
et	CCONJ	et
n'	ADV	n'
a	VERB	avoir
pas	ADV	pas
une	DET	un
seule	ADJ	seul
idée	NOUN	idée
.	PUNCT	.
Ses	DET	son
yeux	NOUN	oeil
sont	AUX	être
humides	ADJ	humide
de	ADP	de
larmes	NOUN	larme
que	SCONJ	que
ses	DET	son
paupières	NOUN	paupière
,	PUNCT	,
immobiles	ADJ	immobile
,	PUNCT	,
n'	ADV	n'
expriment	VERB	exprimer
point	ADV	point
de	ADP	de
ses	DET	son
yeux	NOUN	oeil
.	PUNCT	.

	SPACE	

Son	DET	son
cœur	NOUN	cœur
bat	VERB	battre
,	PUNCT	,
ses	DET	son
genoux	NOUN	genou
fléchissent	VERB	fléchir
;	PUNCT	;
il	PRON	il
semble	VERB	semble
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
puisse	VERB	pouvoir
plus	ADV	plus
se	PRON	se
soutenir	VERB	soutenir
,	PUNCT	,
et	CCONJ	et
voilà	VERB	voilà
plus	ADV	plus
d'	ADP	de
une	DET	un
heure	NOUN	heure
qu'	SCONJ	que
il	PRON	il
est	VERB	être
dans	ADP	dans
la	DET	le
même	ADJ	même
position	NOUN	position
!	PUNCT	!
....	PUNCT	....
Un	DET	un
léger	ADJ	léger
nuage	NOUN	nuage
cependant	ADV	cependant
obscurcit	VERB	obscurcir
le	DET	le
disque	NOUN	disque
