 	SPACE	 
CHAPITRE	NOUN	chapitre
1	NUM	1
Introduction	NOUN	introduction
;	PUNCT	;
-	PUNCT	-
généalogie	NOUN	généalogie
.	PUNCT	.
-arrivée	NOUN	-arrivée
à	ADP	à
la	DET	le
flèche	NOUN	flèche
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
qui	PRON	qui
s	PRON	s
'	PRON	'
y	PRON	y
passa	VERB	passer
.	PUNCT	.
Lecteur	NOUN	lecteur
,	PUNCT	,
tu	PRON	tu
vas	VERB	aller
lire	VERB	lire
l	DET	l
'	DET	'
histoire	NOUN	histoire
de	ADP	de
mon	DET	mon
compère	NOUN	compère
Mathieu	PROPN	Mathieu
,	PUNCT	,
la	DET	le
mienne	PRON	mienne
,	PUNCT	,
et	CCONJ	et
celle	PRON	celui
de	ADP	de
quelques	DET	quelque
autres	ADJ	autre
personnages	NOUN	personnage
fameux	ADJ	fameux
par	ADP	par
les	DET	le
différentes	ADJ	différent
aventures	NOUN	aventure
de	ADP	de
leur	DET	leur
vie	NOUN	vie
.	PUNCT	.
Si	SCONJ	si
tu	PRON	tu
ne	ADV	ne
t	PRON	t
'	PRON	'
intéressais	VERB	intéresser
qu	ADV	qu
'	ADV	'
au	ADP	au
sort	NOUN	sort
de	ADP	de
ceux	PRON	celui
qui	PRON	qui
,	PUNCT	,
grâce	NOUN	grâce
aux	DET	aux
vertus	NOUN	vertu
de	ADP	de
quelques	DET	quelque
ancêtres	NOUN	ancêtre
illustres	ADJ	illustre
,	PUNCT	,
portent	VERB	porter
un	DET	un
nom	NOUN	nom
respectable	ADJ	respectable
dans	ADP	dans
le	DET	le
monde	NOUN	monde
,	PUNCT	,
je	PRON	je
te	PRON	te
dirais	VERB	dire
que	SCONJ	que
nous	PRON	nous
comptons	VERB	compter
parmi	ADP	parmi
nos	DET	notre
aïeux	NOUN	aïeul
des	ADP	de
Tancrède	PROPN	Tancrède
et	CCONJ	et
des	ADP	de
Bayard	PROPN	Bayard
;	PUNCT	;
mais	CCONJ	mais
si	SCONJ	si
tu	PRON	tu
regardes	VERB	regarder
tous	ADJ	tout
les	DET	le
hommes	NOUN	homme
pétris	VERB	pétrir
du	ADP	de
même	ADJ	même
morceau	NOUN	morceau
de	ADP	de
boue	NOUN	boue
,	PUNCT	,
et	CCONJ	et
tous	ADJ	tout
également	ADV	également
dignes	ADJ	digne
de	ADP	de
ton	DET	ton
attention	NOUN	attention
,	PUNCT	,
je	PRON	je
ne	ADV	ne
t	PRON	t
'	PRON	'
en	PRON	en
imposerai	VERB	imposer
pas	ADV	pas
;	PUNCT	;
je	PRON	je
t	PRON	t
'	PRON	'
avouerai	VERB	avouer
franchement	ADV	franchement
qui	PRON	qui
nous	PRON	nous
sommes	VERB	être
;	PUNCT	;
je	PRON	je
ne	ADV	ne
te	PRON	te
déguiserai	VERB	déguiser
aucun	PRON	aucun
de	ADP	de
cette	DET	ce
multitude	NOUN	multitude
d	ADP	d
'	ADP	'
événements	NOUN	événement
singuliers	ADJ	singulier
quinous	PRON	quinous
touchent	VERB	toucher
,	PUNCT	,
et	CCONJ	et
dont	PRON	dont
cette	DET	ce
histoire	NOUN	histoire
est	AUX	être
remplie	VERB	remplir
.	PUNCT	.
Tu	PRON	tu
me	PRON	me
reprocheras	VERB	reprocher
peut-être	ADV	peut-être
qu	SCONJ	qu
'	SCONJ	'
il	PRON	il
n	ADV	n
'	ADV	'
y	PRON	y
a	VERB	avoir
ni	CCONJ	ni
plan	NOUN	plan
ni	CCONJ	ni
méthode	NOUN	méthode
dans	ADP	dans
cet	DET	ce
ouvrage	NOUN	ouvrage
;	PUNCT	;
que	SCONJ	que
ce	PRON	ce
n	ADV	n
'	ADV	'
est	AUX	être
qu	ADV	qu
'	ADV	'
une	DET	un
rapsodie	NOUN	rapsodie
d	ADP	d
'	ADP	'
aventures	NOUN	aventure
sans	ADP	sans
rapports	NOUN	rapport
,	PUNCT	,
sans	ADP	sans
liaisons	NOUN	liaison
,	PUNCT	,
sans	ADP	sans
suite	NOUN	suite
;	PUNCT	;
que	SCONJ	que
mon	DET	mon
style	NOUN	style
est	AUX	être
tantôt	CCONJ	tantôt
trop	ADV	trop
verbeux	ADJ	verbeux
,	PUNCT	,
tantôt	CCONJ	tantôt
trop	ADV	trop
laconique	ADJ	laconique
,	PUNCT	,
tantôt	CCONJ	tantôt
trop	ADV	trop
égal	ADJ	égal
,	PUNCT	,
tantôt	CCONJ	tantôt
raboteux	ADJ	raboteux
,	PUNCT	,
tantôt	CCONJ	tantôt
noble	ADJ	noble
et	CCONJ	et
élevé	ADJ	élevé
,	PUNCT	,
tantôt	CCONJ	tantôt
plat	ADJ	plat
et	CCONJ	et
trivial	ADJ	trivial
.	PUNCT	.
-quant	ADV	-quant
aux	ADP	à
deux	NUM	deux
premiers	ADJ	premier
articles	NOUN	article
,	PUNCT	,
je	PRON	je
te	PRON	te
répondrai	VERB	répondre
que	SCONJ	que
je	PRON	je
n	ADV	n
'	PUNCT	'
ai	AUX	avoir
pu	VERB	pouvoir
décrire	VERB	décrire
les	DET	le
événements	NOUN	événement
dont	PRON	dont
il	PRON	il
est	AUX	être
question	NOUN	question
que	SCONJ	que
dans	ADP	dans
leur	DET	leur
ordre	NOUN	ordre
naturel	ADJ	naturel
,	PUNCT	,
ni	CCONJ	ni
avec	ADP	avec
d	DET	d
'	DET	'
autres	ADJ	autre
circonstances	NOUN	circonstance
que	SCONJ	que
celles	PRON	celui
qui	PRON	qui
les	PRON	le
ont	AUX	avoir
accompagnées	VERB	accompagner
.	PUNCT	.
Quant	ADV	quant
à	ADP	à
mon	DET	mon
style	NOUN	style
,	PUNCT	,
je	PRON	je
l	PRON	l
'	PRON	'
abandonne	VERB	abandonne
à	ADP	à
tout	ADJ	tout
ce	PRON	ce
que	PRON	que
tu	PRON	tu
pourras	VERB	pouvoir
en	PRON	en
penser	VERB	penser
.	PUNCT	.
J	PRON	j
'	PRON	'
ai	AUX	avoir
toujours	ADV	toujours
été	AUX	être
un	DET	un
ignorant	NOUN	ignorant
,	PUNCT	,
et	CCONJ	et
je	PRON	je
le	PRON	le
serai	VERB	être
vraisemblablement	ADV	vraisemblablement
toute	ADJ	tout
ma	DET	mon
vie	NOUN	vie
.	PUNCT	.
Mon	DET	mon
compère	NOUN	compère
Mathieu	PROPN	Mathieu
et	CCONJ	et
moi	PRON	moi
naquîmes	VERB	naître
à	ADP	à
Domfront	PROPN	Domfront
,	PUNCT	,
petite	ADJ	petit
ville	NOUN	ville
de	ADP	de
Normandie	PROPN	Normandie
,	PUNCT	,
le	DET	le
premier	ADJ	premier
dimanche	NOUN	dimanche
d	ADP	d
'	ADP	'
août	NOUN	août
1709	NUM	1709
.	PUNCT	.
Son	DET	son
père	NOUN	père
et	CCONJ	et
le	DET	le
mien	PRON	mien
étaient	AUX	être
cordonniers	NOUN	cordonnier
,	PUNCT	,
mais	CCONJ	mais
de	ADP	de
ces	DET	ce
cordonniers	NOUN	cordonnier
aisés	ADJ	aisé
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
sans	ADP	sans
se	PRON	se
reposer	VERB	reposer
uniquement	ADV	uniquement
sur	ADP	sur
le	DET	le
revenu	NOUN	revenu
d	ADP	d
'	ADP	'
un	DET	un
métier	NOUN	métier
,	PUNCT	,
trouvent	VERB	trouver
,	PUNCT	,
par	ADP	par
quelque	DET	quelque
industrie	NOUN	industrie
secrète	ADJ	secret
et	CCONJ	et
particulière	ADJ	particulier
,	PUNCT	,
le	DET	le
moyen	NOUN	moyen
de	ADP	de
fournir	VERB	fournir
amplementà	ADP	amplementà
la	DET	le
dépense	NOUN	dépense
du	ADP	de
ménage	NOUN	ménage
,	PUNCT	,
et	CCONJ	et
de	ADP	de
donner	VERB	donner
une	DET	un
éducation	NOUN	éducation
honnête	ADJ	honnête
à	ADP	à
leurs	DET	leur
enfants	NOUN	enfant
.	PUNCT	.
Lorsque	SCONJ	lorsque
nous	PRON	nous
eûmes	VERB	avoir
atteint	VERB	atteindre
l	DET	l
'	DET	'
âge	NOUN	âge
de	ADP	de
dix	NUM	dix
ans	NOUN	an
,	PUNCT	,
nos	DET	notre
parents	NOUN	parent
nous	PRON	nous
envoyèrent	VERB	envoyer
chez	ADP	chez
les	DET	le
jésuites	NOUN	jésuite
de	ADP	de
La	DET	le
Flèche	PROPN	Flèche
pour	ADP	pour
faire	VERB	faire
nos	DET	notre
études	NOUN	étude
.	PUNCT	.
Le	DET	le
compère	NOUN	compère
y	PRON	y
fit	VERB	faire
plus	ADV	plus
de	ADP	de
progrès	NOUN	progrès
les	DET	le
six	NUM	six
premiers	ADJ	premier
mois	NOUN	mois
que	PRON	que
je	PRON	je
n	ADV	n
'	ADV	'
en	PRON	en
pus	VERB	pouvoir
faire	VERB	faire
en	ADP	en
six	NUM	six
années	NOUN	année
.	PUNCT	.
Cependant	ADV	cependant
mon	DET	mon
père	NOUN	père
me	PRON	me
laissa	VERB	laisser
continuer	VERB	continuer
,	PUNCT	,
estimant	VERB	estimer
que	SCONJ	que
puisque	SCONJ	puisque
je	PRON	je
n	ADV	n
'	ADV	'
avais	VERB	avoir
aucune	DET	aucun
disposition	NOUN	disposition
aux	ADP	à
études	NOUN	étude
,	PUNCT	,
j	PRON	j
'	PRON	'
en	PRON	en
aurais	VERB	avoir
encore	ADV	encore
moins	ADV	moins
aux	ADP	à
emplois	NOUN	emploi
,	PUNCT	,
aux	ADP	à
arts	NOUN	art
,	PUNCT	,
au	ADP	au
travail	NOUN	travail
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
j	PRON	j
'	PUNCT	'
en	PRON	en
saurais	VERB	savoir
toujours	ADV	toujours
assez	ADV	assez
pour	ADP	pour
être	AUX	être
moine	NOUN	moine
.	PUNCT	.
Pendant	ADP	pendant
les	DET	le
neuf	NUM	neuf
années	NOUN	année
que	PRON	que
nous	PRON	nous
demeurâmes	VERB	demeurer
à	ADP	à
La	DET	le
Flèche	PROPN	Flèche
,	PUNCT	,
le	DET	le
compère	NOUN	compère
Mathieu	PROPN	Mathieu
fit	VERB	faire
des	DET	un
progrès	NOUN	progrès
étonnant	ADJ	étonnant
dans	ADP	dans
le	DET	le
grec	NOUN	grec
,	PUNCT	,
le	DET	le
latin	NOUN	latin
,	PUNCT	,
les	DET	le
mathématiques	NOUN	mathématique
,	PUNCT	,
l	DET	l
'	DET	'
histoire	NOUN	histoire
,	PUNCT	,
la	DET	le
philosophie	NOUN	philosophie
,	PUNCT	,
la	DET	le
théologie	NOUN	théologie
,	PUNCT	,
en	ADP	en
un	DET	un
mot	NOUN	mot
,	PUNCT	,
dans	ADP	dans
toutes	ADJ	tout
les	DET	le
sciences	NOUN	science
qui	PRON	qui
peuvent	VERB	pouvoir
orner	VERB	orner
l	DET	l
'	DET	'
esprit	NOUN	esprit
et	CCONJ	et
former	VERB	former
le	DET	le
cœur	NOUN	cœur
:	PUNCT	:
il	PRON	il
donnait	VERB	donner
encore	ADV	encore
une	DET	un
partie	NOUN	partie
du	ADP	de
temps	NOUN	temps
de	ADP	de
la	DET	le
récréation	NOUN	récréation
ou	CCONJ	ou
à	ADP	à
la	DET	le
musique	NOUN	musique
ou	CCONJ	ou
au	ADP	au
dessin	NOUN	dessin
,	PUNCT	,
ou	CCONJ	ou
à	ADP	à
la	DET	le
lecture	NOUN	lecture
des	ADP	de
livres	NOUN	livre
excellent	ADJ	excellent
et	CCONJ	et
rares	ADJ	rare
qu	PRON	que
'	PRON	'
il	PRON	il
se	PRON	se
procurait	VERB	procurer
avec	ADP	avec
l	DET	l
'	DET	'
argent	NOUN	argent
que	PRON	que
son	DET	son
père	NOUN	père
lui	PRON	lui
envoyait	VERB	envoyer
pour	ADP	pour
ses	DET	son
menus	ADJ	menu
plaisirs	NOUN	plaisir
.	PUNCT	.
Il	PRON	il
y	PRON	y
avait	VERB	avoir
un	DET	un
irlandais	NOUN	irlandais
du	ADP	de
cours	NOUN	cours
du	ADP	de
compère	NOUN	compère
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
contribuait	VERB	contribuer
pas	ADV	pas
peu	ADV	peu
piquer	VERB	piquer
ce	DET	ce
dernier	ADJ	dernier
de	ADP	de
la	DET	le
plus	ADV	plus
vive	ADJ	vif
émulation	NOUN	émulation
.	PUNCT	.
Cet	DET	ce
irlandais	NOUN	irlandais
,	PUNCT	,
qu	PRON	que
'	PRON	'
on	PRON	on
nommait	VERB	nommer
Whiston	PROPN	Whiston
,	PUNCT	,
aimait	VERB	aimer
l	DET	l
'	DET	'
étude	NOUN	étude
,	PUNCT	,
s	PRON	s
'	PRON	'
y	PRON	y
appliquait	VERB	appliquer
avec	ADP	avec
toute	ADJ	tout
l	DET	l
'	DET	'
ardeur	NOUN	ardeur
possible	ADJ	possible
,	PUNCT	,
et	CCONJ	et
y	PRON	y
faisait	VERB	faire
de	DET	de
très	ADV	très
-	ADV	-
grands	ADJ	grand
progrès	NOUN	progrès
;	PUNCT	;
mais	CCONJ	mais
le	DET	le
compère	NOUN	compère
Mathieu	PROPN	Mathieu
l	PRON	l
'	PRON	'
emportait	VERB	emporter
sur	ADP	sur
son	DET	son
émule	NOUN	émule
par	ADP	par
la	DET	le
vivacité	NOUN	vivacité
de	ADP	de
l	DET	l
'	DET	'
esprit	NOUN	esprit
,	PUNCT	,
par	ADP	par
la	DET	le
force	NOUN	force
de	ADP	de
l	DET	l
'	DET	'
imagination	NOUN	imagination
,	PUNCT	,
par	ADP	par
sa	DET	son
profonde	ADJ	profond
pénétration	NOUN	pénétration
dans	ADP	dans
les	DET	le
sciences	NOUN	science
,	PUNCT	,
ainsi	ADV	ainsi
que	SCONJ	que
par	ADP	par
la	DET	le
grâce	NOUN	grâce
et	CCONJ	et
l	DET	l
'	DET	'
adresse	NOUN	adresse
du	ADP	de
