 	SPACE	 
PRÉFACE	NOUN	préface
DE	ADP	de
L'	DET	le
ÉDITEUR	NOUN	éditeur
.	PUNCT	.

	SPACE	

CETTE	DET	ce
Bagatelle	NOUN	bagatelle
Morale	ADJ	moral
appartient	VERB	appartenir
presque	ADV	presque
en	ADP	en
entier	ADJ	entier
à	ADP	à
Balsac	PROPN	Balsac
,	PUNCT	,
l'	DET	le
un	PRON	un
des	ADP	de
plus	ADV	plus
beaux	ADJ	beal
esprits	NOUN	esprit
du	ADP	de
règne	NOUN	règne
de	ADP	de
LOUIS	PROPN	LOUIS
XIII	NUM	XIII
.	PUNCT	.

	SPACE	

C'	PRON	ce
est	AUX	être
son	DET	son
Barbon	NOUN	barbon
qu'	PRON	qu'
on	PRON	on
a	AUX	avoir
rajeuni	VERB	rajeunir
:	PUNCT	:
on	PRON	on
ne	ADV	ne
lui	PRON	lui
a	AUX	avoir
laissé	VERB	laisser
de	ADP	de
ses	DET	son
antiques	ADJ	antique
ornement	NOUN	ornement
,	PUNCT	,
que	ADV	que
ceux	PRON	celui
de	ADP	de
tous	ADJ	tout
les	DET	le
temps	NOUN	temps
,	PUNCT	,
de	ADP	de
tous	ADJ	tout
les	DET	le
lieux	NOUN	lieu
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
ont	VERB	avoir
droit	NOUN	droit
de	ADP	de
plaire	VERB	plaire
aux	ADP	à
Gens	NOUN	gens
de	ADP	de
goût	NOUN	goût
.	PUNCT	.

	SPACE	

Balsac	PROPN	Balsac
n'	ADV	n'
avait	AUX	avoir
fait	VERB	faire
de	ADP	de
son	DET	son
Barbon	PROPN	Barbon
,	PUNCT	,
qu'	ADV	qu'
un	DET	un
froid	NOUN	froid
,	PUNCT	,
plat	ADJ	plat
et	CCONJ	et
ennuyeux	ADJ	ennuyeux
Pédant	NOUN	pédant
de	ADP	de
Collége	PROPN	Collége
,	PUNCT	,
une	DET	un
espèce	NOUN	espèce
d'	ADP	de
Abbé	NOUN	abbé
Royou	PROPN	Royou
,	PUNCT	,
ou	CCONJ	ou
plutôt	ADV	plutôt
,	PUNCT	,
comme	SCONJ	comme
Balsac	PROPN	Balsac
le	PRON	le
dit	VERB	dire
lui-même	PRON	lui-même
,	PUNCT	,
une	DET	un
Bête	NOUN	bête
de	ADP	de
Somme	PROPN	Somme
chargée	VERB	charger
de	ADP	de
tout	ADJ	tout
le	DET	le
bagage	NOUN	bagage
de	ADP	de
l'	DET	le
antiquité	NOUN	antiquité
.	PUNCT	.

	SPACE	

En	ADP	en
le	PRON	le
rajeunissant	VERB	rajeunir
,	PUNCT	,
on	PRON	on
a	AUX	avoir
cru	VERB	croire
devoir	VERB	devoir
en	PRON	en
faire	VERB	faire
un	DET	un
homme	NOUN	homme
instruit	ADJ	instruit
,	PUNCT	,
à	ADP	à
la	DET	le
vérité	NOUN	vérité
,	PUNCT	,
importun	ADJ	importun
,	PUNCT	,
bizarre	ADJ	bizarre
,	PUNCT	,
fatigant	ADJ	fatigant
,	PUNCT	,
et	CCONJ	et
fortement	ADV	fortement
dominé	VERB	dominer
par	ADP	par
l'	DET	le
esprit	NOUN	esprit
de	ADP	de
dispute	NOUN	dispute
;	PUNCT	;
mais	CCONJ	mais
dans	ADP	dans
le	DET	le
fond	NOUN	fond
raisonnable	ADJ	raisonnable
,	PUNCT	,
ayant	VERB	avoir
des	DET	un
vues	NOUN	vue
trèssaines	ADJ	trèssaine
en	ADP	en
Politique	NOUN	politique
,	PUNCT	,
en	ADP	en
Morale	NOUN	morale
et	CCONJ	et
en	ADP	en
Littérature	NOUN	littérature
.	PUNCT	.

	SPACE	

Au	ADP	au
reste	NOUN	reste
,	PUNCT	,
Balsac	PROPN	Balsac
ne	ADV	ne
nous	PRON	nous
avait	AUX	avoir
point	ADV	point
dit	VERB	dire
son	DET	son
nom	NOUN	nom
:	PUNCT	:
nous	PRON	nous
avons	AUX	avoir
lu	VERB	lire
sur	ADP	sur
les	DET	le
Régistres	NOUN	régistre
Baptistaires	ADJ	baptistaire
de	ADP	de
Saint	PROPN	Saint
Denis	PROPN	Denis
de	ADP	de
la	DET	le
Chartres	PROPN	Chartres
,	PUNCT	,
que	SCONJ	que
son	DET	son
père	NOUN	père
s'	PRON	se
appelait	VERB	appeler
Guillaume	PROPN	Guillaume
:	PUNCT	:
ce	DET	ce
nom	NOUN	nom
nous	PRON	nous
a	AUX	avoir
paru	VERB	paraître
très	ADV	très
-	ADJ	-
heureux	ADJ	heureux
.	PUNCT	.
C'	PRON	ce
est	AUX	être
aussi	ADV	aussi
sous	ADP	sous
ce	DET	ce
nom	NOUN	nom
de	ADP	de
Guillaume	PROPN	Guillaume
,	PUNCT	,
que	PRON	que
nous	PRON	nous
le	PRON	le
recommandons	VERB	recommander
à	ADP	à
tous	ADJ	tout
les	DET	le
Guillaumes	NOUN	guillaume
présens	ADJ	présen
et	CCONJ	et
futurs	ADJ	futur
.	PUNCT	.

	SPACE	

MONSIEUR	NOUN	Monsieur
GUILLAUME	PROPN	GUILLAUME
,	PUNCT	,
OU	CCONJ	ou
LE	DET	le
DISPUTEUR	NOUN	disputeur
.	PUNCT	.

	SPACE	

LA	DET	le
première	ADJ	premier
chose	NOUN	chose
que	PRON	que
fit	VERB	faire
Monsieur	NOUN	Monsieur
Guillaume	PROPN	Guillaume
,	PUNCT	,
au	ADP	au
sortir	NOUN	sortir
du	ADP	de
Collége	PROPN	Collége
,	PUNCT	,
où	PRON	où
il	PRON	il
avait	AUX	avoir
appris	VERB	apprendre
à	ADP	à
faire	VERB	faire
des	DET	un
argument	NOUN	argument
,	PUNCT	,
fut	VERB	être
de	ADP	de
donner	VERB	donner
des	DET	un
démentis	NOUN	démenti
