 	SPACE	 
Je	PRON	je
suis	AUX	être
née	VERB	naître
à	ADP	à
Saint-Domingue	PROPN	Saint-Domingue
.	PUNCT	.
À	ADP	à
dix	NUM	dix
ans	NOUN	an
,	PUNCT	,
mon	DET	mon
père	NOUN	père
me	PRON	me
fit	VERB	faire
passer	VERB	passer
en	ADP	en
France	PROPN	France
,	PUNCT	,
pour	ADP	pour
y	PRON	y
recevoir	VERB	recevoir
une	DET	un
éducation	NOUN	éducation
que	PRON	que
la	DET	le
fortune	NOUN	fortune
la	DET	le
plus	ADV	plus
considérable	ADJ	considérable
ne	ADV	ne
lui	PRON	lui
aurait	AUX	avoir
pas	ADV	pas
permis	VERB	permettre
de	ADP	de
me	PRON	me
donner	VERB	donner
près	ADV	près
de	ADP	de
lui	PRON	lui
;	PUNCT	;
car	CCONJ	car
ma	DET	mon
naissance	NOUN	naissance
avait	AUX	avoir
coûté	VERB	coûter
la	DET	le
vie	NOUN	vie
à	ADP	à
ma	DET	mon
mère	NOUN	mère
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
dans	ADP	dans
ces	DET	ce
climats	NOUN	climat
brûlants	ADJ	brûlant
,	PUNCT	,
les	DET	le
hommes	NOUN	homme
vivent	VERB	vivre
d'	ADP	de
une	DET	un
manière	NOUN	manière
si	ADV	si
libre	ADJ	libre
avec	ADP	avec
leurs	DET	leur
esclaves	NOUN	esclave
,	PUNCT	,
que	SCONJ	que
mon	DET	mon
père	NOUN	père
craignit	VERB	craindre
sans	ADP	sans
doute	NOUN	doute
pour	ADP	pour
moi	PRON	moi
l'	DET	le
effet	NOUN	effet
des	ADP	de
premières	ADJ	premier
impressions	NOUN	impression
,	PUNCT	,
toujours	ADV	toujours
si	ADV	si
dangereuses	ADJ	dangereux
dans	ADP	dans
la	DET	le
jeunesse	NOUN	jeunesse
.	PUNCT	.
Nous	PRON	nous
avions	VERB	avoir
des	DET	un
parents	NOUN	parent
à	ADP	à
Paris	PROPN	Paris
;	PUNCT	;
ce	PRON	ce
fut	AUX	être
chez	ADP	chez
eux	PRON	lui
que	PRON	que
je	PRON	je
descendis	VERB	descendre
,	PUNCT	,
ainsi	ADV	ainsi
que	SCONJ	que
mon	DET	mon
frère	NOUN	frère
qui	PRON	qui
m'	PRON	me
accompagnait	VERB	accompagner
dans	ADP	dans
ce	DET	ce
voyage	NOUN	voyage
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
était	AUX	être
alors	ADV	alors
âgé	ADJ	âgé
de	ADP	de
vingt-cinq	NUM	vingt-cinq
ans	NOUN	an
.	PUNCT	.

	SPACE	

Après	ADP	après
quelques	DET	quelque
jours	NOUN	jour
de	ADP	de
repos	NOUN	repos
,	PUNCT	,
et	CCONJ	et
quelques	DET	quelque
semaines	NOUN	semaine
sacrifiées	VERB	sacrifier
à	ADP	à
voir	VERB	voir
tout	ADJ	tout
ce	PRON	ce
qui	PRON	qui
,	PUNCT	,
dans	ADP	dans
Paris	PROPN	Paris
,	PUNCT	,
pouvait	VERB	pouvoir
amuser	VERB	amuser
un	DET	un
enfant	NOUN	enfant
de	ADP	de
