 	SPACE	 
ESSAI	NOUN	essai
SUR	ADP	sur
LA	DET	le
PASTORALE	NOUN	pastorale
.	PUNCT	.

	SPACE	

Beaucoup	ADV	beaucoup
d'	ADP	de
auteurs	NOUN	auteur
ont	AUX	avoir
parlé	VERB	parler
de	ADP	de
la	DET	le
pastorale	NOUN	pastorale
,	PUNCT	,
ont	AUX	avoir
jugé	VERB	juger
les	DET	le
poètes	NOUN	poète
bucoliques	ADJ	bucolique
,	PUNCT	,
ont	AUX	avoir
donné	VERB	donner
des	DET	un
préceptes	NOUN	précepte
sur	ADP	sur
ce	DET	ce
genre	NOUN	genre
,	PUNCT	,
et	CCONJ	et
peu	ADV	peu
se	PRON	se
sont	AUX	être
accordés	VERB	accorder
dans	ADP	dans
la	DET	le
manière	NOUN	manière
de	ADP	de
l'	PRON	l'
envisager	VERB	envisager
.	PUNCT	.
Les	DET	le
uns	NOUN	un
(	PUNCT	(
1	PUNCT	1
)	PUNCT	)
veulent	VERB	vouloir
que	SCONJ	que
les	DET	le
bergers	NOUN	berger
aient	VERB	avoir
de	ADP	de
l'	DET	le
esprit	NOUN	esprit
fin	ADJ	fin
et	CCONJ	et
galant	ADJ	galant
;	PUNCT	;
les	DET	le
autres	PRON	autre
(	PUNCT	(
2	PUNCT	2
)	PUNCT	)
recommandent	VERB	recommander
au	ADP	au
contraire	NOUN	contraire
de	ADP	de
ne	ADV	ne
jamais	ADV	jamais
s'	PRON	se
éloigner	VERB	éloigner
de	ADP	de
cette	DET	ce
simplicité	NOUN	simplicité
d'	ADP	de
or	NOUN	or
qui	PRON	qui
fait	VERB	faire
le	DET	le
principal	ADJ	principal
charme	NOUN	charme
des	ADP	de
ouvrages	NOUN	ouvrage
des	ADP	de
anciens	ADJ	ancien
;	PUNCT	;
d'	DET	d'
autres	ADJ	autre
,	PUNCT	,
enfin	ADV	enfin
(	PUNCT	(
1	PUNCT	1
)	PUNCT	)
,	PUNCT	,
regardent	VERB	regarder
l'	DET	le
allégorie	NOUN	allégorie
comme	ADP	comme
le	DET	le
principal	ADJ	principal
mérite	NOUN	mérite
de	ADP	de
l'	DET	le
églogue	NOUN	églogue
.	PUNCT	.

	SPACE	

Mon	DET	mon
projet	NOUN	projet
n'	ADV	n'
est	VERB	être
pas	ADV	pas
de	ADP	de
discuter	VERB	discuter
ces	DET	ce
différents	ADJ	différent
avis	NOUN	avis
dont	PRON	dont
aucun	PRON	aucun
n'	ADV	n'
est	AUX	être
le	DET	le
mien	ADJ	mien
en	ADP	en
entier	ADJ	entier
:	PUNCT	:
je	PRON	je
veux	VERB	vouloir
seulement	ADV	seulement
rendre	VERB	rendre
compte	NOUN	compte
de	ADP	de
ma	DET	mon
manière	NOUN	manière
de	ADP	de
voir	VERB	voir
la	DET	le
pastorale	NOUN	pastorale
,	PUNCT	,
et	CCONJ	et
des	ADP	de
moyens	NOUN	moyen
que	PRON	que
je	PRON	je
crois	VERB	croire
les	DET	le
plus	ADV	plus
propres	ADJ	propre
à	ADP	à
lui	PRON	lui
donner	VERB	donner
un	DET	un
degré	NOUN	degré
d'	ADP	de
intérêt	NOUN	intérêt
,	PUNCT	,
peut-être	ADV	peut-être
même	ADV	même
d'	ADP	de
utilité	NOUN	utilité
.	PUNCT	.

	SPACE	

J'	PRON	je
ai	AUX	avoir
toujours	ADV	toujours
entendu	VERB	entendre
reprocher	VERB	reprocher
au	ADP	au
genre	NOUN	genre
pastoral	ADJ	pastoral
d'	ADP	de
être	AUX	être
froid	ADJ	froid
et	CCONJ	et
ennuyeux	ADJ	ennuyeux
:	PUNCT	:
défauts	NOUN	défaut
qui	PRON	qui
n'	ADV	n'
obtiennent	VERB	obtenir
jamais	ADV	jamais
grâce	NOUN	grâce
,	PUNCT	,
sur-tout	ADV	sur-tout
en	ADP	en
France	PROPN	France
.	PUNCT	.
On	PRON	on
admire	VERB	admire
sur	ADP	sur
parole	NOUN	parole
les	DET	le
églogues	NOUN	églogue
de	ADP	de
Théocrite	PROPN	Théocrite
et	CCONJ	et
de	ADP	de
Virgile	PROPN	Virgile
;	PUNCT	;
on	PRON	on
sait	VERB	savoir
de	ADP	de
celles	PRON	celui
de	ADP	de
Fontenelle	PROPN	Fontenelle
quelques	DET	quelque
jolis	ADJ	joli
vers	NOUN	vers
,	PUNCT	,
qu'	SCONJ	que
on	PRON	on
a	VERB	avoir
l'	DET	le
air	NOUN	air
de	ADP	de
n'	ADV	n'
avoir	AUX	avoir
appris	VERB	apprendre
que	ADV	que
pour	ADP	pour
se	PRON	se
dispenser	VERB	dispenser
de	ADP	de
relire	VERB	relire
les	DET	le
autres	ADJ	autre
;	PUNCT	;
et	CCONJ	et
dès	ADP	dès
que	SCONJ	que
l'	PRON	l'
on	PRON	on
annonce	VERB	annoncer
un	DET	un
ouvrage	NOUN	ouvrage
dont	PRON	dont
les	DET	le
héros	NOUN	héros
sont	AUX	être
des	DET	un
bergers	NOUN	berger
,	PUNCT	,
il	PRON	il
semble	VERB	semble
que	SCONJ	que
ce	DET	ce
nom	NOUN	nom
seul	ADJ	seul
donne	VERB	donne
envie	NOUN	envie
de	ADP	de
dormir	VERB	dormir
.	PUNCT	.

	SPACE	

J'	PRON	je
ai	AUX	avoir
cru	VERB	croire
d'	ADP	de
abord	ADV	abord
que	SCONJ	que
ce	DET	ce
dégoût	NOUN	dégoût
venait	VERB	venir
uniquement	ADV	uniquement
de	ADP	de
l'	DET	le
énorme	ADJ	énorme
distance	NOUN	distance
où	PRON	où
nous	PRON	nous
sommes	VERB	être
de	ADP	de
la	DET	le
vie	NOUN	vie
pastorale	ADJ	pastoral
,	PUNCT	,
de	ADP	de
la	DET	le
prodigieuse	ADJ	prodigieux
différence	NOUN	différence
de	ADP	de
nos	DET	notre
mœurs	NOUN	mœur
avec	ADP	avec
les	DET	le
mœurs	NOUN	mœur
des	ADP	de
bergers	NOUN	berger
;	PUNCT	;
ce	PRON	ce
qui	PRON	qui
sûrement	ADV	sûrement
y	PRON	y
influe	VERB	influe
:	PUNCT	:
mais	CCONJ	mais
il	PRON	il
est	AUX	être
possible	ADJ	possible
aussi	ADV	aussi
que	SCONJ	que
la	DET	le
faute	NOUN	faute
en	PRON	en
soit	VERB	être
à	ADP	à
la	DET	le
manière	NOUN	manière
dont	PRON	dont
on	PRON	on
a	AUX	avoir
traité	VERB	traiter
ce	DET	ce
genre	NOUN	genre
;	PUNCT	;
car	CCONJ	car
il	PRON	il
faut	VERB	falloir
bien	ADV	bien
qu'	SCONJ	que
il	PRON	il
y	PRON	y
ait	VERB	avoir
plusieurs	DET	plusieurs
raisons	NOUN	raison
d'	ADP	de
ennui	NOUN	ennui
,	PUNCT	,
quand	SCONJ	quand
tout	ADJ	tout
le	DET	le
monde	NOUN	monde
est	AUX	être
d'	ADP	de
accord	NOUN	accord
pour	ADP	pour
bâiller	VERB	bâiller
.	PUNCT	.

	SPACE	

