 	SPACE	 
DÉDICACE	ADJ	dédicac
à	ADP	à
la	DET	le
reine	NOUN	reine
.	PUNCT	.
Numa	PROPN	Numa
fut	AUX	être
le	DET	le
meilleur	ADJ	meilleur
des	ADP	de
rois	NOUN	roi
;	PUNCT	;
époux	NOUN	époux
toujours	ADV	toujours
amant	NOUN	amant
de	ADP	de
la	DET	le
belle	ADJ	bel
égérie	NOUN	égérie
,	PUNCT	,
près	ADV	près
de	ADP	de
cette	DET	ce
nymphe	NOUN	nymphe
chérie	VERB	chérir
il	PRON	il
méditait	VERB	méditer
ses	DET	son
justes	ADJ	juste
lois	NOUN	loi
.	PUNCT	.
De	ADP	de
leur	DET	leur
tendresse	NOUN	tendresse
mutuelle	ADJ	mutuel
naissait	VERB	naître
le	DET	le
bonheur	NOUN	bonheur
des	ADP	de
romains	NOUN	romain
;	PUNCT	;
et	CCONJ	et
dans	ADP	dans
leurs	DET	leur
cœurs	NOUN	cœur
unis	VERB	unir
ils	PRON	il
trouvaient	VERB	trouver
le	DET	le
modèle	NOUN	modèle
des	ADP	de
vertus	NOUN	vertu
qu	PRON	que
'	PRON	'
ils	PRON	il
voulaient	VERB	vouloir
enseigner	VERB	enseigner
aux	ADP	à
humains	NOUN	humain
.	PUNCT	.
De	ADP	de
ces	DET	ce
tendres	ADJ	tendre
époux	NOUN	époux
je	PRON	je
célèbre	VERB	célébrer
la	DET	le
gloire	NOUN	gloire
:	PUNCT	:
reine	NOUN	reine
,	PUNCT	,
votre	DET	votre
nom	NOUN	nom
seul	ADJ	seul
assure	VERB	assure
mon	DET	mon
succès	NOUN	succès
;	PUNCT	;
de	ADP	de
Louis	PROPN	Louis
,	PUNCT	,
de	ADP	de
vous	PRON	vous
,	PUNCT	,
des	ADP	de
français	NOUN	français
,	PUNCT	,
on	PRON	on
croira	VERB	croire
que	SCONJ	que
j	PRON	j
'	PRON	'
écris	VERB	écrire
l	DET	l
'	DET	'
histoire	NOUN	histoire
.	PUNCT	.

	SPACE	

LIVRE	NOUN	livre
1	NUM	1
Non	ADV	non
loin	ADV	loin
de	ADP	de
la	DET	le
ville	NOUN	ville
de	ADP	de
Cures	PROPN	Cures
,	PUNCT	,
dans	ADP	dans
le	DET	le
pays	NOUN	pays
des	ADP	de
sabins	NOUN	sabin
,	PUNCT	,
au	ADP	au
milieu	NOUN	milieu
d	ADP	d
'	ADP	'
une	DET	un
antique	ADJ	antique
forêt	NOUN	forêt
