 	SPACE	 
AVERTISSEMENT	NOUN	avertissement
de	ADP	de
l'	DET	le
Éditeur	NOUN	éditeur
.	PUNCT	.

	SPACE	

ON	PRON	on
a	AUX	avoir
vu	VERB	voir
paraître	VERB	paraître
,	PUNCT	,
il	PRON	il
y	PRON	y
a	VERB	avoir
quelques	DET	quelque
années	NOUN	année
,	PUNCT	,
quatre	NUM	quatre
Volumes	NOUN	volume
,	PUNCT	,
dans	ADP	dans
lesquels	PRON	lequel
on	PRON	on
avait	AUX	avoir
rassemblé	VERB	rassembler
plusieurs	DET	plusieurs
Traités	NOUN	traité
sur	ADP	sur
le	DET	le
Bonheur	NOUN	bonheur
.	PUNCT	.
J'	PRON	je
en	PRON	en
ai	AUX	avoir
lu	VERB	lire
quelques-uns	PRON	quelques-uns
qui	PRON	qui
avaient	AUX	avoir
été	AUX	être
imprimés	VERB	imprimer
séparément	ADV	séparément
,	PUNCT	,
avant	ADP	avant
l'	DET	le
époque	NOUN	époque
de	ADP	de
cette	DET	ce
collection	NOUN	collection
.	PUNCT	.
J'	PRON	je
y	PRON	y
ai	AUX	avoir
trouvé	VERB	trouver
des	DET	un
opinions	NOUN	opinion
métaphysiques	ADJ	métaphysique
et	CCONJ	et
des	DET	un
paradoxes	NOUN	paradoxe
que	PRON	que
la	DET	le
Nature	NOUN	nature
et	CCONJ	et
les	DET	le
faits	NOUN	fait
humains	ADJ	humain
contredisent	VERB	contredire
à	ADP	à
chaque	DET	chaque
instant	NOUN	instant
.	PUNCT	.
L'	DET	le
Ouvrage	NOUN	ouvrage
que	PRON	que
je	PRON	je
présente	VERB	présente
au	ADP	au
Public	NOUN	public
,	PUNCT	,
n'	ADV	n'
est	AUX	être
pas	ADV	pas
composé	VERB	composer
de	ADP	de
ces	DET	ce
raisonnement	NOUN	raisonnement
qui	PRON	qui
fatiguent	VERB	fatiguer
les	DET	le
têtes	NOUN	tête
Françaises	ADJ	français
;	PUNCT	;
par	ADP	par
cette	DET	ce
raison	NOUN	raison
,	PUNCT	,
sans	ADP	sans
doute	NOUN	doute
,	PUNCT	,
il	PRON	il
sera	AUX	être
plus	ADV	plus
favorablement	ADV	favorablement
accueilli	VERB	accueillir
.	PUNCT	.

	SPACE	

Mais	CCONJ	mais
,	PUNCT	,
dira	VERB	dire
-t	PRON	-t
-on	PRON	on
,	PUNCT	,
c'	PRON	ce
est	AUX	être
un	DET	un
