 	SPACE	 
MEMOIRES	NOUN	memoire
DE	ADP	de
MONSIEUR	NOUN	Monsieur
DE	ADP	de
BERVAL	PROPN	BERVAL
.	PUNCT	.

	SPACE	

LE	DET	le
grand	ADJ	grand
loisir	NOUN	loisir
où	PRON	où
je	PRON	je
me	PRON	me
trouve	VERB	trouve
à	ADP	à
la	DET	le
Campagne	PROPN	Campagne
,	PUNCT	,
m'	PRON	me
a	AUX	avoir
fait	AUX	faire
souvenir	VERB	souvenir
que	SCONJ	que
je	PRON	je
vous	PRON	vous
ai	AUX	avoir
promis	VERB	promettre
d'	ADP	de
écrire	VERB	écrire
les	DET	le
Avantures	NOUN	avanture
de	ADP	de
ma	DET	mon
vie	NOUN	vie
,	PUNCT	,
dont	PRON	dont
vous	PRON	vous
souhaitez	VERB	souhaiter
de	ADP	de
sçavoir	VERB	sçavoir
les	DET	le
moindres	ADJ	moindre
détails	NOUN	détail
.	PUNCT	.
D'	DET	d'
autres	ADJ	autre
occupations	NOUN	occupation
m'	PRON	me
avaient	AUX	avoir
empêché	VERB	empêcher
jusqu'	ADP	jusque
à	ADP	à
présent	NOUN	présent
de	ADP	de
satisfaire	VERB	satisfaire
votre	DET	votre
curiosité	NOUN	curiosité
:	PUNCT	:
aujourd'hui	ADV	aujourd'hui
rien	PRON	rien
ne	ADV	ne
s'	PRON	se
y	PRON	y
oppose	VERB	oppose
;	PUNCT	;
j'	PRON	je
ai	VERB	avoir
le	DET	le
bonheur	NOUN	bonheur
de	ADP	de
n'	ADV	n'
avoir	VERB	avoir
aucune	DET	aucun
affaire	NOUN	affaire
,	PUNCT	,
et	CCONJ	et
je	PRON	je
vais	VERB	aller
remplir	VERB	remplir
mes	DET	mon
engagements	NOUN	engagement
.	PUNCT	.

	SPACE	

Vous	PRON	vous
sçavez	VERB	sçaver
que	SCONJ	que
je	PRON	je
suis	AUX	être
né	VERB	naître
à	ADP	à
Bordeaux	PROPN	Bordeaux
.	PUNCT	.
Mon	DET	mon
père	NOUN	père
,	PUNCT	,
quoique	ADV	quoique
Gentilhomme	PROPN	Gentilhomme
,	PUNCT	,
exerça	VERB	exercer
quelque	DET	quelque
temps	NOUN	temps
dans	ADP	dans
cette	DET	ce
Ville	NOUN	ville
la	DET	le
profession	NOUN	profession
de	ADP	de
Négociant	NOUN	négociant
:	PUNCT	:
mais	CCONJ	mais
il	PRON	il
faut	VERB	falloir
avouer	VERB	avouer
qu'	SCONJ	que
il	PRON	il
n'	ADV	n'
avait	VERB	avoir
pas	ADV	pas
ce	PRON	ce
qui	PRON	qui
est	AUX	être
nécessaire	ADJ	nécessaire
pour	ADP	pour
y	PRON	y
réussir	VERB	réussir
.	PUNCT	.
Il	PRON	il
était	AUX	être
paresseux	ADJ	paresseux
,	PUNCT	,
timide	ADJ	timide
,	PUNCT	,
et	CCONJ	et
d'	ADP	de
une	DET	un
probité	NOUN	probité
si	ADV	si
délicate	ADJ	délicat
,	PUNCT	,
qu'	SCONJ	que
elle	PRON	lui
dégénéroit	VERB	dégénéroit
en	ADP	en
scrupule	NOUN	scrupule
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
suis	AUX	être
disait	VERB	dire
-il	PRON	il
,	PUNCT	,
ni	CCONJ	ni
habile	ADJ	habile
,	PUNCT	,
ni	CCONJ	ni
heureux	ADJ	heureux
,	PUNCT	,
ni	CCONJ	ni
fripon	ADJ	fripon
:	PUNCT	:
il	PRON	il
n'	ADV	n'
est	AUX	être
pas	ADV	pas
étonnant	ADJ	étonnant
que	SCONJ	que
mon	DET	mon
bien	NOUN	bien
diminue	VERB	diminue
.	PUNCT	.
En	ADP	en
effet	NOUN	effet
,	PUNCT	,
il	PRON	il
essuya	VERB	essuyer
des	DET	un
pertes	NOUN	perte
considérables	ADJ	considérable
,	PUNCT	,
qu'	PRON	qu'
il	PRON	il
soutint	VERB	soutenir
avec	ADP	avec
beaucoup	ADV	beaucoup
d'	ADP	de
indifférence	NOUN	indifférence
.	PUNCT	.

	SPACE	

Ses	DET	son
amis	NOUN	ami
le	PRON	le
grondoient	VERB	grondoier
sans	ADP	sans
cesse	NOUN	cesse
de	ADP	de
son	DET	son
indolence	NOUN	indolence
et	CCONJ	et
de	ADP	de
sa	DET	son
molesse	NOUN	molesse
:	PUNCT	:
il	PRON	il
les	PRON	le
écoutait	VERB	écouter
paisiblement	ADV	paisiblement
,	PUNCT	,
les	PRON	le
remerciait	VERB	remercier
,	PUNCT	,
convenait	VERB	convenir
de	ADP	de
tout	PRON	tout
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
se	PRON	se
corrigeait	VERB	corriger
point	ADV	point
.	PUNCT	.

	SPACE	

Insensiblement	ADV	insensiblement
il	PRON	il
devint	VERB	devenir
trèspauvre	ADJ	trèspauvr
,	PUNCT	,
et	CCONJ	et
la	DET	le
sérénité	NOUN	sérénité
de	ADP	de
son	DET	son
âme	NOUN	âme
n'	ADV	n'
en	PRON	en
fut	AUX	être
point	ADV	point
altérée	VERB	altérer
;	PUNCT	;
ce	PRON	ce
qui	PRON	qui
pouvait	VERB	pouvoir
l'	PRON	l'
inquiéter	VERB	inquiéter
davantage	ADV	davantage
pour	ADP	pour
l'	DET	le
avenir	NOUN	avenir
,	PUNCT	,
(	PUNCT	(
mais	CCONJ	mais
rien	PRON	rien
ne	ADV	ne
l'	PRON	l'
inquiétait	VERB	inquiéter
)	PUNCT	)
c'	PRON	ce
était	AUX	être
le	DET	le
nombre	NOUN	nombre
de	ADP	de
ses	DET	son
enfants	NOUN	enfant
.	PUNCT	.
J'	PRON	je
avais	VERB	avoir
un	DET	un
frère	NOUN	frère
aîné	ADJ	aîné
et	CCONJ	et
quatre	NUM	quatre
sœurs	NOUN	sœur
,	PUNCT	,
dont	PRON	dont
l'	DET	le
une	PRON	un
était	AUX	être
en	ADP	en
âge	NOUN	âge
d'	ADP	de
être	AUX	être
mariée	VERB	marier
,	PUNCT	,
et	CCONJ	et
les	DET	le
autres	PRON	autre
dans	ADP	dans
la	DET	le
première	ADJ	premier
enfance	NOUN	enfance
.	PUNCT	.

	SPACE	

Tandis	ADV	tandis
que	SCONJ	que
mon	DET	mon
père	NOUN	père
était	AUX	être
tombé	VERB	tomber
par	ADP	par
degrés	NOUN	degré
dans	ADP	dans
une	DET	un
situation	NOUN	situation
fâcheuse	ADJ	fâcheux
,	PUNCT	,
M.	NOUN	m.
de	ADP	de
Saint-Aubin	PROPN	Saint-Aubin
son	DET	son
frère	NOUN	frère
,	PUNCT	,
Commerçant	PROPN	Commerçant
comme	ADP	comme
lui	PRON	lui
,	PUNCT	,
avait	AUX	avoir
acquis	VERB	acquérir
de	DET	de
grandes	ADJ	grand
richesses	NOUN	richesse
.	PUNCT	.
Il	PRON	il
était	AUX	être
économe	ADJ	économe
et	CCONJ	et
laborieux	ADJ	laborieux
,	PUNCT	,
malgré	ADP	malgré
le	DET	le
goût	NOUN	goût
le	DET	le
plus	ADV	plus
effréné	ADJ	effréné
pour	ADP	pour
les	DET	le
plaisirs	NOUN	plaisir
.	PUNCT	.
Jaloux	ADJ	jaloux
à	ADP	à
l'	DET	le
excès	NOUN	excès
de	ADP	de
son	DET	son
indépendance	NOUN	indépendance
,	PUNCT	,
il	PRON	il
n'	ADV	n'
avait	AUX	avoir
jamais	ADV	jamais
voulu	VERB	vouloir
se	PRON	se
marier	VERB	marier
.	PUNCT	.
Il	PRON	il
était	AUX	être
brusque	ADJ	brusque
,	PUNCT	,
familier	ADJ	familier
,	PUNCT	,
gay	ADJ	gay
,	PUNCT	,
naïf	ADJ	naïf
;	PUNCT	;
il	PRON	il
inspiroit	VERB	inspiroit
la	DET	le
joie	NOUN	joie
:	PUNCT	:
sans	ADP	sans
art	NOUN	art
,	PUNCT	,
sans	ADP	sans
