 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
Le	DET	le
baron	NOUN	baron
D'	ADP	de
Almane	PROPN	Almane
au	ADP	au
vicomte	NOUN	vicomte
de	ADP	de
Limours	PROPN	Limours
,	PUNCT	,
le	DET	le
2	NUM	2
février	NOUN	février
à	ADP	à
trois	NUM	trois
heures	NOUN	heure
du	ADP	de
matin	NOUN	matin
.	PUNCT	.
Quand	SCONJ	quand
vous	PRON	vous
recevrez	VERB	recevoir
ce	DET	ce
billet	NOUN	billet
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
vicomte	NOUN	vicomte
,	PUNCT	,
je	PRON	je
serai	VERB	être
déjà	ADV	déjà
à	ADP	à
vingt	NUM	vingt
lieues	NOUN	lieue
de	ADP	de
Paris	PROPN	Paris
.	PUNCT	.
Je	PRON	je
pars	VERB	partir
dans	ADP	dans
l'	DET	le
instant	NOUN	instant
avec	ADP	avec
ma	DET	mon
femme	NOUN	femme
et	CCONJ	et
mes	DET	mon
deux	NUM	deux
enfants	NOUN	enfant
,	PUNCT	,
et	CCONJ	et
je	PRON	je
pars	VERB	partir
pour	ADP	pour
quatre	NUM	quatre
ans	NOUN	an
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
ai	AUX	avoir
eu	VERB	avoir
ni	CCONJ	ni
la	DET	le
force	NOUN	force
de	ADP	de
vous	PRON	vous
détailler	VERB	détailler
moi	PRON	moi
-	PRON	-
même	ADV	même
mes	DET	mon
projets	NOUN	projet
,	PUNCT	,
ni	CCONJ	ni
celle	PRON	celui
de	ADP	de
vous	PRON	vous
dire	VERB	dire
adieu	NOUN	adieu
;	PUNCT	;
et	CCONJ	et
craignant	VERB	craindre
les	DET	le
oppositions	NOUN	opposition
et	CCONJ	et
les	DET	le
instances	NOUN	instance
de	ADP	de
votre	DET	votre
amitié	NOUN	amitié
,	PUNCT	,
je	PRON	je
vous	PRON	vous
ai	AUX	avoir
soigneusement	ADV	soigneusement
caché	VERB	cacher
mon	DET	mon
secret	NOUN	secret
et	CCONJ	et
mes	DET	mon
desseins	NOUN	dessein
.	PUNCT	.
Le	DET	le
parti	NOUN	parti
que	PRON	que
je	PRON	je
prends	VERB	prendre
aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
après	ADP	après
une	DET	un
longue	ADJ	long
et	CCONJ	et
mûre	ADJ	mûr
réflexion	NOUN	réflexion
,	PUNCT	,
n'	ADV	n'
est	AUX	être
que	ADV	que
le	DET	le
résultat	NOUN	résultat
de	ADP	de
cette	DET	ce
tendresse	NOUN	tendresse
si	ADV	si
vive	ADJ	vif
que	SCONJ	que
vous	PRON	vous
me	PRON	me
connaissez	VERB	connaître
pour	ADP	pour
mes	DET	mon
enfants	NOUN	enfant
:	PUNCT	:
j'	PRON	je
attends	VERB	attendre
d'	ADP	de
eux	PRON	lui
le	DET	le
