 	SPACE	 
Tome	NOUN	tome
1	NUM	1
Préface	NOUN	préface
Des	ADP	de
petits	ADJ	petit
emigrés	NOUN	emigré
.	PUNCT	.

	SPACE	

Voilà	VERB	voilà
l'	DET	le
ouvrage	NOUN	ouvrage
dont	PRON	dont
on	PRON	on
a	AUX	avoir
dit	VERB	dire
tant	ADV	tant
de	ADP	de
mal	NOUN	mal
,	PUNCT	,
sans	ADP	sans
le	PRON	le
connaître	VERB	connaître
,	PUNCT	,
sans	ADP	sans
en	PRON	en
avoir	AUX	avoir
lu	VERB	lire
une	DET	un
ligne	NOUN	ligne
,	PUNCT	,
uniquement	ADV	uniquement
sur	ADP	sur
son	DET	son
titre	NOUN	titre
;	PUNCT	;
car	CCONJ	car
ce	DET	ce
nom	NOUN	nom
d'	ADP	de
émigré	NOUN	émigré
a	AUX	avoir
fait	AUX	faire
penser	VERB	penser
à	ADP	à
quelques	DET	quelque
émigrés	NOUN	émigré
qu'	PRON	qu'
il	PRON	il
ne	ADV	ne
pouvait	VERB	pouvoir
contenir	VERB	contenir
qu'	ADV	qu'
une	DET	un
satyre	NOUN	satyre
amère	ADJ	amer
et	CCONJ	et
sanglante	ADJ	sanglant
.	PUNCT	.
Mais	CCONJ	mais
respecter	VERB	respecter
le	DET	le
malheur	NOUN	malheur
c'	PRON	ce
est	VERB	être
se	PRON	se
respecter	VERB	respecter
soi	PRON	soi
-	PRON	-
même	PRON	même
,	PUNCT	,
dans	ADP	dans
quelque	DET	quelque
situation	NOUN	situation
que	PRON	que
l'	PRON	l'
on	PRON	on
puisse	VERB	pouvoir
être	VERB	être
;	PUNCT	;
je	PRON	je
me	PRON	me
suis	AUX	être
toujours	ADV	toujours
conduite	VERB	conduire
d'	ADP	de
après	ADP	après
cette	DET	ce
maxime	NOUN	maxime
sacrée	ADJ	sacrer
pour	ADP	pour
les	DET	le
âmes	NOUN	âme
sensibles	ADJ	sensible
et	CCONJ	et
généreuses	ADJ	généreux
,	PUNCT	,
et	CCONJ	et
je	PRON	je
ne	ADV	ne
m'	PRON	me
en	PRON	en
écarterai	VERB	écarter
jamais	ADV	jamais
.	PUNCT	.
Je	PRON	je
défie	VERB	défier
que	SCONJ	que
l'	PRON	l'
on	PRON	on
puisse	VERB	pouvoir
trouver	VERB	trouver
dans	ADP	dans
mes	DET	mon
nombreux	ADJ	nombreux
ouvrages	NOUN	ouvrage
une	DET	un
seule	ADJ	seul
personnalité	NOUN	personnalité
:	PUNCT	:
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
critiqué	VERB	critiquer
que	ADV	que
des	DET	un
écrits	NOUN	écrit
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
toujours	ADV	toujours
respecté	VERB	respecter
les	DET	le
personnes	NOUN	personne
,	PUNCT	,
et	CCONJ	et
souvent	ADV	souvent
les	DET	le
personnes	NOUN	personne
les	DET	le
moins	ADV	moins
respectables	ADJ	respectable
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
ai	AUX	avoir
même	ADV	même
critiqué	VERB	critiquer
dans	ADP	dans
mes	DET	mon
ouvrages	NOUN	ouvrage
que	ADV	que
ce	PRON	ce
qui	PRON	qui
m'	PRON	me
a	AUX	avoir
paru	VERB	paraître
contraire	ADJ	contraire
à	ADP	à
la	DET	le
religion	NOUN	religion
et	CCONJ	et
aux	ADP	à
mœurs	NOUN	mœur
;	PUNCT	;
hors	ADP	hors
ce	DET	ce
point	NOUN	point
je	PRON	je
ne	ADV	ne
me	PRON	me
suis	AUX	être
permis	VERB	permettre
de	ADP	de
ma	DET	mon
vie	NOUN	vie
une	DET	un
critique	NOUN	critique
purement	ADV	purement
littéraire	ADJ	littéraire
,	PUNCT	,
je	PRON	je
ne	ADV	ne
me	PRON	me
suis	AUX	être
moquée	VERB	moquer
que	ADV	que
de	ADP	de
ce	PRON	ce
qui	PRON	qui
m'	PRON	me
a	AUX	avoir
paru	VERB	paraître
essentiellement	ADV	essentiellement
vicieux	ADJ	vicieux
et	CCONJ	et
dangereux	ADJ	dangereux
:	PUNCT	:
c'	PRON	ce
est	VERB	être
ennoblir	VERB	ennoblir
et	CCONJ	et
sanctifier	VERB	sanctifier
l'	DET	le
arme	NOUN	arme
puissante	ADJ	puissant
du	ADP	de
ridicule	NOUN	ridicule
que	SCONJ	que
de	ADP	de
la	PRON	le
tourner	VERB	tourner
contre	ADP	contre
le	DET	le
vice	NOUN	vice
.	PUNCT	.
Au	ADP	au
reste	NOUN	reste
,	PUNCT	,
je	PRON	je
n'	ADV	n'
ai	AUX	avoir
dit	VERB	dire
dans	ADP	dans
ces	DET	ce
lettres	NOUN	lettre
que	ADV	que
ce	PRON	ce
que	PRON	que
je	PRON	je
pensais	VERB	penser
,	PUNCT	,
ce	PRON	ce
que	PRON	que
je	PRON	je
sentais	VERB	sentir
;	PUNCT	;
la	DET	le
méchanceté	NOUN	méchanceté
d'	ADP	de
un	DET	un
très	ADV	très
-	ADJ	-
petit	ADJ	petit
nombre	NOUN	nombre
d'	ADP	de
individus	NOUN	individu
ne	ADV	ne
peut	VERB	pouvoir
me	PRON	me
rendre	VERB	rendre
injuste	ADJ	injuste
pour	ADP	pour
une	DET	un
classe	NOUN	classe
infortunée	ADJ	infortuné
dont	PRON	dont
je	PRON	je
partage	VERB	partager
les	DET	le
malheurs	NOUN	malheur
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
fût	AUX	être
-elle	PRON	lui
toute	ADV	toute
entière	ADJ	entier
sans	ADP	sans
équité	NOUN	équité
pour	ADP	pour
moi	PRON	moi
,	PUNCT	,
elle	PRON	lui
n'	ADV	n'
en	PRON	en
serait	AUX	être
pas	ADV	pas
moins	ADV	moins
intéressante	ADJ	intéressant
à	ADP	à
d'	DET	d'
autres	ADJ	autre
égards	NOUN	égard
,	PUNCT	,
et	CCONJ	et
j'	PRON	je
en	PRON	en
parlerais	VERB	parler
toujours	ADV	toujours
avec	ADP	avec
la	DET	le
même	ADJ	même
impartialité	NOUN	impartialité
.	PUNCT	.
Les	DET	le
envieux	NOUN	envieux
,	PUNCT	,
les	DET	le
calomniateurs	NOUN	calomniateur
,	PUNCT	,
les	DET	le
libellistes	NOUN	libelliste
ont	AUX	avoir
beau	ADJ	beau
écrire	VERB	écrire
,	PUNCT	,
cabaler	VERB	cabaler
,	PUNCT	,
se	PRON	se
tourmenter	VERB	tourmenter
pour	ADP	pour
nuire	VERB	nuire
;	PUNCT	;
le	DET	le
public	NOUN	public
,	PUNCT	,
même	ADV	même
dans	ADP	dans
les	DET	le
temps	NOUN	temps
orageux	ADJ	orageux
de	ADP	de
factions	NOUN	faction
,	PUNCT	,
ne	ADV	ne
jugera	VERB	juger
jamais	ADV	jamais
les	DET	le
auteurs	NOUN	auteur
que	ADV	que
sur	ADP	sur
leurs	DET	leur
ouvrages	NOUN	ouvrage
:	PUNCT	:
la	DET	le
méchanceté	NOUN	méchanceté
toujours	ADV	toujours
active	ADJ	actif
et	CCONJ	et
ingénieuse	ADJ	ingénieux
pourra	VERB	pouvoir
facilement	ADV	facilement
troubler	VERB	troubler
leur	DET	leur
tranquillité	NOUN	tranquillité
,	PUNCT	,
mais	CCONJ	mais
elle	PRON	lui
n'	ADV	n'
aura	VERB	avoir
jamais	ADV	jamais
le	DET	le
pouvoir	NOUN	pouvoir
affreux	ADJ	affreux
de	ADP	de
détruire	VERB	détruire
leur	DET	leur
réputation	NOUN	réputation
.	PUNCT	.
L'	DET	le
âme	NOUN	âme
d'	ADP	de
un	DET	un
auteur	NOUN	auteur
se	PRON	se
peint	VERB	peindre
dans	ADP	dans
ses	DET	son
écrits	NOUN	écrit
;	PUNCT	;
c'	PRON	ce
est	AUX	être
là	ADV	là
qu'	PRON	qu'
on	PRON	on
la	PRON	le
cherche	VERB	cherche
,	PUNCT	,
qu'	SCONJ	que
on	PRON	on
la	PRON	le
trouve	VERB	trouve
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
on	PRON	on
la	PRON	le
juge	VERB	juger
.	PUNCT	.
Il	PRON	il
faut	VERB	falloir
de	ADP	de
la	DET	le
grandeur	NOUN	grandeur
d'	ADP	de
âme	NOUN	âme
pour	ADP	pour
parler	VERB	parler
dignement	ADV	dignement
de	ADP	de
la	DET	le
vertu	NOUN	vertu
,	PUNCT	,
l'	DET	le
emphase	NOUN	emphase
et	CCONJ	et
l'	DET	le
affectation	NOUN	affectation
n'	ADV	n'
en	PRON	en
inspirèrent	VERB	inspirer
jamais	ADV	jamais
le	DET	le
goût	NOUN	goût
;	PUNCT	;
il	PRON	il
faut	VERB	falloir
une	DET	un
sensibilité	NOUN	sensibilité
profonde	ADJ	profond
et	CCONJ	et
vraie	ADJ	vrai
pour	ADP	pour
arracher	VERB	arracher
des	DET	un
larmes	NOUN	larme
à	ADP	à
ses	DET	son
lecteurs	NOUN	lecteur
.	PUNCT	.
Il	PRON	il
est	AUX	être
mille	NUM	mille
fois	NOUN	fois
plus	ADV	plus
facile	ADJ	facile
d'	ADP	de
être	AUX	être
hypocrite	ADJ	hypocrite
avec	ADP	avec
succès	NOUN	succès
dans	ADP	dans
ses	DET	son
actions	NOUN	action
que	SCONJ	que
dans	ADP	dans
ses	DET	son
écrits	NOUN	écrit
.	PUNCT	.
Une	DET	un
conduite	NOUN	conduite
artificieuse	ADJ	artificieux
peut	VERB	pouvoir
usurper	VERB	usurper
l'	DET	le
estime	NOUN	estime
,	PUNCT	,
du	ADP	de
moins	ADV	moins
pour	ADP	pour
un	DET	un
temps	NOUN	temps
;	PUNCT	;
mais	CCONJ	mais
un	DET	un
livre	NOUN	livre
n'	ADV	n'
en	PRON	en
impose	VERB	impose
à	ADP	à
personne	PRON	personne
:	PUNCT	:
s'	SCONJ	s'
il	PRON	il
est	AUX	être
véritablement	ADV	véritablement
moral	ADJ	moral
et	CCONJ	et
touchant	ADJ	touchant
,	PUNCT	,
on	PRON	on
est	AUX	être
certain	ADJ	certain
que	SCONJ	que
l'	DET	le
auteur	NOUN	auteur
a	AUX	avoir
senti	VERB	sentir
tout	ADJ	tout
ce	PRON	ce
qu'	PRON	qu'
il	PRON	il
a	AUX	avoir
décrit	VERB	décrire
,	PUNCT	,
tout	ADJ	tout
