 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
Du	ADP	de
marquis	NOUN	marquis
de	ADP	de
Valmont	PROPN	Valmont
au	ADP	au
comte	NOUN	comte
et	CCONJ	et
à	ADP	à
la	DET	le
comtesse	NOUN	comtesse
de	ADP	de
Valmont	PROPN	Valmont
.	PUNCT	.
Quelle	DET	quel
disgrâce	NOUN	disgrâce
,	PUNCT	,
mes	DET	mon
chers	ADJ	cher
enfants	NOUN	enfant
,	PUNCT	,
pour	ADP	pour
un	DET	un
sujet	NOUN	sujet
fidèle	ADJ	fidèle
!	PUNCT	!
Quel	DET	quel
coup	NOUN	coup
accablant	ADJ	accablant
pour	ADP	pour
un	DET	un
père	NOUN	père
!	PUNCT	!
Mon	DET	mon
prince	NOUN	prince
m'	PRON	me
a	AUX	avoir
banni	VERB	bannir
de	ADP	de
sa	DET	son
présence	NOUN	présence
,	PUNCT	,
et	CCONJ	et
je	PRON	je
suis	AUX	être
déjà	ADV	déjà
loin	ADV	loin
de	ADP	de
vous	PRON	vous
.	PUNCT	.
Ô	PUNCT	ô
Valmont	PROPN	Valmont
!	PUNCT	!
Ô	PUNCT	ô
ma	DET	mon
chère	ADJ	cher
Émilie	PROPN	Émilie
!	PUNCT	!
Ne	ADV	ne
devais	VERB	devoir
-je	PRON	je
vous	PRON	vous
unir	VERB	unir
ensemble	ADV	ensemble
par	ADP	par
les	DET	le
nœuds	NOUN	nœud
les	DET	le
plus	ADV	plus
doux	ADJ	doux
,	PUNCT	,
que	ADV	que
pour	ADP	pour
vous	PRON	vous
perdre	VERB	perdre
si	ADV	si
-	ADV	-
tôt	ADV	tôt
?	PUNCT	?
Enfin	ADV	enfin
mes	DET	mon
ennemis	NOUN	ennemi
triomphent	VERB	triompher
,	PUNCT	,
et	CCONJ	et
mes	DET	mon
pressentiment	NOUN	pressentiment
ne	ADV	ne
m'	PRON	me
ont	AUX	avoir
point	ADV	point
trompé	VERB	tromper
.	PUNCT	.
Je	PRON	je
connaissais	VERB	connaître
la	DET	le
cour	NOUN	cour
,	PUNCT	,
mon	DET	mon
fils	NOUN	fils
,	PUNCT	,
et	CCONJ	et
je	PRON	je
vous	PRON	vous
l'	PRON	l'
avais	AUX	avoir
prédit	VERB	prédire
.	PUNCT	.
Oser	VERB	oser
y	PRON	y
être	AUX	être
vrai	ADJ	vrai
,	PUNCT	,
l'	PRON	l'
être	AUX	être
jusqu'	ADP	jusque
aux	ADP	à
pieds	NOUN	pied
du	ADP	de
trône	NOUN	trône
,	PUNCT	,
est	AUX	être
un	DET	un
crime	NOUN	crime
que	PRON	que
les	DET	le
courtisans	NOUN	courtisan
ne	ADV	ne
pardonnent	VERB	pardonner
pas	ADV	pas
.	PUNCT	.
N'	PRON	n'
importe	VERB	importe
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
parlé	VERB	parler
pour	ADP	pour
