 	SPACE	 
CONVERSATION	NOUN	conversation
SUR	ADP	sur
L'	DET	le
AUTEUR	NOUN	auteur
ET	CCONJ	et
SON	DET	son
ROMAN	NOUN	roman
.	PUNCT	.

	SPACE	

Claire	PROPN	Claire
entre	ADP	entre
un	DET	un
matin	NOUN	matin
chés	ADP	chés
Rose	PROPN	Rose
,	PUNCT	,
(	PUNCT	(
un	DET	un
matin	NOUN	matin
,	PUNCT	,
c'	PRON	ce
est	VERB	être
-	PUNCT	-
à	ADP	à
-	PUNCT	-
dire	VERB	dire
à	ADP	à
une	DET	un
heure	NOUN	heure
après	ADP	après
midi	NOUN	midi
.	PUNCT	.
)	PUNCT	)
Eh	INTJ	Eh
bien	ADV	bien
,	PUNCT	,
dit	VERB	dire
Claire	PROPN	Claire
,	PUNCT	,
que	PRON	que
fais	VERB	faire
-	PRON	-
tu	PRON	tu
aujourd'hui	ADV	aujourd'hui
,	PUNCT	,
ma	DET	mon
bonne	ADJ	bon
amie	NOUN	amie
?	PUNCT	?
Je	PRON	je
n'	ADV	n'
en	PRON	en
sais	VERB	savoir
rien	PRON	rien
dit	VERB	dire
Rose	PROPN	Rose
,	PUNCT	,
depuis	ADP	depuis
onze	NUM	onze
heures	NOUN	heure
je	PRON	je
suis	VERB	suivre
à	ADP	à
ma	DET	mon
toilette	NOUN	toilette
,	PUNCT	,
et	CCONJ	et
il	PRON	il
me	PRON	me
semble	VERB	semble
que	SCONJ	que
je	PRON	je
ne	ADV	ne
fais	VERB	faire
que	ADV	que
de	ADP	de
m'	PRON	me
y	PRON	y
mettre	VERB	mettre
.	PUNCT	.
--	PUNCT	--
Comment	ADV	comment
cela	PRON	cela
?	PUNCT	?
--	PUNCT	--
Je	PRON	je
lis	VERB	lire
.	PUNCT	.

	SPACE	

--	PUNCT	--
Tu	PRON	tu
lis	VERB	lire
?	PUNCT	?
La	DET	le
belle	ADJ	bel
occupation	NOUN	occupation
!	PUNCT	!
et	CCONJ	et
que	PRON	que
lis	VERB	lire
tu	PRON	tu
?	PUNCT	?
--	PUNCT	--
Un	DET	un
petit	ADJ	petit
Roman	NOUN	roman
nouveau	ADJ	nouveau
qui	PRON	qui
est	AUX	être
assés	ADV	assés
drôle	ADJ	drôle
à	ADP	à
ce	PRON	ce
que	PRON	que
m'	PRON	me
a	AUX	avoir
dit	VERB	dire
M	NOUN	m
....	NOUN	....
--	PUNCT	--
Un	DET	un
Roman	NOUN	roman
?	PUNCT	?
moi	PRON	moi
je	PRON	je
ne	ADV	ne
m'	PRON	me
amuse	VERB	amuse
plus	ADV	plus
à	ADP	à
ces	DET	ce
bagatelles	NOUN	bagatelle
--	PUNCT	--
Tu	PRON	tu
liras	VERB	lire
pourtant	ADV	pourtant
celui-ci	PRON	celui-ci
:	PUNCT	:
et	CCONJ	et
je	PRON	je
suis	AUX	être
sûre	ADJ	sûr
que	SCONJ	que
nous	PRON	nous
deviendrons	VERB	devenir
rivales	ADJ	rival
.	PUNCT	.
Ce	DET	ce
Paulin	PROPN	Paulin
est	AUX	être
un	DET	un
coquin	NOUN	coquin
charmant	ADJ	charmant
,	PUNCT	,
et	CCONJ	et
sans	ADP	sans
son	DET	son
amour	NOUN	amour
trop	ADV	trop
stupidement	ADV	stupidement
constant	ADJ	constant
pour	ADP	pour
une	DET	un
petite	ADJ	petit
fille	NOUN	fille
,	PUNCT	,
je	PRON	je
l'	PRON	l'
aimerais	VERB	aimer
à	ADP	à
la	DET	le
folie	NOUN	folie
.	PUNCT	.
Il	PRON	il
est	AUX	être
constant	ADJ	constant
?	PUNCT	?
--	PUNCT	--
Constant	ADJ	constant
comme	ADP	comme
tous	ADJ	tout
les	DET	le
hommes	NOUN	homme
;	PUNCT	;
il	PRON	il
s'	PRON	se
arrête	VERB	arrête
dans	ADP	dans
plusieurs	DET	plusieurs
jolies	ADJ	joli
petites	ADJ	petit
maisons	NOUN	maison
avant	ADP	avant
d'	ADP	de
arriver	VERB	arriver
au	ADP	au
Palais	NOUN	palais
.	PUNCT	.
--	PUNCT	--
Tu	PRON	tu
piques	VERB	piquer
ma	DET	mon
curiosité	NOUN	curiosité
.	PUNCT	.
Connais	VERB	connaître
-	PRON	-
tu	PRON	tu
l'	DET	le
Auteur	NOUN	auteur
?	PUNCT	?
--	PUNCT	--
Fi	PROPN	Fi
donc	ADV	donc
!	PUNCT	!
c'	PRON	ce
est	AUX	être
dit	VERB	dire
-on	PRON	on
,	PUNCT	,
un	DET	un
Comédien	NOUN	comédien
du	ADP	de
Boulevard	NOUN	boulevard
.	PUNCT	.
--	PUNCT	--
Ah	INTJ	Ah
!	PUNCT	!
quelle	DET	quel
horreur	NOUN	horreur
!	PUNCT	!
çà	PRON	çà
se	PRON	se
mêle	VERB	mêle
d'	ADP	de
écrire	VERB	écrire
....	PUNCT	....
--	PUNCT	--
Qu'	PRON	qu'
importe	VERB	importe
le	DET	le
