 	SPACE	 
AVANT-PROPOS	PROPN	AVANT-PROPOS
.	PUNCT	.

	SPACE	

Cette	DET	ce
seconde	ADJ	second
suite	NOUN	suite
de	ADP	de
l'	DET	le
Aventurier	NOUN	aventurier
François	PROPN	François
contient	VERB	contenir
la	DET	le
vie	NOUN	vie
du	ADP	de
fils	NOUN	fils
de	ADP	de
Gregoire	PROPN	Gregoire
Merveil	PROPN	Merveil
,	PUNCT	,
qui	PRON	qui
a	VERB	avoir
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
est	AUX	être
naturel	ADJ	naturel
,	PUNCT	,
à-peu-près	ADV	à-peu-près
la	DET	le
même	ADJ	même
physionomie	NOUN	physionomie
que	SCONJ	que
son	DET	son
père	NOUN	père
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
éprouve	VERB	éprouve
des	DET	un
aventures	NOUN	aventure
du	ADP	de
même	ADJ	même
genre	NOUN	genre
.	PUNCT	.
C'	PRON	ce
est	AUX	être
un	DET	un
jeune	ADJ	jeune
homme	NOUN	homme
qui	PRON	qui
cède	VERB	céder
à	ADP	à
l'	DET	le
ascendant	NOUN	ascendant
des	ADP	de
circonstances	NOUN	circonstance
,	PUNCT	,
qui	PRON	qui
en	PRON	en
est	AUX	être
toujours	ADV	toujours
puni	VERB	punir
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
nous	PRON	nous
peint	VERB	peindre
ses	DET	son
remords	NOUN	remords
;	PUNCT	;
leçon	NOUN	leçon
continuelle	ADJ	continuel
,	PUNCT	,
ce	PRON	ce
me	PRON	me
semble	VERB	semble
,	PUNCT	,
pour	ADP	pour
les	DET	le
jeunes	ADJ	jeune
gens	NOUN	gens
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
sont	AUX	être
que	ADV	que
trop	ADV	trop
portés	VERB	porter
à	ADP	à
s'	PRON	se
applaudir	VERB	applaudir
des	ADP	de
bonnes	ADJ	bon
fortunes	NOUN	fortune
dont	PRON	dont
celui-ci	PRON	celui-ci
gémit	VERB	gémir
.	PUNCT	.
Il	PRON	il
est	AUX	être
,	PUNCT	,
à-peu-près	ADV	à-peu-près
,	PUNCT	,
en	ADP	en
homme	NOUN	homme
,	PUNCT	,
