 	SPACE	 
AVANT-PROPOS	PROPN	AVANT-PROPOS
.	PUNCT	.

	SPACE	

Dans	ADP	dans
l	DET	l
'	DET	'
Aventurier	NOUN	aventurier
François	PROPN	François
,	PUNCT	,
nous	PRON	nous
avons	AUX	avoir
eu	VERB	avoir
pour	ADP	pour
principal	ADJ	principal
but	NOUN	but
d'	ADP	de
amuser	VERB	amuser
;	PUNCT	;
mais	CCONJ	mais
on	PRON	on
y	PRON	y
a	AUX	avoir
reconnu	VERB	reconnaître
quelques	DET	quelque
réflexions	NOUN	réflexion
,	PUNCT	,
peintures	NOUN	peinture
et	CCONJ	et
fictions	NOUN	fiction
utiles	ADJ	utile
.	PUNCT	.
Dans	ADP	dans
le	DET	le
Philosophe	NOUN	philosophe
Parvenu	PROPN	Parvenu
,	PUNCT	,
nous	PRON	nous
avons	AUX	avoir
commencé	VERB	commencer
à	ADP	à
montrer	VERB	montrer
un	DET	un
but	NOUN	but
plus	ADV	plus
moral	ADJ	moral
;	PUNCT	;
et	CCONJ	et
,	PUNCT	,
pour	ADP	pour
éclairer	VERB	éclairer
en	ADP	en
amusant	VERB	amuser
,	PUNCT	,
nous	PRON	nous
avons	AUX	avoir
tâché	VERB	tâcher
de	ADP	de
persuader	VERB	persuader
aux	ADP	à
jeunes	NOUN	jeune
-	NOUN	-
gens	NOUN	gens
qu'	SCONJ	que
il	PRON	il
faut	VERB	falloir
avoir	VERB	avoir
un	DET	un
état	NOUN	état
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
celui	PRON	celui
qui	PRON	qui
n'	ADV	n'
en	PRON	en
a	VERB	avoir
pas	ADV	pas
s'	PRON	se
expose	VERB	expose
à	ADP	à
de	DET	de
grands	ADJ	grand
dangers	NOUN	danger
.	PUNCT	.
Le	DET	le
titre	NOUN	titre
du	ADP	de
Crime	NOUN	crime
,	PUNCT	,
qui	PRON	qui
sera	AUX	être
suivi	VERB	suivre
du	ADP	de
Repentir	NOUN	repentir
,	PUNCT	,
annonce	VERB	annoncer
ici	ADV	ici
quelque	DET	quelque
chose	NOUN	chose
encore	ADV	encore
de	ADP	de
plus	ADV	plus
sérieux	ADJ	sérieux
.	PUNCT	.
Sans	ADP	sans
