 	SPACE	 
J'	PRON	je
Avois	AUX	avois
revu	VERB	revoir
ma	DET	mon
patrie	NOUN	patrie
,	PUNCT	,
j'	PRON	je
avais	AUX	avoir
retrouvé	VERB	retrouver
parmi	ADP	parmi
des	DET	un
bois	NOUN	bois
et	CCONJ	et
des	DET	un
rochers	NOUN	rocher
,	PUNCT	,
cette	DET	ce
profondeur	NOUN	profondeur
de	ADP	de
sentiment	NOUN	sentiment
,	PUNCT	,
ce	DET	ce
calme	NOUN	calme
de	ADP	de
l'	DET	le
âme	NOUN	âme
que	PRON	que
l'	PRON	l'
on	PRON	on
doit	VERB	devoir
au	ADP	au
silence	NOUN	silence
de	ADP	de
la	DET	le
retraite	NOUN	retraite
;	PUNCT	;
et	CCONJ	et
malgré	ADP	malgré
l'	DET	le
indulgence	NOUN	indulgence
du	ADP	de
public	NOUN	public
pour	ADP	pour
mes	DET	mon
faibles	ADJ	faible
essais	NOUN	essai
,	PUNCT	,
j'	PRON	je
avais	AUX	avoir
abandonné	VERB	abandonner
une	DET	un
carrière	NOUN	carrière
si	ADV	si
difficile	ADJ	difficile
à	ADP	à
parcourir	VERB	parcourir
,	PUNCT	,
où	PRON	où
j'	PRON	je
avais	AUX	avoir
à	ADP	à
peine	ADV	peine
fait	VERB	faire
quelques	DET	quelque
pas	NOUN	pas
,	PUNCT	,
et	CCONJ	et
dont	PRON	dont
le	DET	le
but	NOUN	but
glorieux	ADJ	glorieux
me	PRON	me
paraissait	VERB	paraître
si	ADV	si
éloigné	ADJ	éloigné
.	PUNCT	.
Dégoûté	VERB	dégoûter
des	ADP	de
voluptés	NOUN	volupté
tristes	ADJ	triste
de	ADP	de
notre	DET	notre
capitale	NOUN	capitale
,	PUNCT	,
libre	ADJ	libre
des	ADP	de
tourments	NOUN	tourment
de	ADP	de
l'	DET	le
ambition	NOUN	ambition
et	CCONJ	et
des	ADP	de
anxiétés	NOUN	anxiété
de	ADP	de
l'	DET	le
amour	ADJ	amour
-	ADJ	-
propre	ADJ	propre
,	PUNCT	,
j'	PRON	je
avais	AUX	avoir
refermé	VERB	refermer
les	DET	le
livres	NOUN	livre
de	ADP	de
nos	DET	notre
maîtres	NOUN	maître
,	PUNCT	,
où	PRON	où
je	PRON	je
puisai	VERB	puiser
l'	DET	le
amour	NOUN	amour
des	ADP	de
beaux	NOUN	beau
-	NOUN	-
arts	NOUN	art
,	PUNCT	,
que	PRON	que
je	PRON	je
dévorais	VERB	dévorer
autrefois	ADV	autrefois
;	PUNCT	;
mais	CCONJ	mais
qui	PRON	qui
depuis	ADP	depuis
quel	DET	quel
-	DET	-
que	DET	que
temps	NOUN	temps
faisaient	AUX	faire
naître	VERB	naître
dans	ADP	dans
mon	DET	mon
âme	NOUN	âme
,	PUNCT	,
à	ADP	à
côté	NOUN	côté
d'	ADP	de
une	DET	un
continuelle	ADJ	continuel
admiration	NOUN	admiration
,	PUNCT	,
la	DET	le
méfiance	NOUN	méfiance
de	ADP	de
mes	DET	mon
forces	NOUN	force
,	PUNCT	,
et	CCONJ	et
le	DET	le
désespoir	NOUN	désespoir
de	ADP	de
ne	ADV	ne
pouvoir	VERB	pouvoir
jamais	ADV	jamais
égaler	VERB	égaler
ces	DET	ce
fameux	ADJ	fameux
modèles	NOUN	modèle
.	PUNCT	.

	SPACE	

Occupé	VERB	occuper
de	ADP	de
la	DET	le
seule	ADJ	seul
étude	NOUN	étude
de	ADP	de
moi	PRON	moi
-	PRON	-
même	PRON	même
,	PUNCT	,
je	PRON	je
cherchais	VERB	chercher
à	ADP	à
devenir	VERB	devenir
homme	NOUN	homme
sous	ADP	sous
les	DET	le
yeux	NOUN	oeil
de	ADP	de
la	DET	le
nature	NOUN	nature
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
songeais	VERB	songer
plus	ADV	plus
qu'	ADV	qu'
à	ADP	à
m'	PRON	me
assimiler	VERB	assimiler
aux	ADP	à
bons	ADJ	bon
humains	NOUN	humain
qui	PRON	qui
peuplent	VERB	peupler
les	DET	le
campagnes	NOUN	campagne
de	ADP	de
ma	DET	mon
province	NOUN	province
.	PUNCT	.
Un	DET	un
incident	NOUN	incident
me	PRON	me
ramène	VERB	ramener
à	ADP	à
Paris	PROPN	Paris
,	PUNCT	,
et	CCONJ	et
la	DET	le
maudite	ADJ	maudire
influence	NOUN	influence
du	ADP	de
sol	NOUN	sol
me	PRON	me
remet	VERB	remettre
la	DET	le
plume	NOUN	plume
à	ADP	à
la	DET	le
main	NOUN	main
.	PUNCT	.
Des	DET	un
idées	NOUN	idée
tristes	ADJ	triste
ont	AUX	avoir
fermenté	VERB	fermenter
dans	ADP	dans
ma	DET	mon
tête	NOUN	tête
,	PUNCT	,
et	CCONJ	et
dans	ADP	dans
l'	DET	le
essor	NOUN	essor
impétueux	ADJ	impétueux
d'	ADP	de
une	DET	un
imagination	NOUN	imagination
presque	ADV	presque
toujours	ADV	toujours
abandonnée	VERB	abandonner
à	ADP	à
elle-même	PRON	lui-même
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
écrit	VERB	écrire
l'	DET	le
anecdote	NOUN	anecdote
qu'	PRON	qu'
on	PRON	on
va	VERB	aller
lire	VERB	lire
.	PUNCT	.

	SPACE	

Nos	DET	notre
frivolistes	NOUN	frivoliste
plaisant	VERB	plaire
,	PUNCT	,
nos	DET	notre
chercheurs	NOUN	chercheur
d'	ADP	de
étincelles	NOUN	étincelle
,	PUNCT	,
vont	VERB	aller
crier	VERB	crier
encore	ADV	encore
:	PUNCT	:
à	ADP	à
l'	DET	le
homme	NOUN	homme
noir	ADJ	noir
,	PUNCT	,
à	ADP	à
l'	DET	le
esprit	NOUN	esprit
vaporeux	ADJ	vaporeux
;	PUNCT	;
mais	CCONJ	mais
comme	SCONJ	comme
je	PRON	je
ne	ADV	ne
prétends	VERB	prétendre
point	ADV	point
les	PRON	le
faire	AUX	faire
tomber	VERB	tomber
en	ADP	en
sincope	NOUN	sincope
,	PUNCT	,
ni	CCONJ	ni
même	ADV	même
altérer	VERB	altérer
en	ADP	en
rien	PRON	rien
les	DET	le
vibrations	NOUN	vibration
douces	ADJ	doux
et	CCONJ	et
réglées	ADJ	régler
de	ADP	de
leurs	DET	leur
fibres	NOUN	fibre
délicates	ADJ	délicat
,	PUNCT	,
je	PRON	je
les	PRON	le
préviens	VERB	prévenir
que	SCONJ	que
je	PRON	je
n'	ADV	n'
écris	VERB	écrire
que	ADV	que
pour	ADP	pour
ceux	PRON	celui
qui	PRON	qui
n'	ADV	n'
aiment	VERB	aimer
pas	ADV	pas
toujours	ADV	toujours
à	ADP	à
rire	VERB	rire
,	PUNCT	,
et	CCONJ	et
les	PRON	le
avertis	VERB	avertir
de	ADP	de
se	PRON	se
borner	VERB	borner
au	ADP	au
coup	NOUN	coup
d'	ADP	de
œil	NOUN	œil
rapide	ADJ	rapide
de	ADP	de
cet	DET	ce
avant-propos	NOUN	avant-propos
,	PUNCT	,
et	CCONJ	et
de	ADP	de
laisserlà	VERB	laisserlà
mon	DET	mon
livre	NOUN	livre
,	PUNCT	,
si	SCONJ	si
le	DET	le
hasard	NOUN	hasard
le	PRON	le
met	VERB	mettre
dans	ADP	dans
leurs	DET	leur
