 	SPACE	 
On	PRON	on
m'	PRON	me
a	AUX	avoir
dit	VERB	dire
que	SCONJ	que
mes	DET	mon
aïeux	NOUN	aïeul
,	PUNCT	,
considérés	VERB	considérer
dans	ADP	dans
leur	DET	leur
province	NOUN	province
,	PUNCT	,
y	PRON	y
avaient	AUX	avoir
toujours	ADV	toujours
joui	VERB	jouir
d'	ADP	de
une	DET	un
fortune	NOUN	fortune
honnête	ADJ	honnête
et	CCONJ	et
d'	ADP	de
un	DET	un
rang	NOUN	rang
distingué	ADJ	distingué
.	PUNCT	.
Mon	DET	mon
père	NOUN	père
,	PUNCT	,
le	DET	le
baron	NOUN	baron
de	ADP	de
Faublas	PROPN	Faublas
,	PUNCT	,
me	PRON	me
transmit	VERB	transmettre
leur	DET	leur
antique	ADJ	antique
noblesse	NOUN	noblesse
sans	ADP	sans
altération	NOUN	altération
;	PUNCT	;
ma	DET	mon
mère	NOUN	mère
mourut	VERB	mourir
trop	ADV	trop
tôt	ADV	tôt
.	PUNCT	.
Je	PRON	je
n'	ADV	n'
avais	VERB	avoir
pas	ADV	pas
seize	NUM	seize
ans	NOUN	an
quand	SCONJ	quand
ma	DET	mon
sœur	NOUN	sœur
,	PUNCT	,
plus	ADV	plus
jeune	ADJ	jeune
que	SCONJ	que
moi	PRON	moi
de	ADP	de
dix-huit	NUM	dix-huit
mois	NOUN	mois
,	PUNCT	,
fut	AUX	être
mise	VERB	mettre
au	ADP	au
couvent	NOUN	couvent
à	ADP	à
Paris	PROPN	Paris
.	PUNCT	.
Le	DET	le
baron	NOUN	baron
,	PUNCT	,
qui	PRON	qui
l'	PRON	l'
y	PRON	y
conduisit	VERB	conduire
,	PUNCT	,
saisit	VERB	saisir
avec	ADP	avec
plaisir	NOUN	plaisir
cette	DET	ce
occasion	NOUN	occasion
de	ADP	de
montrer	VERB	montrer
la	DET	le
capitale	NOUN	capitale
à	ADP	à
un	DET	un
fils	NOUN	fils
pour	ADP	pour
l'	DET	le
éducation	NOUN	éducation
duquel	PRON	duquel
il	PRON	il
n'	ADV	n'
avait	AUX	avoir
rien	PRON	rien
négligé	VERB	négliger
jusqu'	ADP	jusque
alrs	NOUN	alr
.	PUNCT	.
Ce	PRON	ce
fut	AUX	être
en	ADP	en
octobre	NOUN	octobre
1783	NUM	1783
que	PRON	que
