 	SPACE	 
CHAPITRE	NOUN	chapitre
I	ADJ	i
Qu'	SCONJ	que
il	PRON	il
est	AUX	être
glorieux	ADJ	glorieux
d'	ADP	de
ouvrir	VERB	ouvrir
une	DET	un
nouvelle	ADJ	nouveau
carrière	NOUN	carrière
,	PUNCT	,
et	CCONJ	et
de	ADP	de
paraître	VERB	paraître
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
dans	ADP	dans
le	DET	le
monde	NOUN	monde
savant	ADJ	savant
,	PUNCT	,
un	DET	un
livre	NOUN	livre
de	ADP	de
découvertes	NOUN	découverte
à	ADP	à
la	DET	le
main	NOUN	main
,	PUNCT	,
comme	ADP	comme
une	DET	un
comète	NOUN	comète
inattendue	ADJ	inattendu
étincelle	VERB	étinceler
dans	ADP	dans
l'	DET	le
espace	NOUN	espace
!	PUNCT	!

	SPACE	

Non	ADV	non
,	PUNCT	,
je	PRON	je
ne	ADV	ne
tiendrai	VERB	tenir
plus	ADV	plus
mon	DET	mon
livre	NOUN	livre
in	X	in
petto	PROPN	petto
;	PUNCT	;
le	PRON	le
voilà	VERB	voilà
,	PUNCT	,
messieurs	NOUN	monsieur
,	PUNCT	,
lisez	VERB	lire
.	PUNCT	.
J'	PRON	je
ai	AUX	avoir
entrepris	VERB	entreprendre
et	CCONJ	et
exécuté	VERB	exécuter
un	DET	un
voyage	NOUN	voyage
de	ADP	de
quarante	NUM	quarante
-	NUM	-
deux	NUM	deux
jours	NOUN	jour
autour	ADV	autour
de	ADP	de
ma	DET	mon
chambre	NOUN	chambre
.	PUNCT	.
Les	DET	le
observations	NOUN	observation
intéressantes	ADJ	intéressant
que	PRON	que
j'	PRON	je
ai	AUX	avoir
faites	VERB	faire
,	PUNCT	,
et	CCONJ	et
le	DET	le
plaisir	NOUN	plaisir
continuel	ADJ	continuel
que	PRON	que
j'	PRON	je
ai	AUX	avoir
éprouvé	VERB	éprouver
le	DET	le
long	ADV	long
du	ADP	de
chemin	NOUN	chemin
,	PUNCT	,
me	PRON	me
faisaient	VERB	faire
désirer	VERB	désirer
de	ADP	de
le	PRON	le
rendre	VERB	rendre
public	ADJ	public
;	PUNCT	;
la	DET	le
certitude	NOUN	certitude
d'	ADP	de
être	AUX	être
utile	ADJ	utile
m'	PRON	me
y	PRON	y
a	AUX	avoir
décidé	VERB	décider
.	PUNCT	.
Mon	DET	mon
cœur	NOUN	cœur
éprouve	VERB	éprouve
une	DET	un
satisfaction	NOUN	satisfaction
inexprimable	ADJ	inexprimable
lorsque	SCONJ	lorsque
je	PRON	je
pense	VERB	pense
au	ADP	au
nombre	NOUN	nombre
infini	ADJ	infini
de	ADP	de
malheureux	NOUN	malheureux
auxquels	PRON	auxquels
j'	PRON	je
offre	VERB	offrir
une	DET	un
ressource	NOUN	ressource
assurée	VERB	assurer
contre	ADP	contre
l'	DET	le
ennui	NOUN	ennui
,	PUNCT	,
et	CCONJ	et
un	DET	un
adoucissement	NOUN	adoucissement
aux	ADP	à
maux	NOUN	mal
qu'	PRON	qu'
ils	PRON	il
endurent	VERB	endurer
.	PUNCT	.
Le	DET	le
plaisir	NOUN	plaisir
qu'	PRON	qu'
on	PRON	on
trouve	VERB	trouve
à	ADP	à
voyager	VERB	voyager
dans	ADP	dans
sa	DET	son
chambre	NOUN	chambre
est	AUX	être
à	ADP	à
l'	DET	le
abri	NOUN	abri
de	ADP	de
la	DET	le
jalousie	NOUN	jalousie
inquiète	ADJ	inquiet
des	ADP	de
hommes	NOUN	homme
;	PUNCT	;
il	PRON	il
est	AUX	être
indépendant	ADJ	indépendant
de	ADP	de
la	DET	le
fortune	NOUN	fortune
.	PUNCT	.

	SPACE	

Est-il	PRON	est-il
,	PUNCT	,
en	ADP	en
effet	NOUN	effet
,	PUNCT	,
d'	ADP	de
être	AUX	être
assez	ADV	assez
malheureux	ADJ	malheureux
,	PUNCT	,
assez	ADV	assez
abandonné	VERB	abandonner
,	PUNCT	,
pour	ADP	pour
n'	ADV	n'
avoir	VERB	avoir
pas	ADV	pas
un	DET	un
réduit	NOUN	réduit
où	PRON	où
il	PRON	il
puisse	VERB	pouvoir
se	PRON	se
retirer	VERB	retirer
et	CCONJ	et
se	PRON	se
cacher	VERB	cacher
à	ADP	à
tout	ADJ	tout
le	DET	le
monde	NOUN	monde
?	PUNCT	?
Voilà	VERB	voilà
tous	ADJ	tout
les	DET	le
apprêts	NOUN	apprêt
du	ADP	de
voyage	NOUN	voyage
.	PUNCT	.

	SPACE	

Je	PRON	je
suis	VERB	suivre
sur	ADJ	sur
que	SCONJ	que
tout	DET	tout
homme	NOUN	homme
sensé	ADJ	sensé
adoptera	VERB	adopter
mon	DET	mon
système	NOUN	système
,	PUNCT	,
de	ADP	de
quelque	DET	quelque
caractère	NOUN	caractère
qu'	PRON	qu'
il	PRON	il
puisse	VERB	pouvoir
être	AUX	être
,	PUNCT	,
et	CCONJ	et
quel	ADJ	quel
que	SCONJ	que
soit	VERB	être
son	DET	son
tempérament	NOUN	tempérament
;	PUNCT	;
qu'	SCONJ	que
il	PRON	il
soit	AUX	être
avare	ADJ	avare
ou	CCONJ	ou
prodigue	ADJ	prodigue
,	PUNCT	,
riche	ADJ	riche
ou	CCONJ	ou
pauvre	ADJ	pauvre
,	PUNCT	,
jeune	ADJ	jeune
ou	CCONJ	ou
vieux	ADJ	vieux
,	PUNCT	,
né	VERB	naître
sous	ADP	sous
la	DET	le
zone	NOUN	zone
torride	ADJ	torride
ou	CCONJ	ou
près	ADV	près
du	ADP	de
pôle	NOUN	pôle
,	PUNCT	,
il	PRON	il
peut	VERB	pouvoir
voyager	VERB	voyager
comme	ADP	comme
moi	PRON	moi
;	PUNCT	;
enfin	ADV	enfin
,	PUNCT	,
dans	ADP	dans
l'	DET	le
immense	ADJ	immense
famille	NOUN	famille
des	ADP	de
hommes	NOUN	homme
qui	PRON	qui
fourmillent	VERB	fourmiller
sur	ADP	sur
la	DET	le
surface	NOUN	surface
de	ADP	de
la	DET	le
terre	NOUN	terre
,	PUNCT	,
il	PRON	il
n'	ADV	n'
en	PRON	en
est	AUX	être
pas	ADV	pas
un	DET	un
seul	ADJ	seul
--	PRON	--
non	NOUN	non
,	PUNCT	,
pas	ADV	pas
un	DET	un
seul	ADJ	seul
(	PUNCT	(
j'	PRON	je
entends	VERB	entendre
,	PUNCT	,
de	ADP	de
ceux	PRON	celui
qui	PRON	qui
habitent	VERB	habiter
des	DET	un
chambres	NOUN	chambre
)	PUNCT	)
--qui	PUNCT	--qui
puisse	VERB	pouvoir
,	PUNCT	,
après	ADP	après
avoir	AUX	avoir
lu	VERB	lire
ce	DET	ce
livre	NOUN	livre
,	PUNCT	,
refuser	VERB	refuser
son	DET	son
approbation	NOUN	approbation
à	ADP	à
la	DET	le
nouvelle	ADJ	nouveau
manière	NOUN	manière
de	ADP	de
voyager	VERB	voyager
que	PRON	que
j'	PRON	je
introduis	VERB	introduire
dans	ADP	dans
le	DET	le
monde	NOUN	monde
.	PUNCT	.

	SPACE	

CHAPITRE	NOUN	chapitre
II	ADJ	ii
Je	PRON	je
pourrais	VERB	pouvoir
commencer	VERB	commencer
l'	DET	le
éloge	NOUN	éloge
de	ADP	de
mon	DET	mon
voyage	NOUN	voyage
par	ADP	par
dire	VERB	dire
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
m'	PRON	me
a	AUX	avoir
rien	PRON	rien
coûté	VERB	coûter
;	PUNCT	;
cet	DET	ce
article	NOUN	article
mérite	VERB	mérite
attention	NOUN	attention
.	PUNCT	.
Le	PRON	le
voilà	VERB	voilà
d'	ADP	de
abord	ADV	abord
prôné	VERB	prôner
,	PUNCT	,
fêté	VERB	fêter
par	ADP	par
les	DET	le
gens	NOUN	gens
d'	ADP	de
une	DET	un
fortune	NOUN	fortune
médiocre	ADJ	médiocre
;	PUNCT	;
il	PRON	il
est	AUX	être
une	DET	un
autre	ADJ	autre
classe	NOUN	classe
d'	ADP	de
hommes	NOUN	homme
auprès	ADV	auprès
de	ADP	de
laquelle	PRON	lequel
il	PRON	il
est	AUX	être
encore	ADV	encore
plus	ADV	plus
sûr	ADJ	sûr
d'	ADP	de
un	DET	un
heureux	ADJ	heureux
succès	NOUN	succès
,	PUNCT	,
par	ADP	par
cette	DET	ce
même	ADJ	même
raison	NOUN	raison
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
coûte	VERB	coûte
rien.--Auprès	PUNCT	rien.--auprès
de	ADP	de
qui	PRON	qui
donc	ADV	donc
?	PUNCT	?
Et	CCONJ	et
quoi	PRON	quoi
!	PUNCT	!
vous	PRON	vous
le	PRON	le
demandez	VERB	demander
?	PUNCT	?
C'	PRON	ce
est	AUX	être
auprès	ADV	auprès
des	ADP	de
gens	NOUN	gens
riches	ADJ	riche
.	PUNCT	.
D'	ADP	de
ailleurs	ADV	ailleurs
de	ADP	de
quelle	DET	quel
ressource	NOUN	ressource
cette	DET	ce
manière	NOUN	manière
de	ADP	de
voyager	VERB	voyager
n'	ADV	n'
est	AUX	être
-elle	PRON	lui
pas	ADV	pas
pour	ADP	pour
les	DET	le
malades	NOUN	malade
?	PUNCT	?
Ils	PRON	il
n'	ADV	n'
auront	VERB	avoir
point	ADV	point
