 	SPACE	 
AVERTISSEMENT	NOUN	avertissement
.	PUNCT	.

	SPACE	

En	ADP	en
1780	NUM	1780
,	PUNCT	,
il	PRON	il
a	AUX	avoir
paru	VERB	paraître
deux	NUM	deux
Ouvrages	NOUN	ouvrage
de	ADP	de
moi	PRON	moi
;	PUNCT	;
c'	PRON	ce
était	AUX	être
mon	DET	mon
coup	NOUN	coup
d'	ADP	de
essai	NOUN	essai
.	PUNCT	.
Le	DET	le
Public	NOUN	public
indulgent	ADJ	indulgent
a	AUX	avoir
bien	ADV	bien
voulu	VERB	vouloir
donner	VERB	donner
quelques	DET	quelque
éloges	NOUN	éloge
à	ADP	à
mes	DET	mon
faibles	ADJ	faible
productions	NOUN	production
,	PUNCT	,
sans	ADP	sans
doute	NOUN	doute
pour	ADP	pour
m'	PRON	me
encourager	VERB	encourager
.	PUNCT	.
Sensible	ADJ	sensible
à	ADP	à
ses	DET	son
bontés	NOUN	bonté
,	PUNCT	,
j'	PRON	je
ai	AUX	avoir
cru	VERB	croire
n'	ADV	n'
y	PRON	y
pouvoir	VERB	pouvoir
mieux	ADV	mieux
répondre	VERB	répondre
qu'	SCONJ	que
en	ADP	en
travaillant	VERB	travailler
de	ADP	de
nouveau	ADJ	nouveau
à	ADP	à
les	PRON	le
mériter	VERB	mériter
.	PUNCT	.

	SPACE	

J'	PRON	je
ai	AUX	avoir
redoublé	VERB	redoubler
de	ADP	de
zèle	NOUN	zèle
,	PUNCT	,
et	CCONJ	et
bientôt	ADV	bientôt
deux	NUM	deux
volumes	NOUN	volume
se	PRON	se
sont	AUX	être
trouvé	VERB	trouver
en	ADP	en
état	NOUN	état
d'	ADP	de
être	AUX	être
imprimés	VERB	imprimer
.	PUNCT	.
Des	DET	un
événement	NOUN	événement
sans	ADP	sans
nombre	NOUN	nombre
m'	PRON	me
ayant	AUX	avoir
éloignée	VERB	éloigner
de	ADP	de
Paris	PROPN	Paris
,	PUNCT	,
trois	NUM	trois
années	NOUN	année
se	PRON	se
sont	AUX	être
écoulées	VERB	écouler
,	PUNCT	,
sans	ADP	sans
qu'	SCONJ	que
il	PRON	il
m'	PRON	me
ait	AUX	avoir
été	AUX	être
possible	ADJ	possible
de	ADP	de
les	PRON	le
mettre	VERB	mettre
au	ADP	au
jour	NOUN	jour
:	PUNCT	:
je	PRON	je
n'	ADV	n'
en	PRON	en
suis	AUX	être
pas	ADV	pas
