 	SPACE	 
EPITRE	NOUN	epitre
A	ADP	à
Mr.	NOUN	mr.
*	PROPN	*
*	PROPN	*
*	PROPN	*
.	PUNCT	.

	SPACE	

SAge	NOUN	sage
enjoué	VERB	enjouer
,	PUNCT	,
Philosophe	NOUN	philosophe
charmant	ADJ	charmant
,	PUNCT	,
vous	PRON	vous
qui	PRON	qui
joignant	VERB	joindre
l'	DET	le
esprit	NOUN	esprit
au	ADP	au
sentiment	NOUN	sentiment
,	PUNCT	,
A	ADP	à
ce	DET	ce
vernis	NOUN	vernis
qui	PRON	qui
forme	VERB	forme
l'	DET	le
homme	NOUN	homme
aimable	ADJ	aimable
,	PUNCT	,
Sçavez	VERB	sçaver
unir	VERB	unir
le	DET	le
don	NOUN	don
d'	ADP	de
être	AUX	être
estimable	ADJ	estimable
,	PUNCT	,
Qui	PRON	qui
possédant	VERB	posséder
le	DET	le
grand	ADJ	grand
art	NOUN	art
de	ADP	de
jouir	VERB	jouir
,	PUNCT	,
Définissez	VERB	définir
et	CCONJ	et
sentez	VERB	sentir
le	DET	le
plaisir	NOUN	plaisir
Voluptueux	ADJ	voluptueux
avec	ADP	avec
délicatesse	NOUN	délicatesse
,	PUNCT	,
Sçavant	VERB	sçaver
sans	ADP	sans
faste	NOUN	faste
,	PUNCT	,
et	CCONJ	et
sage	ADJ	sage
sans	ADP	sans
rudesse	NOUN	rudesse
:	PUNCT	:
Cher	ADJ	cher
Ami	NOUN	ami
,	PUNCT	,
car	CCONJ	car
ce	DET	ce
titre	NOUN	titre
est	AUX	être
plus	ADV	plus
précieux	ADJ	précieux
que	SCONJ	que
tous	ADJ	tout
ceux	PRON	celui
que	PRON	que
je	PRON	je
pourrais	VERB	pouvoir
vous	PRON	vous
donner	VERB	donner
:	PUNCT	:
je	PRON	je
vous	PRON	vous
envoie	VERB	envoyer
un	DET	un
badinage	NOUN	badinage
de	ADP	de
quelques	DET	quelque
heures	NOUN	heure
que	PRON	que
m'	PRON	me
a	AUX	avoir
dicté	VERB	dicter
le	DET	le
loisir	NOUN	loisir
:	PUNCT	:
vous	PRON	vous
sçavez	VERB	sçaver
qu'	SCONJ	que
il	PRON	il
est	AUX	être
le	DET	le
père	NOUN	père
de	ADP	de
toutes	ADJ	tout
les	DET	le
brochures	NOUN	brochure
dont	PRON	dont
Paris	PROPN	Paris
est	AUX	être
inondé	VERB	inonder
.	PUNCT	.
Je	PRON	je
me	PRON	me
doute	VERB	doute
bien	ADV	bien
que	SCONJ	que
votre	DET	votre
Philosophie	NOUN	philosophie
ne	ADV	ne
me	PRON	me
pardonnera	VERB	pardonner
pas	ADV	pas
d'	ADP	de
en	PRON	en
avoir	AUX	avoir
augmenté	VERB	augmenter
le	DET	le
nombre	NOUN	nombre
;	PUNCT	;
mais	CCONJ	mais
il	PRON	il
faut	VERB	falloir
bien	ADV	bien
être	VERB	être
de	ADP	de
son	DET	son
siécle	NOUN	siécle
,	PUNCT	,
que	PRON	que
voulezvous	PRON	voulezvous
,	PUNCT	,
c'	PRON	ce
est	AUX	être
la	DET	le
mode	NOUN	mode
,	PUNCT	,
et	CCONJ	et
je	PRON	je
suis	AUX	être
Français	ADJ	français
:	PUNCT	:
si	SCONJ	si
c'	PRON	ce
est	AUX	être
un	DET	un
ridicule	NOUN	ridicule
d'	ADP	de
être	AUX	être
Auteur	NOUN	auteur
,	PUNCT	,
