 	SPACE	 
EPITRE	NOUN	epitre
A	ADP	à
MON	DET	mon
CONFESSEUR	NOUN	confesseur
.	PUNCT	.

	SPACE	

MON	DET	mon
REVEREND	NOUN	reverend
PERE	NOUN	pere
,	PUNCT	,
La	DET	le
plus	ADV	plus
grande	ADJ	grand
partie	NOUN	partie
des	ADP	de
Evénemens	NOUN	evénemen
de	ADP	de
ma	DET	mon
vie	NOUN	vie
,	PUNCT	,
mes	DET	mon
écarts	NOUN	écart
,	PUNCT	,
mes	DET	mon
foiblesses	NOUN	foiblesse
,	PUNCT	,
ma	DET	mon
résipiscence	NOUN	résipiscence
ne	ADV	ne
sont	AUX	être
point	ADV	point
une	DET	un
nouveauté	NOUN	nouveauté
pour	ADP	pour
vous	PRON	vous
.	PUNCT	.
Les	PRON	le
publier	VERB	publier
moi	PRON	moi
-	PRON	-
même	PRON	même
,	PUNCT	,
c'	PRON	ce
est	VERB	être
vous	PRON	vous
dispenser	VERB	dispenser
de	ADP	de
la	DET	le
nécessité	NOUN	nécessité
du	ADP	de
secret	NOUN	secret
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
me	PRON	me
suis	AUX	être
jamais	ADV	jamais
méfié	VERB	méfier
de	ADP	de
votre	DET	votre
discrétion	NOUN	discrétion
,	PUNCT	,
mais	CCONJ	mais
j'	PRON	je
ai	AUX	avoir
cru	VERB	croire
que	SCONJ	que
des	DET	un
ridicules	NOUN	ridicule
publics	ADJ	public
éxigeoient	VERB	éxigeoier
une	DET	un
Confession	NOUN	confession
qui	PRON	qui
le	PRON	le
fût	AUX	être
également	ADV	également
.	PUNCT	.
Je	PRON	je
conviens	VERB	convenir
que	SCONJ	que
c'	PRON	ce
est	AUX	être
une	DET	un
ancienne	ADJ	ancien
méthode	NOUN	méthode
que	PRON	que
de	DET	de
sages	ADJ	sage
raisons	NOUN	raison
ont	AUX	avoir
fait	AUX	faire
abolir	VERB	abolir
,	PUNCT	,
aussi	ADV	aussi
je	PRON	je
ne	ADV	ne
l'	PRON	l'
employé	VERB	employer
que	ADV	que
pour	ADP	pour
des	DET	un
choses	NOUN	chose
qui	PRON	qui
n'	ADV	n'
enlevent	VERB	enlever
pas	ADV	pas
la	DET	le
considération	NOUN	considération
qu'	PRON	qu'
on	PRON	on
peut	VERB	pouvoir
d'	ADP	de
ailleurs	ADV	ailleurs
mériter	VERB	mériter
dans	ADP	dans
le	DET	le
monde	NOUN	monde
.	PUNCT	.
Je	PRON	je
vous	PRON	vous
ai	AUX	avoir
fait	VERB	faire
des	DET	un
confidences	NOUN	confidence
beaucoup	ADV	beaucoup
plus	ADV	plus
graves	ADJ	grave
et	CCONJ	et
plus	ADV	plus
importantes	ADJ	important
;	PUNCT	;
mais	CCONJ	mais
vous	PRON	vous
serez	VERB	être
toujours	ADV	toujours
à	ADP	à
cet	DET	ce
égard	NOUN	égard
le	DET	le
seul	ADJ	seul
dans	ADP	dans
mon	DET	mon
intimité	NOUN	intimité
.	PUNCT	.
C'	PRON	ce
est	AUX	être
la	DET	le
preuve	NOUN	preuve
la	DET	le
plus	ADV	plus
indubitable	ADJ	indubitable
d'	ADP	de
une	DET	un
distinction	NOUN	distinction
marquée	VERB	marquer
,	PUNCT	,
et	CCONJ	et
du	ADP	de
profond	ADJ	profond
respect	NOUN	respect
avec	ADP	avec
lequel	PRON	lequel
je	PRON	je
