 	SPACE	 
CHAPITRE	NOUN	chapitre
ô	ADJ	ô
Dans	ADP	dans
la	DET	le
vieillesse	NOUN	vieillesse
de	ADP	de
Justinien	PROPN	Justinien
,	PUNCT	,
l	DET	l
'	DET	'
empire	NOUN	empire
,	PUNCT	,
épuisé	VERB	épuiser
par	ADP	par
de	DET	de
longs	ADJ	long
efforts	NOUN	effort
,	PUNCT	,
approchait	VERB	approcher
de	ADP	de
sa	DET	son
décadence	NOUN	décadence
.	PUNCT	.
Toutes	ADJ	tout
les	DET	le
parties	NOUN	party
de	ADP	de
l	DET	l
'	DET	'
administration	NOUN	administration
étaient	AUX	être
négligées	VERB	négliger
:	PUNCT	:
les	DET	le
lois	NOUN	loi
étaient	AUX	être
en	ADP	en
oubli	NOUN	oubli
,	PUNCT	,
les	DET	le
finances	NOUN	finance
au	ADP	au
pillage	NOUN	pillage
,	PUNCT	,
la	DET	le
discipline	NOUN	discipline
militaire	ADJ	militaire
à	ADP	à
l	DET	l
'	DET	'
abandon	NOUN	abandon
.	PUNCT	.
L	DET	l
'	DET	'
empereur	NOUN	empereur
,	PUNCT	,
lassé	VERB	lasser
de	ADP	de
la	DET	le
guerre	NOUN	guerre
,	PUNCT	,
achetait	VERB	acheter
de	ADP	de
tous	DET	tout
côtés	NOUN	côté
la	DET	le
paix	NOUN	paix
au	ADP	au
prix	NOUN	prix
de	ADP	de
l	DET	l
'	DET	'
or	NOUN	or
,	PUNCT	,
et	CCONJ	et
laissait	VERB	laisser
dans	ADP	dans
l	DET	l
'	DET	'
inaction	NOUN	inaction
le	DET	le
peu	NOUN	peu
de	ADP	de
troupes	NOUN	troupe
qui	PRON	qui
lui	PRON	lui
restaient	VERB	rester
,	PUNCT	,
comme	ADP	comme
inutiles	ADJ	inutile
et	CCONJ	et
à	ADP	à
charge	NOUN	charge
à	ADP	à
l	DET	l
'	DET	'
état	NOUN	état
.	PUNCT	.
Les	DET	le
chefs	NOUN	chef
de	ADP	de
ces	DET	ce
troupes	NOUN	troupe
délaissées	VERB	délaisser
se	PRON	se
dissipoient	VERB	dissipoier
dans	ADP	dans
les	DET	le
plaisirs	NOUN	plaisir
;	PUNCT	;
etla	DET	etla
chasse	NOUN	chasse
,	PUNCT	,
qui	PRON	qui
leur	PRON	leur
retraçait	VERB	retracer
la	DET	le
guerre	NOUN	guerre
,	PUNCT	,
charmait	VERB	charmer
l	DET	l
'	DET	'
ennui	NOUN	ennui
de	ADP	de
leur	DET	leur
oisiveté	NOUN	oisiveté
.	PUNCT	.
Un	DET	un
soir	NOUN	soir
,	PUNCT	,
après	ADP	après
cet	DET	ce
exercice	NOUN	exercice
,	PUNCT	,
quelques-uns	PRON	quelques-uns
d	ADP	d
'	ADP	'
entre	ADP	entre
'	PUNCT	'
eux	PRON	lui
soupoient	VERB	soupoier
ensemble	ADV	ensemble
dans	ADP	dans
un	DET	un
château	NOUN	château
de	ADP	de
la	DET	le
Thrace	PROPN	Thrace
,	PUNCT	,
lorsqu	SCONJ	lorsqu
'	SCONJ	'
on	PRON	on
vint	VERB	venir
leur	PRON	leur
dire	VERB	dire
qu	SCONJ	qu
'	SCONJ	'
un	DET	un
vieillard	NOUN	vieillard
aveugle	ADJ	aveugle
,	PUNCT	,
conduit	VERB	conduire
par	ADP	par
un	DET	un
enfant	NOUN	enfant
,	PUNCT	,
demandait	VERB	demander
l	DET	l
'	DET	'
hospitalité	NOUN	hospitalité
.	PUNCT	.
La	DET	le
jeunesse	NOUN	jeunesse
est	AUX	être
compatissante	ADJ	compatissant
;	PUNCT	;
ils	PRON	il
firent	AUX	faire
entrer	VERB	entrer
le	DET	le
vieillard	NOUN	vieillard
.	PUNCT	.
On	PRON	on
était	VERB	être
en	ADP	en
automne	NOUN	automne
;	PUNCT	;
et	CCONJ	et
le	DET	le
froid	NOUN	froid
,	PUNCT	,
qui	PRON	qui
déjà	ADV	déjà
se	PRON	se
faisait	AUX	faire
sentir	VERB	sentir
,	PUNCT	,
l	PRON	l
'	PRON	'
avait	AUX	avoir
saisi	VERB	saisir
:	PUNCT	:
on	PRON	on
le	PRON	le
fit	VERB	faire
asseoir	VERB	asseoir
près	ADV	près
du	ADP	de
feu	NOUN	feu
.	PUNCT	.
Le	DET	le
soupé	NOUN	soupé
continue	VERB	continue
;	PUNCT	;
les	DET	le
esprits	NOUN	esprit
s	PRON	s
'	PRON	'
animent	VERB	animer
;	PUNCT	;
on	PRON	on
commence	VERB	commencer
à	ADP	à
parler	VERB	parler
des	ADP	de
malheurs	NOUN	malheur
de	ADP	de
l	DET	l
'	DET	'
état	NOUN	état
.	PUNCT	.
Ce	PRON	ce
fut	AUX	être
un	DET	un
champ	NOUN	champ
vaste	ADJ	vaste
pour	ADP	pour
la	DET	le
censure	NOUN	censure
;	PUNCT	;
et	CCONJ	et
la	DET	le
vanité	NOUN	vanité
mécontente	ADJ	mécontent
se	PRON	se
donna	VERB	donner
toute	DET	tout
liberté	NOUN	liberté
.	PUNCT	.
Chacun	PRON	chacun
exagéroit	VERB	exagéroit
ce	PRON	ce
qu	PRON	que
'	PRON	'
il	PRON	il
avait	AUX	avoir
fait	VERB	faire
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
qu	PRON	que
'	PRON	'
il	PRON	il
aurait	AUX	avoir
fait	VERB	faire
encore	ADV	encore
,	PUNCT	,
si	SCONJ	si
l	PRON	l
'	PRON	'
on	PRON	on
n	ADV	n
'	ADV	'
eût	AUX	avoir
pas	ADV	pas
mis	VERB	mettre
en	ADP	en
oubli	NOUN	oubli
ses	DET	son
services	NOUN	service
et	CCONJ	et
ses	DET	son
talents	NOUN	talent
.	PUNCT	.
Tous	ADJ	tout
les	DET	le
malheurs	NOUN	malheur
de	ADP	de
l	DET	l
'	DET	'
empire	NOUN	empire
venaient	VERB	venir
,	PUNCT	,
à	ADP	à
les	PRON	le
en	PRON	en
croire	VERB	croire
,	PUNCT	,
de	ADP	de
ce	PRON	ce
qu	PRON	que
'	SCONJ	'
on	PRON	on
n	ADV	n
'	ADV	'
avait	AUX	avoir
pas	ADV	pas
su	VERB	savoir
employer	VERB	employer
des	DET	un
hommes	NOUN	homme
comme	ADP	comme
eux	PRON	lui
.	PUNCT	.
Ils	PRON	il
gouvernoient	VERB	gouvernoier
le	DET	le
monde	NOUN	monde
en	ADP	en
buvant	VERB	boire
,	PUNCT	,
etchaque	DET	etchaque
nouvelle	ADJ	nouveau
coupe	NOUN	coupe
de	ADP	de
vin	NOUN	vin
rendait	VERB	rendre
leurs	DET	leur
vues	NOUN	vue
plus	ADV	plus
infaillibles	ADJ	infaillible
.	PUNCT	.
Le	DET	le
vieillard	NOUN	vieillard
,	PUNCT	,
assis	VERB	asseoir
au	ADP	au
coin	NOUN	coin
du	ADP	de
feu	NOUN	feu
,	PUNCT	,
les	PRON	le
écoutait	VERB	écouter
,	PUNCT	,
et	CCONJ	et
souriait	VERB	sourire
avec	ADP	avec
pitié	NOUN	pitié
.	PUNCT	.
L	DET	l
'	DET	'
un	PRON	un
d	ADP	d
'	ADP	'
eux	PRON	lui
s	PRON	s
'	PRON	'
en	PRON	en
aperçut	VERB	apercevoir
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
dit	VERB	dire
:	PUNCT	:
bon	ADJ	bon
homme	NOUN	homme
,	PUNCT	,
vous	PRON	vous
avez	VERB	avoir
l	DET	l
'	DET	'
air	NOUN	air
de	ADP	de
trouver	VERB	trouver
plaisant	ADJ	plaisant
ce	PRON	ce
que	PRON	que
nous	PRON	nous
disons	VERB	dire
là	ADV	là
?	PUNCT	?

	SPACE	

plaisant	ADJ	plaisant
,	PUNCT	,
non	ADV	non
,	PUNCT	,
dit	VERB	dire
le	DET	le
vieillard	NOUN	vieillard
,	PUNCT	,
mais	CCONJ	mais
un	DET	un
peu	ADV	peu
léger	ADJ	léger
,	PUNCT	,
comme	SCONJ	comme
il	PRON	il
est	AUX	être
naturel	ADJ	naturel
à	ADP	à
votre	DET	votre
âge	NOUN	âge
.	PUNCT	.
Cette	DET	ce
réponse	NOUN	réponse
les	PRON	le
interdit	VERB	interdire
.	PUNCT	.
Vous	PRON	vous
croyez	VERB	croire
avoir	VERB	avoir
à	ADP	à
vous	PRON	vous
plaindre	VERB	plaindre
,	PUNCT	,
poursuivit	VERB	poursuivre
-il	PRON	il
,	PUNCT	,
et	CCONJ	et
je	PRON	je
crois	VERB	croire
comme	ADP	comme
vous	PRON	vous
qu	SCONJ	qu
'	SCONJ	'
on	PRON	on
a	VERB	avoir
tort	NOUN	tort
de	ADP	de
vous	PRON	vous
négliger	VERB	négliger
;	PUNCT	;
mais	CCONJ	mais
c	PRON	c
'	PRON	'
est	AUX	être
le	DET	le
plus	ADV	plus
petit	ADJ	petit
mal	NOUN	mal
du	ADP	de
monde	NOUN	monde
.	PUNCT	.
Plaignez	VERB	plaindre
-vous	PRON	vous
de	ADP	de
ce	PRON	ce
que	SCONJ	que
l	DET	l
'	DET	'
empire	NOUN	empire
n	ADV	n
'	ADV	'
a	VERB	avoir
plus	ADV	plus
sa	DET	son
force	NOUN	force
et	CCONJ	et
sa	DET	son
splendeur	NOUN	splendeur
,	PUNCT	,
de	ADP	de
ce	PRON	ce
